total_time,ep_rew_mean,num_episodes,total timesteps,value_loss,total_loss,policy_gradient_loss,entropy_loss
3.7953643798828125,-21.945610875,8,8192,,,,
14.547149658203125,-12.946581125,16,16384,0.5248240968445316,0.5215106671495722,-0.0033134296949593896,-1.412308023031801
25.797595024108887,-8.981248791666667,24,24576,0.45553525850409643,0.44958336795879533,-0.005951890545301063,-1.40278600146994
37.87613368034363,2.401848375,32,32768,0.2882261457620189,0.2822575273284594,-0.005968618433559452,-1.3957126878201962
48.74157786369324,11.2343217,40,40960,0.18638815230224282,0.17932293474710126,-0.007065217555141544,-1.3914388235658408
59.826332092285156,18.526286541666668,48,49152,0.1135576731088804,0.1056400493574768,-0.007917623751403605,-1.3802212834358216
72.33549737930298,26.837242800000002,56,57344,0.07735445715370588,0.06829643987626317,-0.009058017277442706,-1.3510467716492713
84.70021891593933,34.2919308,64,65536,0.01641154923054273,0.011898834861459796,-0.004512714369082937,-1.3118682936765254
96.05605292320251,42.06782578,72,73728,0.009599756181069096,0.005737741033338189,-0.0038620151477309073,-1.2832429363392293
107.35308837890625,43.79863976000001,80,81920,0.009169155014660646,0.004293617634733804,-0.004875537379926842,-1.2676419941708446
120.17578482627869,43.10852038,88,90112,0.00996190723926702,0.005927997648638357,-0.004033909590628664,-1.2458483453840017
132.6943280696869,41.434900559999996,96,98304,0.023532677924049495,0.021952455984037965,-0.001580221940011526,-1.2379269246011972
143.46630144119263,41.645848259999994,104,106496,0.010174256236200562,0.007512110390634728,-0.0026621458455658347,-1.2060521198436618
156.44327306747437,42.70422935999999,112,114688,0.010271153051735381,0.007431596609591813,-0.002839556442143569,-1.1876658876426518
170.06016039848328,43.091520440000004,120,122880,0.011647410496266275,0.009374424542168563,-0.0022729859540977114,-1.1720948194153606
182.77274632453918,43.93625928,128,131072,0.01247468558356104,0.010783671118648176,-0.0016910144649128639,-1.1712250243872404
194.17665791511536,44.94048429999999,136,139264,0.013424416795146499,0.012699436198060937,-0.0007249805970855628,-1.1619750895537435
205.1763026714325,45.95432438000001,144,147456,0.0132200438508562,0.011079735983552054,-0.002140307867304146,-1.137441256083548
217.24250745773315,47.16759614000001,152,155648,0.013086292474213224,0.011242271192648938,-0.001844021281564286,-1.128269530646503
229.19092631340027,48.183253320000006,160,163840,0.013699798589777856,0.010904423105998078,-0.00279537548377978,-1.101536627486348
240.10872650146484,49.962399999999995,172,172032,0.014765712962889666,0.0126425087733873,-0.0021232041895023657,-1.0693481320515275
251.5183606147766,50.49273222000001,180,180224,0.022452954729942576,0.020996193055032353,-0.0014567616749102228,-1.039714580029249
263.7214057445526,51.80962476,188,188416,0.01550678218268331,0.014395155673511507,-0.0011116265091718016,-1.0183026153594255
275.4150800704956,53.973210740000006,196,196608,0.01579481084472718,0.01378357097506534,-0.0020112398696618414,-0.9974530478473753
286.64919900894165,56.782419839999996,204,204800,0.01715593806461584,0.013740175091833473,-0.0034157629727823656,-0.9677667048759758
297.77932357788086,60.80939998000001,212,212992,0.034662711085456974,0.032903461173213265,-0.0017592499122437092,-0.9323426121380181
310.4617760181427,65.09458118,220,221184,0.027363485207388294,0.026141540035933514,-0.0012219451714547806,-0.9158176362980157
321.4703857898712,69.60920569999999,228,229376,0.016319681972981927,0.013612839740054871,-0.002706842232927053,-0.890112453373149
332.89295077323914,74.25844742,236,237568,0.016200545384526775,0.015212439552838741,-0.0009881058316880366,-0.8665658238343894
345.0120015144348,78.12245546,244,245760,0.0223387550976895,0.01930357439584251,-0.0030351807018469913,-0.8485848314128817
356.8960049152374,82.56021265999999,252,253952,0.017101852485575365,0.01580922226280817,-0.0012926302227671954,-0.8189368727616966
368.2478873729706,87.64182872,260,262144,0.018802967247347625,0.01750628977910156,-0.0012966774682460634,-0.7939329649321735
379.11412954330444,91.56759263999999,268,270336,0.019004242994242304,0.017868708167327323,-0.0011355348269149784,-0.7651858128141612
391.2991416454315,96.51582467999998,276,278528,0.02015364189542197,0.020078376743123367,-7.52651522986033e-05,-0.7430101606063545
402.48981380462646,101.02678497999999,284,286720,0.018465507083237753,0.01805575475378309,-0.0004097523294546646,-0.7015285310801118
413.60052514076233,105.03867156,292,294912,0.01754849021303926,0.017403567849012026,-0.00014492236402723486,-0.6605940451845527
425.5173273086548,107.66819782,300,303104,0.017226074201789742,0.017284656380390784,5.858217860103916e-05,-0.6409187575802207
437.4345304965973,107.90564553999998,308,311296,0.019570685265762222,0.02071068712844945,0.001140001862687231,-0.5974282572045923
448.386593580246,108.26222060000002,316,319488,0.01780539273611339,0.01893513459410311,0.0011297418579897188,-0.5792725495062768
459.4773967266083,108.06894882,324,327680,0.017473974134463787,0.016578295122679332,-0.0008956790117844565,-0.5446120204869658
471.5635395050049,108.65774278,332,335872,0.02205476155272663,0.022609906813243277,0.000555145260516644,-0.5275148087646813
483.4311001300812,109.27979766,344,344064,0.01976218021513887,0.020294209034453968,0.0005320288193150958,-0.4968412409070879
494.35349106788635,109.68010074000001,352,352256,0.02953690422314139,0.03157151181151948,0.002034607588378088,-0.47386102194432167
506.1035988330841,111.4265399,360,360448,0.021664765556693055,0.022721623160984902,0.0010568576042918492,-0.4484525677980855
518.2193965911865,112.17017596,368,368640,0.01988381769319858,0.020399827033692502,0.0005160093404939232,-0.4277598132845014
529.3953363895416,112.65778164,376,376832,0.019576197556239093,0.02044695322492293,0.0008707556686838364,-0.40846529896371064
540.5941903591156,111.9434367,384,385024,0.023179562813356824,0.026017550738551977,0.002837987925195148,-0.3989092336734757
