total timesteps,total_time,ep_rew_mean,num_episodes,policy_gradient_loss,entropy_loss,total_loss,value_loss
8192,3.177166700363159,-1.6958574999999998,8,,,,
16384,15.104570388793945,2.8095440625,16,-0.007624026675494847,-1.4105628514662385,0.25047158992730967,0.516191233205609
24576,26.497278213500977,5.850420083333333,24,-0.011337382209919986,-1.391668421868235,0.1508807344446288,0.3244362333090976
32768,38.53760886192322,7.9299404375,32,-0.010966230500916371,-1.3699027221649884,0.16271086980429628,0.3473542006104253
40960,49.9046995639801,10.930889350000001,40,-0.008581802505714877,-1.3474986819550394,0.16377045012130956,0.34470450525404883
49152,61.28032088279724,14.243434854166665,48,-0.005511945280604252,-1.336670007649809,0.122130692233905,0.25528527502901854
57344,73.24510788917542,19.06450924,56,-0.005396810956539865,-1.3157664015889168,0.1307985450522897,0.2723907120176591
65536,85.6344211101532,24.546241539999997,64,-0.004343450596500202,-1.2924238009378315,0.05296054157340898,0.11460798433981836
73728,96.99375367164612,28.71521014,72,-0.005212322270376219,-1.2643646897748113,0.028152559411687927,0.06672976336412831
81920,108.8490788936615,33.17855244,80,-0.005064094668371639,-1.2503132118843496,0.019964448957004548,0.05005708725075238
90112,121.52146291732788,36.4092457,88,-0.004788653309708011,-1.216690108180046,0.007169320496257582,0.023915947611931186
98304,133.90910005569458,36.92719448,96,-0.0039609363295172815,-1.1761591656133532,0.006693324169932893,0.02130852099890035
106496,145.14388155937195,37.745463380000004,104,-0.001752261730622657,-1.1590609401464462,0.009156352449984745,0.021817228361214802
114688,156.49370002746582,37.92125824,112,-0.0029436008322918316,-1.1388933709822595,0.006497784179977334,0.01888277002453833
122880,169.06436347961426,37.1861702,120,-0.0022718984963599432,-1.1292413394898175,0.008385125139716756,0.021314047272153403
131072,181.873859167099,37.6294584,128,-0.002526284488315513,-1.1170773591846228,0.0089363456289238,0.022925260234478627
139264,193.0048201084137,37.67697458,136,-0.0010566125441055835,-1.0984577440656722,0.010935926404319552,0.02398507789685027
147456,203.94145107269287,38.526178859999995,144,-0.0015734782825706812,-1.0837814226746558,0.012519590390602867,0.028186137346347097
155648,216.13096976280212,39.330723299999995,152,-0.0016982707527151944,-1.0598216995596885,0.011562215703068198,0.026520972911566788
163840,228.01779341697693,40.31312356,160,-0.0012851713032998474,-1.0571945124305784,0.011274837542044027,0.025120017690687745
172032,238.88168740272522,40.860658599999994,172,-0.0006449644086008998,-1.0429387207143008,0.0132978702424149,0.027885669302031603
180224,250.89250326156616,40.881360719999996,180,-0.002273635394997748,-1.029293488431722,0.01501427955988847,0.03457582990977244
188416,264.060875415802,41.18520222,188,-0.002574408406156439,-0.9995609472505749,0.011771111169297653,0.028691039150908183
196608,276.891499042511,41.002516539999995,196,-0.0010452170367142815,-0.9749410505406558,0.011544852228719786,0.025180138530868135
204800,288.1087896823883,41.23337562,204,-0.0010917272610766586,-0.9551348537672311,0.012443507552949238,0.027070469628051798
212992,300.194895029068,41.239999899999994,212,-0.0016126883263214424,-0.9341710153967142,0.012035812956156368,0.027297002564955618
221184,312.87468457221985,41.05376523999999,220,-0.003280729902659779,-0.9179546991828829,0.011597095246391426,0.02975565029810241
229376,325.06046772003174,42.25504487999999,228,-0.00045503727730417006,-0.9036210636608303,0.07351373392169311,0.14793754239799456
237568,336.406809091568,43.05321306,236,-0.002363871129760159,-0.8872187261935324,0.03678597633885576,0.07829969493723184
245760,348.4338114261627,43.82278544,244,-0.0024370373317458326,-0.8671251498162746,0.011063358889460924,0.02700079244241351
253952,361.20789790153503,44.7305634,252,-0.0014956010045016229,-0.8542658668477088,0.01247943615893473,0.027950074326872708
262144,373.18978929519653,43.74401760000001,260,-0.0018710197860755597,-0.8365561526268721,0.011211837487427108,0.026165714547005336
270336,384.5451421737671,45.221126000000005,268,-0.0016857032845850283,-0.829867076035589,0.1052642596489191,0.2138999258670083
278528,396.4722054004669,47.06521572,276,-0.0007788099515115303,-0.7956679217983037,0.012376085143851388,0.026309790190725834
286720,408.9163010120392,47.444802519999996,284,-0.0018983775711984014,-0.7620858028996735,0.011474477189956995,0.02674570952231079
294912,421.5485727787018,48.54078041999999,292,-0.0019230455836453935,-0.7518644402269274,0.011824429583965507,0.027494950335221802
303104,433.34357714653015,49.29493162000001,300,-0.0020023045065808115,-0.7482755565084517,0.011656699701248828,0.02731800841565928
311296,444.96365761756897,52.10582272,308,-0.0010934821789559492,-0.7297666331287473,0.01216075230044871,0.026508468958809317
319488,458.5861032009125,52.951791119999996,316,-0.0018508277732833295,-0.7194591206498444,0.012374691358140096,0.02845103826284685
327680,471.48162937164307,53.63694348,324,0.0005884542606165352,-0.711678019631654,0.0801594965385104,0.15914208455578774
335872,487.5957751274109,55.60726782,332,-0.0021145955411706217,-0.7032410439569503,0.012220296940122005,0.028669784962585255
344064,504.87563467025757,59.15302788000001,344,-0.0003066292897795999,-0.6844263100996614,0.015645857217414808,0.03190497301438881
352256,518.2058620452881,62.003841820000005,352,-0.0009619834396351788,-0.6778319401200861,0.019704736747729084,0.041333440374728525
360448,529.5488932132721,64.41716742,360,0.000155590661058011,-0.6672479426953941,0.014664627186499853,0.029018073050883685
368640,539.9191811084747,67.78397174000001,368,-0.0008620583013454107,-0.6490032325033098,0.012897211846256954,0.02751854029520473
376832,552.0040426254272,70.56674306,376,-0.002842425266229828,-0.6342714834958315,0.021885096286856434,0.049455043106172526
385024,564.2411904335022,72.2476438,384,-0.0004122692274999231,-0.607796631893143,0.013492837178855193,0.027810212812710233
393216,575.2768054008484,74.58768168,392,0.0004535237214699517,-0.6061669467017055,0.0149606745695141,0.029014301696088297
401408,590.1016366481781,77.49543878,400,-0.0002885358872657242,-0.5909510588739068,0.014413627170889115,0.029404326116309675
409600,603.7076373100281,79.26971812,408,-0.0006048465528815334,-0.5960582747124136,0.013601169641593991,0.02841203238895105
417792,616.3226072788239,83.86117356000001,416,-0.0020813335205003575,-0.5755696057341992,0.016836210648152612,0.037835088337305936
425984,628.5181946754456,87.02644413999998,424,0.0007270834044480183,-0.5652312981430441,0.016261766811866037,0.03106936681483603
434176,641.4783706665039,87.81759748,432,0.0010113608761777267,-0.5615898969117552,0.0171414067919933,0.032260091831631144
442368,654.1397516727448,90.40478655999999,440,-0.003915705728110221,-0.536292576417327,0.02567134662571673,0.0591741047076539
450560,667.4930415153503,91.42164744,448,0.0017485662985491797,-0.5296490497421473,0.016955974527029016,0.03041481645695967
458752,681.1683189868927,90.60874045999999,456,0.0006286359545652649,-0.513633976271376,0.01431281808516594,0.02736836426120135
466944,694.4264640808105,90.9785034,464,0.0012049308350061908,-0.47977357415948063,0.0187364187917457,0.035062975913479025
475136,707.0234525203705,90.73303376,472,0.002298337333340626,-0.46174579532817006,0.016684105625026587,0.028771536583371927
483328,718.8157668113708,90.06352779999999,480,0.0006529573918327127,-0.46744250629562883,0.042217705505902224,0.08312949622813903
491520,732.4205477237701,90.20397585999999,488,0.00023778335874733713,-0.45162506578490136,0.01562659152867521,0.03077761633985574
499712,744.724348783493,91.0830432,496,0.00015998605714600145,-0.4238334525609389,0.01523679854991684,0.030153624985541683
507904,757.7748255729675,94.01994766000001,504,0.0020778711433934475,-0.4153927051927894,0.018992856282176316,0.033829970277565735
516096,769.9388358592987,93.83101445999999,516,0.000792626000487158,-0.3962670380016789,0.01781343423844029,0.03404161647590627
524288,782.2896089553833,95.76039,524,0.0030289523347988324,-0.3717041364638135,0.036326479019490376,0.0665950533693831
532480,794.5543506145477,95.60813497999999,532,0.001346043910391864,-0.35047113317996265,0.017762561403672345,0.03283303498656096
540672,807.4535398483276,93.34449834000002,540,0.0026751163345175577,-0.35675564957782624,0.017713294357377497,0.030076356045719878
548864,819.9249093532562,91.61054338000002,548,-6.526466574838797e-05,-0.3564915300579742,0.0381052675566268,0.07634106444475038
557056,832.3887176513672,83.50802588,556,-0.00015295826242715094,-0.3476021353388205,0.01912624815435896,0.03855841283357222
565248,844.394250869751,79.52133124,564,0.0024943393300804243,-0.3439764540875331,0.04816199536857532,0.09133531207698979
573440,857.3017041683197,75.97793736,572,0.0007403668996512696,-0.3209650862729177,0.02696873818839507,0.0524567425774876
581632,870.45197057724,74.87080806,580,0.000609701490585273,-0.2864550969796255,0.02062777632470067,0.04003614966823079
589824,883.2518255710602,76.6572184,588,0.0013356914050463872,-0.26130901102442294,0.016886734215376203,0.031102085620659636
598016,895.2841792106628,79.95743562,596,0.003225862254740988,-0.24387963856570422,0.019161159009437528,0.03187059350939307
606208,907.7919566631317,86.17330228,604,-0.0007581076514285392,-0.2346555065829307,0.013003895601944685,0.027524006506746447
614400,920.8051488399506,91.02237902,612,0.003068595476211401,-0.21539559424854815,0.016271929188619895,0.02640666742481699
622592,933.389808177948,95.59671392,620,0.0033503823345212022,-0.2121663403697312,0.0180077047238468,0.0293146447786512
630784,945.3064548969269,97.91555423999996,628,-0.0008442483085841612,-0.1835526327136904,0.013661374468876141,0.029011245554920607
638976,957.4261574745178,99.84920859999998,636,0.001860293479694687,-0.16525935023091734,0.0161499548424901,0.028579322725590828
647168,970.8212914466858,102.77032116000001,644,0.0013778420538505935,-0.16160589894279836,0.014673013818830887,0.02659034352996059
655360,983.6699287891388,103.27798910000001,652,0.0007113076411037129,-0.1534780638758093,0.014125248600016177,0.026827881917824925
663552,996.3722100257874,104.48793305999999,660,0.0023471506869198787,-0.15671066055074334,0.019468376332552752,0.034242451291265755
671744,1008.0590407848358,103.77056028000001,668,0.0021387468145754643,-0.1483730948995799,0.021498749578081157,0.03872000552701138
679936,1019.8697407245636,102.69443242,676,0.0008670157355793889,-0.1330577936489135,0.015437900636479119,0.029141769801799455
688128,1033.3793885707855,101.75557606000001,688,0.0027264949247293286,-0.12229761662892998,0.016910726991602267,0.028368464133745875
696320,1046.4775123596191,101.93953796000001,696,0.0015011036665887735,-0.11924007320776582,0.0220384669840419,0.04107472663490626
704512,1058.9179246425629,101.24700336,704,0.002682952305760719,-0.11906479736790061,0.015038878022019017,0.024711851432516595
712704,1070.913506269455,102.23447509999998,712,0.0019286960194770761,-0.10563078140839935,0.026540009560685873,0.049222627082417605
720896,1083.58722782135,98.45282502000002,720,0.0015836965943551488,-0.08078911532647907,0.027053486560987706,0.050939579933265124
729088,1096.4566507339478,95.12019474,728,0.004582084158525773,-0.07734952201135456,0.02686780961371123,0.044571450910370916
737280,1109.2110090255737,92.38979578,736,0.0035840177185091013,-0.09135563746094703,0.01986283092137998,0.03255762640574176
745472,1121.193618297577,85.54591930000001,744,0.002327287062333161,-0.07537180962972342,0.01831642276825547,0.031978271411844617
753664,1133.3175313472748,79.6150008,752,0.0024449488012309034,-0.06829275581985712,0.017556452258232068,0.030223006914002325
761856,1145.964685201645,79.44109318,760,0.002766060484537568,-0.06050893012434244,0.014195893445031083,0.022859665920987027
770048,1158.9580514431,79.38854923999999,768,0.0028095438476260282,-0.04810963412746787,0.018009211733270913,0.03039933577128977
778240,1170.9517686367035,84.33325989999999,776,0.0030824779079219725,-0.039015785232186316,0.017756657341099387,0.02934835886635483
786432,1182.961009502411,86.30144654000001,784,0.002544924746526717,-0.03283411394804716,0.019486068703527974,0.03388228791400252
794624,1195.64768242836,92.87300952,792,0.0018015419368996109,-0.020023809280246496,0.017526270544405833,0.031449457215012445
802816,1209.2008452415466,100.94201368,800,0.00313372628597242,-0.007976661482825876,0.021042816284915694,0.03581817999788654
811008,1222.6044130325317,104.34600651999997,808,0.003955562291801442,-0.007021862547844648,0.018814578803735882,0.029718033023868884
819200,1235.058563709259,107.55785582,816,0.004120087273683895,-0.01141294646076858,0.018064572564473892,0.02788897058158
827392,1248.8162126541138,107.43485085999998,824,0.004083184110406661,-0.006336305662989617,0.02007089144473623,0.03197541466865914
835584,1260.5791237354279,108.54490438,832,0.005269768784862734,-0.003164281044155359,0.021999741338525,0.03345994510732453
843776,1273.6241772174835,108.88502742,840,0.002492818099724317,0.01147213219664991,0.02226279541376003,0.03953995462807143
851968,1286.582924604416,109.48252606000001,848,0.00222723700580042,0.02272108169272542,0.015834276104524692,0.027214078197448543
860160,1298.2833244800568,109.62513918,860,0.0010184674034856762,0.04427823489531875,0.013915457130127226,0.0257939794532831
868352,1310.0432105064392,109.59512218,868,0.0017222210423190037,0.040772844571620226,0.024168403651065314,0.044892365217492625
876544,1323.1471099853516,109.60430674000001,876,0.002496450826108823,0.0412886415142566,0.020397927374440454,0.03580295309666326
884736,1335.807995557785,106.85894379999998,884,0.0014106209136213904,0.05435143085196614,0.018619503854402614,0.034417765881562444
892928,1347.723030090332,106.09577106,892,0.003822054277833399,0.06801969069056213,0.02374759348924165,0.0398510784228165
901120,1359.443502664566,105.56940158000002,900,0.0034166179031374483,0.07654323559254408,0.019345614964451925,0.03185799412262895
909312,1371.5622141361237,104.39487904000002,908,0.0036663341238001327,0.0696695948485285,0.018167090662659736,0.02900151307771921
917504,1384.541395664215,102.80461571999999,916,0.004021141585293213,0.0911940258461982,0.017170848884644336,0.02629941459870224
925696,1396.69562292099,102.49145633999998,924,0.0021476324262861488,0.08117894832976162,0.018437099811663214,0.03257893477075413
933888,1407.785475730896,102.67867367999999,932,0.0031746516859831888,0.07672726674936711,0.01597943832191704,0.025609573271867702
942080,1420.729862689972,101.96969682,940,0.0013081776397694817,0.10319423153996468,0.01598018432173204,0.029344013363925114
950272,1434.896703004837,101.2189544,948,0.0026649320586747973,0.10590323889628053,0.016837496068293125,0.028345128019236655
958464,1448.0444979667664,101.33290878000001,956,0.001881698165286675,0.11922434368170798,0.014566335119295639,0.02536927390801793
966656,1460.8449862003326,102.07058523999999,964,0.005880358788952435,0.10782265290617943,0.02237902150861646,0.032997325439328054
974848,1472.4807686805725,102.45952872,972,0.004237557442866012,0.12187969055958092,0.019178632686907723,0.029882150488083424
983040,1484.0411865711212,103.0007103,980,0.0022138077962710655,0.11918129669502378,0.01839599261428357,0.032364369636025
991232,1497.0384647846222,103.20584776000001,988,0.003178512827121084,0.10496422229334712,0.0189438672241793,0.03153070879411644
999424,1509.485363960266,103.47519788,996,0.003017898498903282,0.0982434913981706,0.01727839059603129,0.028520984194256017
1007616,1520.9655447006226,103.40904492,1004,0.0019279894008233974,0.10681279515847564,0.018272083187534198,0.0326881875734216
