n_koeff,novelty,total_time,reward,iteration
0.0,nan,4.837663173675537,20.0,1
0.0,0.36353755923395503,4.937907457351685,28.0,2
0.0,0.3530478044105032,5.031642198562622,27.666666666666668,3
0.0,0.3665439664159941,5.116262912750244,27.5,4
0.0,0.3908709032594131,5.216511011123657,27.2,5
0.05,0.30473169291581415,5.354557037353516,27.166666666666668,6
0.05,0.29656466792736463,5.45479679107666,27.285714285714285,7
0.05,0.27745189893740424,5.570671558380127,27.125,8
0.05,0.2956199106050884,5.6709184646606445,27.11111111111111,9
0.05,0.3253305967508353,5.75554084777832,27.4,10
0.1,0.31184101782671736,5.855799674987793,28.09090909090909,11
0.1,0.2890461403659159,5.956053018569946,28.333333333333332,12
0.1,0.26541418147280377,6.087556600570679,29.0,13
0.1,0.27029715204836374,6.2237937450408936,30.357142857142858,14
0.1,0.26118239865913434,6.344502210617065,33.0,15
0.05,0.2711276231448603,6.5867249965667725,39.75,16
0.05,0.2721548990821936,6.848280668258667,78.41176470588235,17
0.05,0.3002019977584544,7.330174684524536,129.61111111111111,18
0.05,0.2527053352182144,7.987400054931641,175.42105263157896,19
0.05,0.2584354294694291,8.650563955307007,216.65,20
0.0,0.19589384047850938,9.398234128952026,253.95238095238096,21
0.0,0.22482790537340497,10.10293197631836,287.8636363636364,22
0.0,0.20782046344609548,10.901858568191528,318.82608695652175,23
0.0,0.18762141549785405,11.747774362564087,347.2083333333333,24
0.0,0.16476817194551507,12.61189889907837,373.32,25
0.0,0.18300106089558318,13.421425342559814,397.4230769230769,26
0.0,0.1688704552396229,14.356697797775269,419.74074074074076,27
0.0,0.16210982514044991,15.447332620620728,440.4642857142857,28
0.0,0.15438282552932286,16.43522334098816,459.7586206896552,29
0.0,0.1651586345583026,17.474960327148438,477.76666666666665,30
0.0,0.1879233044416589,18.57100248336792,494.61290322580646,31
0.0,0.16258160773113828,19.690866470336914,510.40625,32
0.0,0.14559110637920764,20.68749690055847,525.2424242424242,33
0.0,0.17657202502551583,21.587228536605835,539.2058823529412,34
0.0,0.15969070314139017,22.44356107711792,552.3714285714286,35
0.0,0.15070962568961288,23.361078023910522,564.8055555555555,36
0.0,0.14576646142695499,24.24534583091736,576.5675675675676,37
0.0,0.14606718517486883,25.155620336532593,587.7105263157895,38
0.0,0.1541500580689225,26.142204999923706,598.2820512820513,39
0.0,0.142331537181975,27.3465576171875,608.325,40
0.05,0.13977357267849694,28.34265112876892,617.8780487804878,41
0.05,0.14391186845353432,29.282959938049316,626.9761904761905,42
0.05,0.15162962701082952,30.584975481033325,635.6511627906976,43
0.05,0.12538570532365423,32.12702202796936,643.9318181818181,44
0.05,0.13102629907693053,33.90690326690674,651.8444444444444,45
0.0,0.1296418873734341,35.21125769615173,659.4130434782609,46
0.0,0.14777625819464724,36.73783755302429,666.6595744680851,47
0.0,0.13824399978648647,38.01641893386841,673.6041666666666,48
0.0,0.14760445327398555,39.15338134765625,680.265306122449,49
0.0,0.1232349370378509,40.56165361404419,686.66,50
0.0,0.15103172321839564,42.128703594207764,706.26,51
0.0,0.15712310486817704,43.36675763130188,725.54,52
0.0,0.1281254057417568,44.42507338523865,745.0,53
0.0,0.1536623923554416,45.567177534103394,764.46,54
0.0,0.1458043038734178,46.871994972229004,783.94,55
0.05,0.13910118236910674,48.13138508796692,803.4,56
0.05,0.15406398470931584,49.25980281829834,822.84,57
0.05,0.1300504836874321,50.43221116065979,842.32,58
0.05,0.13738178916114438,51.571319818496704,861.78,59
0.05,0.14463760279143847,52.793224811553955,881.18,60
0.0,0.1447866216708083,54.10088801383972,900.48,61
0.0,0.15865471356563232,55.158894538879395,919.86,62
0.0,0.14627579419724862,56.33678317070007,939.12,63
0.0,0.13697299423335915,57.46915650367737,958.16,64
0.0,0.13525533022879113,58.435547828674316,976.76,65
0.0,0.1360864746199286,59.412787199020386,993.94,66
0.0,0.13634223140031007,60.37255239486694,1000.0,67
,,60.37255239486694,1000.0,67
