novelty,n_koeff,reward,total_time,iteration
0.020332425137139024,0.0,1000.0,262.86418175697327,176
0.025280341179047282,0.0,1000.0,264.7487533092499,177
0.008325577101061955,0.0,1000.0,266.7540760040283,178
0.01876059768691067,0.0,1000.0,268.5979251861572,179
0.01783163305986148,0.0,1000.0,270.3812258243561,180
0.015361613934756557,0.0,1000.0,272.2081232070923,181
0.019935914107086734,0.0,1000.0,274.01488637924194,182
0.01454152556641455,0.0,1000.0,276.29186820983887,183
0.010041038350814315,0.0,1000.0,278.2451169490814,184
0.009742908873585993,0.0,1000.0,279.99107003211975,185
0.009649576867073384,0.0,1000.0,281.7859275341034,186
0.011309528668995324,0.0,1000.0,283.53106021881104,187
0.010145756617421266,0.0,1000.0,285.24792885780334,188
0.011249437399427837,0.0,1000.0,287.0593349933624,189
0.011008316307804033,0.0,1000.0,289.0646479129791,190
0.011970651238357902,0.0,1000.0,290.97752714157104,191
0.011504669324501081,0.05,1000.0,292.7139277458191,192
0.014076896362748014,0.0,1000.0,294.4806110858917,193
0.022857800415093596,0.0,1000.0,296.2583055496216,194
0.02936195406771257,0.0,1000.0,298.06701946258545,195
0.017344388819981904,0.0,1000.0,299.87675523757935,196
0.012622748586211622,0.0,1000.0,301.73386812210083,197
0.01376094497207966,0.0,1000.0,303.54152274131775,198
0.014629912816921609,0.0,1000.0,305.55779933929443,199
0.01584837533454573,0.0,1000.0,307.3929145336151,200
0.008719319358975696,0.0,1000.0,309.25670433044434,201
0.01716144827111568,0.05,1000.0,311.5020544528961,202
0.021827370823725482,0.0,1000.0,313.3817253112793,203
0.01939570939522143,0.0,1000.0,315.18996953964233,204
0.01812332070607141,0.0,1000.0,316.9749252796173,205
0.012007619440231931,0.0,1000.0,318.87171173095703,206
0.009776847189651418,0.0,1000.0,320.7077112197876,207
0.01383936540277893,0.0,1000.0,322.5665771961212,208
0.013850496485580073,0.0,1000.0,324.91146302223206,209
0.01374590673050456,0.0,1000.0,326.74857687950134,210
0.010130305229804439,0.0,1000.0,328.49577713012695,211
0.012728832979371758,0.0,1000.0,330.2889986038208,212
0.010246152676199738,0.0,1000.0,332.01517248153687,213
0.014318813074001822,0.0,1000.0,333.72203183174133,214
0.01933267973400272,0.0,1000.0,335.5821123123169,215
0.02077488019818227,0.0,1000.0,337.48009276390076,216
0.022182055095178187,0.0,1000.0,339.2970914840698,217
0.028545318487766858,0.0,1000.0,341.28891229629517,218
0.015357583099583459,0.0,1000.0,343.19006061553955,219
0.012591697065098915,0.0,1000.0,345.1469211578369,220
0.014467867835567067,0.0,1000.0,347.0402274131775,221
0.026968825879502223,0.0,1000.0,348.8562636375427,222
0.010809414831609196,0.0,1000.0,351.14260244369507,223
0.010943991640670305,0.0,1000.0,353.2590923309326,224
0.009907877670114239,0.0,1000.0,355.1937983036041,225
0.01569646005992423,0.0,1000.0,357.3388500213623,226
0.0123562030665903,0.0,1000.0,359.8691692352295,227
0.013619984451504448,0.0,1000.0,361.8162431716919,228
0.01119863958084381,0.0,1000.0,363.68130469322205,229
0.014370535490687664,0.0,1000.0,365.4786469936371,230
0.009774756222010654,0.0,1000.0,367.2924265861511,231
0.01267016163544015,0.0,1000.0,369.0788848400116,232
0.009505336121153889,0.0,1000.0,370.99694204330444,233
0.012319788196872019,0.0,1000.0,372.8416864871979,234
0.011679934949007329,0.0,1000.0,374.93273425102234,235
0.00819664824169255,0.0,1000.0,377.0118224620819,236
0.0067965562952128356,0.0,1000.0,378.7661690711975,237
0.010161648342532723,0.0,1000.0,380.5914931297302,238
0.011318254065009923,0.0,1000.0,382.3759799003601,239
0.006883699737932465,0.0,1000.0,384.3357033729553,240
