novelty,total_time,iteration,n_koeff,reward
nan,3.272681951522827,1,0.95,44.83377573375401
0.14590088231447834,3.4263246059417725,2,1.0,58.95859938935362
0.16333509801161894,3.57351016998291,3,0.95,66.89681233505773
0.1839192646277795,3.7049953937530518,4,1.0,61.42910756423395
0.1821401934595817,3.843024253845215,5,1.0,61.991105131719294
0.21406963327139497,3.9745187759399414,6,1.0,59.21984954612024
0.1641252256558181,4.106041669845581,7,0.95,55.833838136588106
0.13118612839880708,4.2440505027771,8,0.8999999999999999,59.15373050911073
0.11157600355497511,4.391132354736328,9,0.95,57.62732752406698
0.1088193210688272,4.591624736785889,10,0.8999999999999999,59.21433285603986
0.10220637990600652,4.776492118835449,11,0.8499999999999999,62.1660188638459
0.10541925213119162,4.908012866973877,12,0.7999999999999998,63.05482861971089
0.11124256984417785,5.061657905578613,13,0.7499999999999998,63.10969082038919
0.11960603019769663,5.208847761154175,14,0.6999999999999997,65.18554700226552
0.08930874013535034,5.3468499183654785,15,0.6499999999999997,66.94980108382389
0.08225000579997287,5.4939985275268555,16,0.5999999999999996,70.19418291908278
0.09924843923503865,5.647589921951294,17,0.5499999999999996,71.45713310659085
0.07739457345440723,5.779078960418701,18,0.4999999999999996,72.59083266039909
0.07876690128595992,5.932741403579712,19,0.4499999999999996,73.10503030734516
0.056489274840193913,6.079857110977173,20,0.39999999999999963,77.30430061538195
0.05784077158243434,6.233519077301025,21,0.34999999999999964,79.29652456761431
0.0627263464117851,6.380672216415405,22,0.29999999999999966,79.4394822935708
0.05375472878269208,6.550048589706421,23,0.24999999999999967,79.98254990164399
0.05606063458410865,6.734877347946167,24,0.19999999999999968,83.58381298883046
0.048752138277605245,6.897647142410278,25,0.1499999999999997,83.15723448268696
0.059050610688040975,7.035614252090454,26,0.09999999999999969,82.06147468202305
0.05273061173802434,7.198384046554565,27,0.049999999999999684,81.7428388782991
0.05968250526179419,7.351985454559326,28,0.0,84.69487394260635
0.05596688089283455,7.499097585678101,29,0.0,86.20840686779523
0.05368607502394209,7.637097358703613,30,0.0,86.70082474604969
0.057066353207939055,7.78420877456665,31,0.0,87.16363158699228
0.0641806096817698,7.937821626663208,32,0.0,87.0109586419549
0.05047476270602548,8.084943532943726,33,0.0,88.00496361555916
0.038325938474185146,8.238624572753906,34,0.0,89.48362763300156
0.050555600451130056,8.38573932647705,35,0.0,89.81595040421946
0.04300829166905209,8.539363384246826,36,0.0,89.35881837084439
0.04361926318718218,8.686514377593994,37,0.0,91.42166162864346
0.046762858230631935,8.840126276016235,38,0.0,90.9365866107303
0.05660380845084423,9.002898693084717,39,0.0,90.4838384227422
0.0459895118782057,9.156497478485107,40,0.0,90.51544062281718
0.046851287674302765,9.341353416442871,41,0.0,91.87138423550952
0.02886122891689201,9.488497257232666,42,0.0,93.41245152081173
0.050003568016265404,9.642087936401367,43,0.0,93.16634839641414
0.03137788017713456,9.789216756820679,44,0.0,93.56485478964402
0.03740966518437834,9.94283652305603,45,0.0,94.77128074354503
0.03602594991998076,10.105576753616333,46,0.0,94.91606979663801
0.03156314336531878,10.243634939193726,47,0.0,95.04332977155123
0.046498262147141034,10.390785455703735,48,0.0,96.52137434038553
0.03314856795590404,10.544370889663696,49,0.0,97.16994725585627
0.027170657148272076,10.707110404968262,50,0.0,96.69750125385806
0.033372149399582336,10.845108985900879,51,0.0,97.81734585677528
0.03817375655726912,10.992250204086304,52,0.0,98.0137924235024
0.03602458069984071,11.145909786224365,53,0.0,98.20273564864219
0.03003503912752785,11.293028354644775,54,0.0,100.98790851238056
0.034163442667477756,11.446657180786133,55,0.0,101.17300479115531
0.02259147617077979,11.647226572036743,56,0.0,103.55590076838048
0.040451440503297166,11.809996604919434,57,0.0,107.44578971764585
0.04623864305618517,11.963615417480469,58,0.0,108.5613777097103
0.018284874905411974,12.12641191482544,59,0.0,110.03053526215797
0.037536606127654804,12.280055522918701,60,0.0,110.20996541908093
0.026327188059121508,12.427194356918335,61,0.0,110.95496100552431
0.0313261680667122,12.59188199043274,62,0.0,111.33511053172214
0.03196118401920245,12.750016689300537,63,0.0,112.08175035128687
0.037003171758549745,12.950565814971924,64,0.0,111.70135448988322
0.029211824641937195,13.129548072814941,65,0.0,113.56034952492843
0.03930006393120117,13.277243852615356,66,0.0,115.39885983246346
0.03039509928889804,13.44748306274414,67,0.05,115.95623831995219
0.03721673149763585,13.695207118988037,68,0.0,116.13603208006005
0.029621992399795488,13.895363807678223,69,0.0,117.06887396584182
0.036685205607946386,14.071653127670288,70,0.0,115.57740606219541
0.026131042654695222,14.26691460609436,71,0.0,115.58241715490368
0.024750171424686877,14.46744418144226,72,0.0,115.95301152732098
0.01700775639451289,14.626706838607788,73,0.05,117.06680627989107
0.027640845744216727,14.810533046722412,74,0.0,115.56707869017804
0.0274824671666222,14.974440574645996,75,0.0,117.79062099775952
0.03428394556055791,15.138097286224365,76,0.05,120.00734765903525
0.020717339538514432,15.290156602859497,77,0.0,121.48209270627618
0.026989446084637235,15.496452331542969,78,0.0,121.46685165091667
0.045310117117534576,15.716479778289795,79,0.05,121.28163002506926
0.02281021253963123,15.884486436843872,80,0.0,121.09654769818434
0.024252537913028737,16.04445219039917,81,0.05,121.4658674294873
0.030642206017422922,16.22048282623291,82,0.1,122.77542167848796
0.026305148031931826,16.408013343811035,83,0.05,122.20674744295087
0.025684281581301246,16.570743322372437,84,0.0,121.46353498912937
0.03157997416315296,16.724365949630737,85,0.0,123.13274487737598
0.02169062599929875,16.893611907958984,86,0.0,124.05494659502887
