n_koeff,total_time,reward,novelty,iteration
0.0,3.8457698822021484,110.41545102966833,nan,1
0.0,3.930386781692505,91.84454489436617,2.223498205051329,2
0.0,4.00849986076355,82.48233041906906,1.6836450593494057,3
0.0,4.093122482299805,84.8330539901944,1.7670872882412574,4
0.0,4.177743911743164,84.34513263909162,1.3620972963687028,5
0.0,4.262375831604004,80.97446238705835,1.315280477143852,6
0.0,4.331374645233154,79.85289691674465,1.6369100997199557,7
0.0,4.409490585327148,77.87917346323556,1.5032524981348547,8
0.0,4.494107007980347,78.40245513747969,1.4920499140446726,9
0.0,4.578730821609497,77.89287692090303,1.5171444935471343,10
0.05,4.663352966308594,77.47973492344946,1.5190008019388488,11
0.05,4.748013019561768,76.36694816950985,1.1971376807837362,12
0.05,4.848257064819336,76.14611464432662,1.177626908338834,13
0.05,4.9329423904418945,76.62290507973944,0.9589259496012881,14
0.05,5.033181667327881,80.09146140719216,1.1578995121136693,15
0.0,5.1269145011901855,80.80776977221745,1.2255615251502028,16
0.0,5.211534023284912,83.09845150338731,1.0152810900354203,17
0.0,5.29615330696106,85.62615767035496,1.0788745839623806,18
0.0,5.38078236579895,85.44978975164138,1.1268690369759935,19
0.0,5.465404987335205,88.06581620000335,1.0921757849237728,20
0.0,5.550029516220093,87.3688841707224,0.9309592676214726,21
0.0,5.650281190872192,86.73858105801538,0.949698208951119,22
0.0,5.734892845153809,87.34940820341073,1.0099432295001292,23
0.0,5.813004016876221,87.54131348410708,0.8587621340297977,24
0.0,5.897625923156738,87.33265067158338,0.9268229415345333,25
0.05,5.997872352600098,87.86708000344366,0.802833943625711,26
0.05,6.082492113113403,88.37050330679259,0.8567765891184447,27
0.05,6.167118072509766,87.83391710835443,0.954350558282861,28
0.05,6.298603296279907,90.18052948741324,0.6872743162314205,29
0.05,6.383235692977905,90.23845401995378,0.6124689634953004,30
0.1,6.514723777770996,95.08402164051213,0.5912145839677708,31
0.1,6.630626440048218,95.28300169672056,0.7457465246303022,32
0.1,6.715298175811768,95.17712674212498,0.6476241573675012,33
0.1,6.7842652797698975,96.71031591888327,0.7454811504629806,34
0.1,6.868896722793579,96.29681908892806,0.5832022091444704,35
0.15000000000000002,6.969209432601929,95.91420499988998,0.4865171271910699,36
0.15000000000000002,7.053796291351318,96.05320589869572,0.6519033390444617,37
0.15000000000000002,7.138452529907227,96.43797717015224,0.51914462508165,38
0.15000000000000002,7.216569423675537,97.22395275940676,0.7009273445849691,39
0.15000000000000002,7.301204204559326,97.0791245745392,0.610633944713707,40
0.2,7.4014506340026855,96.71706706686439,0.6471315603668217,41
0.2,7.4860734939575195,97.47550378392063,0.48542445995108385,42
0.2,7.570695877075195,101.80571370684264,0.4246779410376792,43
0.2,7.670948266983032,103.47952345546437,0.5159388743134741,44
0.2,7.75560998916626,103.62069389953923,0.44974325395617687,45
0.25,7.855815410614014,104.13472011359883,0.4362271370264681,46
0.25,7.956068992614746,103.8760600578507,0.5332566122107674,47
0.25,8.056349277496338,103.24408698146262,0.489634158719473,48
0.25,8.140961170196533,103.1964875322212,0.39605684753778225,49
0.25,8.219075679779053,105.53572127537285,0.44143788082149915,50
0.3,8.303694486618042,104.97784680974856,0.33304033744115646,51
0.3,8.40393853187561,106.04985263282086,0.48359378164241307,52
0.3,8.488560438156128,106.61029268845587,0.5167534662435016,53
0.3,8.588802814483643,107.53079355004432,0.4623323455909115,54
0.3,8.689040422439575,110.11135781673043,0.41386382533453153,55
0.35,8.78928279876709,111.58558967765356,0.5208425357922436,56
0.35,8.905150175094604,113.96727485530353,0.42815593918289885,57
0.35,9.00539517402649,115.43098379916165,0.36375823570212523,58
0.35,9.1056387424469,116.73110084183558,0.3999835644300646,59
0.35,9.205888032913208,118.21518470783754,0.3896635979367735,60
0.3,9.32189679145813,118.75989666901518,0.3734725917970836,61
0.3,9.406458854675293,120.58169862420802,0.4238011099968282,62
0.3,9.522324085235596,121.13260026949071,0.5157863391638811,63
0.3,9.638200759887695,123.34816943218969,0.37196333626886025,64
0.3,9.737667560577393,123.71938274561835,0.3792244446368229,65
0.25,9.846479415893555,127.8084105557272,0.4579258133721825,66
0.25,9.939115047454834,130.03059348623066,0.2561229530016094,67
0.25,10.039779663085938,129.48226988782463,0.4388208715159583,68
0.25,10.160632133483887,131.29720484032805,0.35095354886826813,69
0.25,10.251227140426636,130.18514277433312,0.33142829408760904,70
0.3,10.352417230606079,132.60087090992508,0.48432272636376694,71
0.3,10.46116304397583,134.24846125026588,0.3510034922027175,72
0.3,10.549295425415039,134.62629808869798,0.35945270679614316,73
0.3,10.68730616569519,135.33785934753305,0.33892129639782237,74
0.3,10.787555456161499,136.81630423714776,0.44160314328153055,75
0.25,10.887810945510864,137.17703827514973,0.4443486145259762,76
0.25,11.003686904907227,138.6354555319606,0.3295073956991219,77
0.25,11.08830976486206,139.00852459674277,0.4903029280979101,78
0.25,11.21980333328247,138.46453701372812,0.4411405243619395,79
0.25,11.320050716400146,138.82813112652104,0.2623574050347794,80
0.3,11.420332193374634,136.4075281351241,0.3573269544765756,81
0.3,11.504921674728394,136.5878263617546,0.25707239139284743,82
0.3,11.605165719985962,138.79246617849506,0.2997707048634036,83
0.3,11.68979525566101,138.39992458244387,0.2986484017769347,84
0.3,11.790040493011475,139.51125471810548,0.28457916641004866,85
0.35,11.89028263092041,140.98915956072142,0.23904406435004083,86
0.35,11.99052381515503,141.906576129192,0.28649286264988577,87
0.35,12.090801000595093,143.3858208424876,0.24854403247289936,88
0.35,12.175416231155396,142.31385456173473,0.38740415829034386,89
