novelty,total_time,n_koeff,reward,iteration
nan,5.143863201141357,0.0,54.265109360589896,1
1.0223259987047957,5.244110822677612,0.0,54.16242813672157,2
1.1039137564566281,5.344369173049927,0.0,63.496543581047206,3
1.2940153854172187,5.42899227142334,0.0,65.78645013474376,4
1.0983199981694265,5.513608694076538,0.0,63.51448875758818,5
1.0486612270999016,5.607344627380371,0.05,69.76113326799855,6
1.0991041091255513,5.691999912261963,0.05,70.19170478673304,7
1.1470185801183652,5.792243719100952,0.05,71.67783738487731,8
1.0476028969332059,5.87687087059021,0.05,70.73491030259552,9
1.0237389201571971,5.961539268493652,0.05,72.83920430248259,10
1.1324247638264628,6.061751842498779,0.0,72.8496375411347,11
1.00203376058303,6.130761623382568,0.0,72.08972572770098,12
0.945507407651661,6.246673583984375,0.0,73.59259998882128,13
0.8666407699676101,6.331291198730469,0.0,72.90051687916132,14
0.9990357626805859,6.431575298309326,0.0,73.51976657925808,15
0.749838451404629,6.531783580780029,0.05,73.45103159699181,16
0.7450284748554548,6.616399526596069,0.05,73.43746077712859,17
0.9314183169061128,6.716641426086426,0.05,74.44943524016558,18
0.6883050559514248,6.794787883758545,0.05,75.34741938057711,19
0.8137284558369454,6.8793933391571045,0.05,75.70273640617577,20
0.6927923687002027,6.9796411991119385,0.1,76.48796562262625,21
0.6761570900955062,7.079895496368408,0.1,77.18259995887674,22
0.6277078394812783,7.1645166873931885,0.1,77.01990708936746,23
0.6787574659676929,7.249139308929443,0.1,77.2265766590628,24
0.611169286108556,7.3337695598602295,0.1,77.0712077638892,25
0.6107770179457505,7.4340150356292725,0.15000000000000002,77.27580261760752,26
0.8725117428962279,7.53427529335022,0.15000000000000002,79.52044220017233,27
0.869435156101275,7.634562969207764,0.15000000000000002,79.95588623498497,28
0.61161254345637,7.734771966934204,0.15000000000000002,80.0362391454475,29
0.6234339186224863,7.819384336471558,0.15000000000000002,79.49571004178172,30
0.6310405199463471,7.9352922439575195,0.2,80.78284921823968,31
0.5553927609579663,8.035511016845703,0.2,81.1255405937833,32
0.9772661044387596,8.135759115219116,0.2,81.43760273832932,33
0.5679643062684395,8.22044324874878,0.2,82.82122123144313,34
0.6298986915681648,8.320690631866455,0.2,82.27901040070167,35
0.5994383734439285,8.420936346054077,0.25,82.54665423970067,36
0.6727677142976582,8.499049663543701,0.25,82.54375329428872,37
0.6532732004048625,8.599291563034058,0.25,83.26999150212528,38
0.6527823052766104,8.715154647827148,0.25,85.14212481009255,39
0.5415871687270822,8.799776792526245,0.25,85.30665173426094,40
0.5766225503005925,8.900066375732422,0.3,85.23752906233477,41
0.6124959617980743,8.984696865081787,0.3,84.95264513137353,42
0.5984231581344372,9.084941625595093,0.3,84.466958804529,43
0.7170913028310584,9.2009117603302,0.3,85.25344541527564,44
0.7759390022438407,9.285541772842407,0.3,86.41948881375556,45
0.5287896263592018,9.401483297348022,0.35,86.54055859715915,46
0.5436522070915162,9.539613962173462,0.35,86.65335366108296,47
0.8141730534597826,9.62418508529663,0.35,86.36618586142127,48
0.5080635326867355,9.724435091018677,0.35,86.28164699503682,49
0.5097856007388604,9.802568197250366,0.35,86.39504615917929,50
0.7702404824864406,9.91844391822815,0.39999999999999997,87.14611141193711,51
0.7421475046192773,10.0030677318573,0.39999999999999997,88.44857212135192,52
0.7671908650132961,10.10331392288208,0.39999999999999997,88.26382575352513,53
0.47665812618962927,10.187941551208496,0.39999999999999997,89.20252166314384,54
0.5492376569626085,10.288185358047485,0.39999999999999997,89.39470839498357,55
0.5070981167900109,10.372807741165161,0.44999999999999996,89.01753003823768,56
0.9778017232730564,10.457461833953857,0.44999999999999996,89.95078444155735,57
0.7844557979787128,10.542050123214722,0.44999999999999996,91.99766240443705,58
0.5496949651030657,10.626740217208862,0.44999999999999996,92.19303102568179,59
0.7024081654237473,10.742680311203003,0.44999999999999996,92.0057477817327,60
0.5511146678860765,10.827300786972046,0.39999999999999997,92.00747856141115,61
0.5473715426681579,10.958802461624146,0.39999999999999997,93.30244688211742,62
0.7585092819873742,11.059083223342896,0.39999999999999997,93.11218903589567,63
0.5546140076421973,11.143737077713013,0.39999999999999997,94.03608097665541,64
0.7446973911705133,11.228320598602295,0.39999999999999997,94.96367771088043,65
0.7453350428779427,11.328629970550537,0.44999999999999996,96.26861012990614,66
0.5237929990853941,11.406742572784424,0.44999999999999996,96.27298150786564,67
0.7263922621622008,11.507099390029907,0.44999999999999996,95.91029508894243,68
0.6087710080319718,11.591748476028442,0.44999999999999996,96.10177514955319,69
0.725620795510893,11.692047357559204,0.44999999999999996,97.20329796234019,70
0.7193099071372635,11.776673555374146,0.49999999999999994,97.19174437396595,71
0.4983443642092926,11.86133074760437,0.49999999999999994,98.29994218301381,72
0.5013758848197101,11.961548089981079,0.49999999999999994,99.0191085041421,73
0.5284986474296747,12.061838865280151,0.49999999999999994,99.21374350641632,74
0.5470746951693534,12.162125587463379,0.49999999999999994,99.58390321306103,75
0.5180877619654399,12.246720790863037,0.5499999999999999,100.12642300477694,76
0.6723890800546473,12.362621784210205,0.5499999999999999,99.92504490099437,77
0.5291776703627215,12.47846531867981,0.5499999999999999,100.29837607200099,78
0.5256080077597355,12.59433102607727,0.5499999999999999,100.30581719068506,79
0.47099118720877686,12.678956270217896,0.5499999999999999,101.04476727651486,80
0.14817757741081877,12.779203414916992,0.6,100.86269257396724,81
0.5591291122701936,12.879447221755981,0.6,100.8628835026214,82
0.524395931700935,12.97969365119934,0.6,101.21938914437337,83
0.4827873224655085,13.09555983543396,0.6,101.39185106162105,84
