n_koeff,iteration,reward,novelty,total_time
0.95,1,54.11862844709765,nan,3.497471570968628
0.8999999999999999,2,81.93815165382352,0.24331179572093414,3.6601967811584473
0.8499999999999999,3,88.39997489892062,0.2245649850249991,3.7981958389282227
0.7999999999999998,4,105.34948846695701,0.3632424885739549,3.9453542232513428
0.7499999999999998,5,102.6083038786702,0.3299560040314738,4.083328485488892
0.6999999999999997,6,103.89501435862468,0.32185054883095765,4.214820146560669
0.6499999999999997,7,102.1671202334411,0.19248510977048777,4.36192512512207
0.5999999999999996,8,103.23298209187786,0.16000764256920566,4.515615701675415
0.5499999999999996,9,104.03604188955934,0.15385200381403533,4.700434923171997
0.4999999999999996,10,103.75666362659972,0.15036608918120328,4.878785133361816
0.4499999999999996,11,101.84224833371282,0.1765123221862574,5.032410383224487
0.39999999999999963,12,100.99590754215582,0.12609057146062105,5.179515838623047
0.34999999999999964,13,108.16021258619182,0.13272802255652205,5.3331358432769775
0.29999999999999966,14,110.31945638247517,0.1094758090598204,5.480241298675537
0.24999999999999967,15,112.18053537049916,0.09695602245058339,5.633859872817993
0.19999999999999968,16,112.5611297818292,0.11855335770041858,5.780967473983765
0.1499999999999997,17,112.43210976658166,0.08697735411119747,5.934589385986328
0.09999999999999969,18,111.79511111606497,0.0944582746814607,6.088210821151733
0.049999999999999684,19,112.70061020513496,0.08863134749772325,6.235328197479248
0.0,20,113.51274536478891,0.08202503135603566,6.388947010040283
0.0,21,116.85328476481642,0.06797944247806738,6.536074638366699
0.0,22,116.08221134693157,0.0640857483992079,6.68974757194519
0.0,23,115.41797808827393,0.06193126760285955,6.852510690689087
0.0,24,119.0509453163531,0.06371163368998456,7.021745920181274
0.0,25,118.69731623747892,0.06237481307999745,7.184501647949219
0.0,26,117.67522864743177,0.06605408375570969,7.369361162185669
0.0,27,119.81008050070385,0.053466580034502706,7.5229926109313965
0.0,28,120.79744345074018,0.0627033472028499,7.707862138748169
0.0,29,121.38631808103034,0.05604526858919953,7.8705830574035645
0.0,30,121.02270145234988,0.05912030558393754,8.0242178440094
0.0,31,122.45483425247251,0.044597111357574784,8.171324491500854
0.0,32,122.66226537242193,0.052710505734629036,8.324962854385376
0.0,33,122.57567856339003,0.04998416384915851,8.49419617652893
0.0,34,121.10859973652578,0.046946259654251914,8.641313552856445
0.0,35,120.78732298756783,0.049021402918832536,8.794927597045898
0.0,36,120.75570497635418,0.05288386609089196,8.942046642303467
0.0,37,123.21836499816082,0.04697985586438944,9.11130142211914
0.0,38,124.09584164552497,0.04708115003709271,9.258422613143921
0.0,39,123.71846557212034,0.03857334676562593,9.42767596244812
0.0,40,123.35251981581946,0.042711159625384146,9.596923112869263
0.0,41,123.48972358773304,0.04009008743330826,9.759693145751953
0.0,42,123.1756074585297,0.043225978417077614,9.928946256637573
0.0,43,123.74491616089827,0.041403109122411894,10.091667890548706
0.0,44,122.81331017285993,0.04762073120953513,10.245290756225586
0.0,45,123.34759323081266,0.04433466053456499,10.414557456970215
0.0,46,123.05361001366511,0.03885892954090757,10.56170105934143
0.0,47,123.37782299150255,0.045160599179778244,10.7153639793396
0.0,48,122.71828000851268,0.039958396325041314,10.862441301345825
0.0,49,123.5985244740027,0.03731890256826835,11.031694889068604
0.0,50,124.44065914290793,0.02820476839427453,11.181105136871338
0.0,51,125.18702744098051,0.030262297947487013,11.332234621047974
0.0,52,125.00251439061243,0.028504621058272527,11.501559495925903
0.0,53,125.17442152708082,0.0317406750067122,11.648722648620605
0.0,54,124.81305867721316,0.02711940044371844,11.81793737411499
0.0,55,125.55559112356417,0.036749317456444414,11.98067855834961
0.0,56,127.38825486195388,0.02828863825192643,12.134308099746704
0.0,57,128.6766033179868,0.03655152710874737,12.303558588027954
0.0,58,129.7759568683697,0.02765390357587928,12.46630859375
0.0,59,130.1273037530552,0.032098477461796754,12.619929790496826
0.0,60,131.78583244082733,0.034850535042425336,12.798278331756592
0.0,61,133.43615087325077,0.031535908395518064,12.967524766921997
0.0,62,134.17688321723188,0.02339314417519587,13.136887550354004
0.0,63,133.60958478148595,0.031739969296421415,13.283970355987549
0.0,64,136.0213235691635,0.029100904408781644,13.453224420547485
0.0,65,137.3179600233156,0.027659910099690984,13.622518301010132
0.0,66,138.64965531432227,0.031124188682369703,13.785202503204346
0.0,67,137.9060296390537,0.022007112102028655,13.938827514648438
0.0,68,139.75709258344372,0.029395506203045367,14.101558685302734
0.0,69,140.48707332383884,0.03446412965378884,14.255215644836426
0.0,70,142.31426772892334,0.03192395299881648,14.44016146659851
0.0,71,142.67856463866974,0.03279665971630234,14.625009775161743
0.0,72,143.9873017503658,0.02467823957232308,14.77213716506958
0.0,73,145.9981275675757,0.03158198342617797,14.941384315490723
0.0,74,145.62638574155815,0.02906371859153573,15.104122877120972
0.0,75,145.63769856532628,0.025813068865504264,15.25777792930603
0.0,76,146.17911015161266,0.030292070410821367,15.442757606506348
0.0,77,146.5275533398006,0.025235529126638453,15.589837312698364
0.0,78,147.45712759648174,0.022873656015399747,15.77473783493042
0.0,79,146.90814928763234,0.026373328995084912,15.928455591201782
0.0,80,147.2487804560321,0.024701609141455205,16.09115219116211
0.0,81,146.14857725027355,0.019513096051345366,16.2605140209198
0.0,82,148.34971137346406,0.021650836668710514,16.414130210876465
0.0,83,150.75360405793683,0.02456846353600896,16.561241626739502
0.0,84,152.970851534925,0.022420883779981,16.730483770370483
0.0,85,152.7980753600189,0.02549546375335226,16.877593755722046
0.0,86,153.5351309055901,0.025442136871600626,17.046844244003296
