novelty,reward,iteration,total_time,n_koeff
nan,92.30754232763314,1,4.541664123535156,0.95
0.22402041234973594,73.34682856540178,2,4.7265589237213135,0.5
0.22244283976402152,79.4210064986231,3,4.889366149902344,0.45
0.2209653446692672,94.0591544624169,4,5.0274741649627686,0.5
0.22618669259566093,86.2073587160435,5,5.190200090408325,0.45
0.2354981702095582,88.67441053103119,6,5.34382963180542,0.4
0.19774566768245108,87.79698745287114,7,5.513091087341309,0.45
0.1726916304961054,89.4532439159779,8,5.660242319107056,0.5
0.15943451149473797,90.76443622886866,9,5.8607165813446045,0.45
0.16669896725071742,90.85403349425106,10,6.014368534088135,0.5
0.157807290301599,90.12671015167996,11,6.214916944503784,0.45
0.1372240430801779,91.0527190306125,12,6.377689361572266,0.5
0.13455962994407286,90.37360076788794,13,6.54694128036499,0.45
0.1440941493177101,89.81106323091937,14,6.694058418273926,0.4
0.14562819180952613,94.83868203732442,15,6.847726821899414,0.35000000000000003
0.1326456369479734,93.4847017649723,16,7.010467052459717,0.4
0.13018419623449376,92.84200987101843,17,7.164122819900513,0.35000000000000003
0.09192590668543442,96.36809531150567,18,7.317753791809082,0.30000000000000004
0.07404833476161628,94.1652266573049,19,7.480493068695068,0.35000000000000003
0.07132593086112844,94.52991929233119,20,7.681015491485596,0.30000000000000004
0.06308813781987138,94.83190600139179,21,7.86588191986084,0.25000000000000006
0.07243991553946466,94.69282469682676,22,8.066415548324585,0.20000000000000007
0.0649958921221449,95.78558224918692,23,8.282527685165405,0.15000000000000008
0.05562883329272114,96.77448340861173,24,8.498693704605103,0.20000000000000007
0.047809681460120074,98.79865617732128,25,8.714836120605469,0.25000000000000006
0.055941469092060395,97.46039452013521,26,8.96877670288086,0.20000000000000007
0.05615059778657221,99.98639735941475,27,9.184864282608032,0.15000000000000008
0.047622048189699714,103.00855171146732,28,9.400977849960327,0.10000000000000007
0.05154234390634155,101.97908005349822,29,9.617135286331177,0.15000000000000008
0.04754079094807888,103.19305498063093,30,9.817626476287842,0.10000000000000007
0.04954196252216232,103.1320003060777,31,10.024617195129395,0.05000000000000007
0.049662764903859714,104.5251153423771,32,10.240737438201904,0.10000000000000007
0.0552800275163826,104.14675566243075,33,10.42560863494873,0.15000000000000008
0.046833991671763595,105.41405539299649,34,10.626131772994995,0.20000000000000007
0.045646347859139416,105.82151708688508,35,10.826617956161499,0.15000000000000008
0.04254352302099423,106.17405578736778,36,11.027105331420898,0.10000000000000007
0.03846665057899875,106.52922690854743,37,11.221088647842407,0.05000000000000007
0.03680345748263414,107.36562262036226,38,11.428124189376831,6.938893903907228e-17
0.04248337730155113,107.67149269488043,39,11.644285440444946,0.0
0.03462405317649135,109.14315691811157,40,11.844793319702148,0.0
0.04279262835721897,109.16786201956391,41,12.060874223709106,0.0
0.031376470635548055,109.40882505614545,42,12.277061462402344,0.0
0.04062544335786957,111.14243200790152,43,12.493141889572144,0.0
0.03482036409050315,111.76581815490749,44,12.70925784111023,0.0
0.04359792740932375,112.33858448914927,45,12.909799814224243,0.0
0.036316951730556324,113.6924907603935,46,13.09467101097107,0.0
0.03543575170831623,113.82298242464917,47,13.26395559310913,0.0
0.033699878141186246,113.3654853418184,48,13.433197498321533,0.0
0.041859450590595336,114.2492828557912,49,13.611567735671997,0.0
0.030908570061028016,114.54488917911803,50,13.79649043083191,0.0
0.03771103785893706,116.39199674598859,51,13.950113296508789,0.0
0.028099707472361755,118.24177743003372,52,14.135001182556152,0.0
0.04109022564971512,118.43153374450631,53,14.304296493530273,0.0
0.029400075590833172,118.25675331315018,54,14.56718397140503,0.05
0.027323810468010922,120.29323791227664,55,14.783355474472046,0.0
0.026330786769701808,121.04503688542296,56,14.968219995498657,0.0
0.022716662726877713,122.86067727658036,57,15.13748288154602,0.0
0.02483364244410537,123.78497078839598,58,15.35365891456604,0.0
0.025180237902512607,124.8818206663116,59,15.569790124893188,0.0
0.02327974886162075,126.16541426034124,60,15.770319938659668,0.0
0.026884271148761477,128.57534082901068,61,15.970872163772583,0.0
0.025616621927780178,128.94451961416112,62,16.155783653259277,0.0
0.029923748177327375,131.91955287927232,63,16.340616941452026,0.0
0.025062168403336547,132.8301409301294,64,16.54119300842285,0.0
0.02345969317857418,131.1752512009206,65,16.719619512557983,0.05
0.018541884793581005,131.91594631753208,66,16.88905096054077,0.0
0.020142065524299632,132.4742828900711,67,17.07391905784607,0.0
0.0241347299566436,133.2239302865623,68,17.29005527496338,0.05
0.02400621359046064,134.8909199950153,69,17.506171464920044,0.0
0.025146778276363004,136.36125378606488,70,17.744494676589966,0.0
0.020100684226754692,136.92013227605014,71,17.9385187625885,0.05
0.022760107278001464,137.46278830101218,72,18.145573377609253,0.1
0.025784158153526925,138.55736237571298,73,18.361864805221558,0.05
0.019989726047510873,138.7233157740815,74,18.562351942062378,0.1
0.022477690515987157,137.98263944507278,75,18.794159173965454,0.05
0.02103874053669792,140.57097982230803,76,18.979023694992065,0.1
0.021356407682573852,141.13990603422724,77,19.17955470085144,0.15000000000000002
0.019492202997867258,140.02059451750304,78,19.380041122436523,0.2
0.02178006558548519,140.9520486728112,79,19.596152782440186,0.15000000000000002
0.019564106157817653,140.57494276335927,80,19.78100895881653,0.10000000000000002
0.018084214147999683,141.3001505946493,81,19.997227668762207,0.15000000000000002
0.0173903186956957,140.90661436077988,82,20.182164907455444,0.10000000000000002
0.020220606461077265,141.27599126743024,83,20.382636547088623,0.15000000000000002
0.01728346545221545,140.538741922092,84,20.583176851272583,0.2
0.015548945982209265,141.6484332449305,85,20.83061933517456,0.25
