total_time,num_episodes,total timesteps,ep_rew_mean,entropy_loss,policy_gradient_loss,value_loss,total_loss
0.5265398025512695,154,1024,6.66,,,,
1.585787296295166,303,2048,6.62,-1.404123118147254,-0.011739260876041564,2.59262484125793,2.580885580381888
2.4268479347229004,450,3072,6.48,-1.3757266607135534,-0.005045476501463048,1.3547203596681356,1.3496748831666725
3.3105533123016357,565,4096,9.22,-1.3468763921409845,-0.012688240663357504,1.068199049681425,1.0555108090180676
3.9919841289520264,641,5120,13.6,-1.307378375902772,-0.019198195190032234,1.3447424601763487,1.3255442649863165
4.749169588088989,698,6144,18.18,-1.2613111548125744,-0.01142608471799398,2.007335551083088,1.9959094663650938
5.587962865829468,748,7168,19.96,-1.2226190902292728,-0.009671140859858773,1.488865464925766,1.4791943240659071
6.425591707229614,779,8192,26.5,-1.1982576623558998,-0.014667831411543902,1.639147225767374,1.6244793943558302
7.229419946670532,799,9216,39.96,-1.1745974402874708,-0.0013653210954206868,1.2420826889574528,1.240717367862032
8.114652156829834,812,10240,46.02,-1.1427117250859737,-0.007739551135736764,1.3605812648311257,1.352841713695389
8.920768976211548,828,11264,60.8,-1.1185637470334768,-0.004284127804328481,1.5878608468919992,1.5835767190876706
9.739351511001587,843,12288,64.52,-1.086583886295557,-0.0021522897664150507,1.3829646166414022,1.3808123268749872
10.556528806686401,852,13312,73.18,-1.050485946238041,-0.010902990076686575,1.0563257057219744,1.0454227156452878
11.406678915023804,857,14336,77.38,-1.028832709416747,-0.007653643089460141,0.9886865871958435,0.9810329441063833
12.240007400512695,866,15360,84.64,-1.0085368063300848,-0.0023462775314236775,0.7561764782294631,0.7538302006980394
13.047755479812622,869,16384,94.96,-0.9911747332662344,-0.006338865070517317,1.502276754938066,1.4959378898675486
13.885700702667236,869,17408,94.96,-0.9758459199219942,-0.0015541473270813976,0.6444464107044041,0.6428922633773227
14.719228982925415,874,18432,134.74,-0.9642239864915609,-0.006936317714822043,0.19639695808291435,0.1894606403680923
15.505649089813232,876,19456,140.42,-0.9235431849956512,-0.0032728397013720443,1.6139017501845956,1.6106289104832237
16.34205412864685,877,20480,159.02,-0.8760399632155895,0.0012238885598655127,0.8809253992512822,0.8821492878111477
17.17313313484192,877,21504,159.02,-0.8535785106942058,-0.0005720042632302007,0.48016651754733175,0.4795945132841016
17.907588481903076,878,22528,178.38,-0.8406538907438517,-0.003745820853627996,0.12316631176508963,0.11942049091146163
18.630290031433105,880,23552,216.46,-0.821102449670434,-0.0010794077879792794,0.5187116019660607,0.5176321941780815
19.40926766395569,881,24576,233.9,-0.8152132052928209,0.0008352996328677654,0.9031456677475944,0.9039809673804622
20.20246171951294,882,25600,243.6,-0.808120128698647,0.0018268286459770882,0.5624640743480995,0.5642909029940767
21.07176947593689,884,26624,282.02,-0.7838847041130066,-0.004866145666736755,0.5455209810752422,0.5406548354085055
21.915008068084717,884,27648,282.02,-0.7728983452543616,-0.007058887605047296,1.0373405674472451,1.0302816798421977
22.753734588623047,885,28672,300.52,-0.7741999365389347,-0.0034492493532361852,0.1102286217501387,0.10677937239690251
23.547284364700317,887,29696,333.38,-0.7669486096128821,0.0002017770312990147,0.64766494568903,0.647866722720329
24.320093631744385,888,30720,353.14,-0.771243522875011,0.0009922727760152239,1.1006273914827034,1.1016196642587186
25.138671398162842,889,31744,360.8,-0.7762295454740524,-0.006265442914622797,0.6044287263066508,0.5981632833920281
25.96157217025757,890,32768,380.24,-0.7857236452400684,-0.0021842315292882313,0.47867252881405875,0.4764882972847705
26.80514907836914,891,33792,398.74,-0.7949147569015622,0.00031634201541811476,0.7908786846091971,0.7911950266246152
27.617143392562866,892,34816,416.72,-0.8039178485050797,-0.002650761820552188,0.7986586159095168,0.7960078540889646
28.432695627212524,894,35840,436.46,-0.7970260279253125,-0.001759530547430381,0.7474579566041939,0.7456984260567636
29.228546380996704,895,36864,451.24,-0.7914250791072845,9.79078637171237e-05,1.2598748146556318,1.2599727225193489
30.010091304779053,896,37888,469.26,-0.7856768714264035,-0.0024760599050803623,0.8711782076861709,0.8687021477810906
30.7482430934906,899,38912,510.34,-0.7739157397300005,-0.0006360948244196613,0.8235158919706009,0.8228797971461812
31.505735158920288,899,39936,510.34,-0.7597143733873963,0.006079899898329703,2.151733226608485,2.157813126506815
32.30031657218933,899,40960,510.34,-0.7500265929847956,-0.0018753026208816333,0.03167589793156367,0.029800595310682035
33.279168367385864,900,41984,528.8,-0.7422377392649651,-0.002870922259819496,0.026999757654266432,0.024128835394446935
34.1919379234314,904,43008,587.82,-0.7418724875897169,-0.0025934255635431955,1.0330568368081003,1.0304634112445572
34.9868848323822,904,44032,587.82,-0.7514984020963311,-0.0015161587033552925,3.9992331489920616,3.9977169902887066
35.70854425430298,904,45056,587.82,-0.7514040321111679,-0.005274570831516185,0.08484187896829098,0.07956730813677479
36.498634576797485,904,46080,587.82,-0.7484875777736306,-0.0018861077437899146,0.044568617100594565,0.04268250935680465
37.422114849090576,908,47104,657.72,-0.7244507046416402,0.0006447229317184063,0.042135639931075275,0.042780362862793686
38.18407082557678,908,48128,657.72,-0.708967543207109,0.00039901901088631965,4.216058450751007,4.2164574697618935
38.97692012786865,909,49152,663.38,-0.7068004962056875,-0.00038608756424961125,0.04029538299073465,0.03990929542648504
39.79108238220215,910,50176,670.62,-0.6877169096842408,-0.0025639214220944937,1.0256398482015356,1.0230759267794411
40.57293176651001,912,51200,709.62,-0.6646080864593387,0.006797867826911358,0.5747514890681487,0.58154935689506
