total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,intrinsic_loss,entropy_loss,policy_gradient_loss,value_loss,total_loss
8192,0.009862198,178,32.07397744,3.008769989013672,,,,,
16384,0.39122456,295,50.1881546,21.505513906478882,2.081007134448737,-1.4080398622900248,-0.003845345086295657,0.7967934285290539,1.833451650667127
24576,0.028153881,353,116.19592378000002,40.66510629653931,101.58339184373617,-1.389032184612006,-0.009761464321633205,0.23682221544440835,51.01875667299086
32768,0.00040939928,405,154.92064520000002,59.42694044113159,0.5587123351288028,-1.3656321213580669,-0.011691400018431542,0.1668996857770253,0.4345644533229952
40960,2.8712315e-09,481,130.68312443999997,78.7369966506958,0.13858983082463966,-1.367125853896141,-0.00376335632641501,0.18597328791511245,0.2515048470010172
49152,1.0845746e-11,584,105.68377014,100.34623289108276,0.0313570880171028,-1.3712482086382807,-0.0033125706485359007,0.1986662627721671,0.21103223613218258
57344,9.969029e-12,703,95.12686827999998,118.9603385925293,0.010597432930262584,-1.3712322659790517,-0.002319481633886684,0.20869956950773486,0.21167880433897945
65536,9.393216e-12,825,97.33962468,137.29565405845642,0.003326504570850375,-1.3686345039866865,-0.002795144556596095,0.19994442296447232,0.19881253069330143
73728,8.958696e-12,957,93.64574718000001,156.09806632995605,0.000832208865699613,-1.3626620908267797,-0.003047459779440373,0.16327290640911088,0.16064155106252032
81920,9.009784e-12,1067,108.22771454000002,174.5074393749237,0.00048200807850662386,-1.353589076921344,-0.004731828848832916,0.17194240759999957,0.16745158279041997
90112,9.387199e-12,1169,119.58463962,193.0773696899414,0.0003895209167808389,-1.344115896522999,-0.005123414814823953,0.16006471214350312,0.1551360577870696
98304,8.418118e-12,1258,132.1599978,211.3473460674286,0.00024733855880185727,-1.330201878398657,-0.003638514987266853,0.1634103982738452,0.15989555256597926
106496,7.901508e-12,1334,144.16585134,229.72459936141968,0.00016464816962127315,-1.3120608796365558,-0.004690411212568365,0.15277935997291933,0.1481712728451616
114688,7.997887e-12,1399,173.26864404,247.57629323005676,0.0001262529955681657,-1.3069659320637583,-0.0040426272289983915,0.14468215802044143,0.1407026572892271
122880,7.905531e-12,1446,230.22167306000003,266.1816215515137,8.467853620288678e-05,-1.2982201562263072,-0.003827188089593253,0.13412801411177497,0.13034316529028317
131072,7.71945e-12,1488,254.95732432,285.12414932250977,8.042542337989289e-05,-1.280262977257371,-0.004393626030153251,0.11690649008669425,0.11255307676823094
139264,6.9496115e-12,1523,278.2311586,303.03979444503784,5.731760360276894e-05,-1.2798223049379884,-0.001941555387093614,0.10472487686492968,0.10281198027963745
147456,7.2519725e-12,1554,298.48205606000005,322.1187334060669,3.6226278474771334e-05,-1.270799162145704,-0.0037498401590966893,0.10091194423002889,0.09718021721016959
155648,5.196482e-12,1580,362.60418059999995,340.6439960002899,3.9143837291533146e-05,-1.2642013552598654,-0.0026584616528005883,0.08767239062144654,0.08503350088729171
163840,4.840826e-12,1599,432.59670130000006,359.53954887390137,2.9485560574471492e-05,-1.256921328790486,-0.002971278352259921,0.06822357734927209,0.0652670417772994
172032,4.190044e-12,1621,458.14322463999997,377.756222486496,3.0219844173728916e-05,-1.2484157578088344,-0.0037265853156038973,0.09333978982904227,0.08962831443552524
180224,1.3452345e-12,1640,505.00993187999995,396.23448181152344,1.736613574934154e-05,-1.2298176585696639,-0.004369272159207465,0.0840020305957296,0.07964144150439681
188416,3.7717395e-15,1651,557.46325678,414.807058095932,1.548139601190712e-05,-1.213737662229687,-0.0030312860466340705,0.06536793266859604,0.06234438731996792
196608,4.7928834e-15,1665,634.530858,433.38791131973267,8.44406694540112e-06,-1.2058507788926363,-0.002401931515394639,0.05661704841913888,0.05421933893721694
204800,2.885535e-15,1681,707.54188236,452.0340256690979,1.1149237730734285e-05,-1.1929144147783517,-0.0029066162838356766,0.07709976414771517,0.07419872248274487
212992,3.1054837e-15,1693,758.5246344999998,469.87767004966736,1.044538595849076e-05,-1.1678926818072797,-0.002795630444065017,0.11626775166369044,0.11347734391260467
221184,2.4481224e-15,1703,806.53389566,488.2904396057129,8.94521901528833e-06,-1.15638093277812,-0.0019419328781916903,0.07624835359674761,0.07431089332806358
229376,4.062564e-15,1713,873.0604362400002,507.24499344825745,5.424394035369318e-06,-1.1403695162385703,-0.0019303745488482547,0.07587839874904603,0.07395073639721546
237568,2.7954124e-15,1722,929.3854819999999,525.717143535614,4.053859017627559e-06,-1.124096098355949,-0.0018815850719342414,0.08121415959612932,0.0793346014537039
245760,2.5039018e-15,1735,962.2302294800002,544.412086725235,4.5428892131660344e-06,-1.1050571630708874,-0.0018854000134324752,0.08182096456148429,0.07993783599265838
253952,2.146647e-15,1743,1016.9863850599999,563.0555286407471,6.306968231983845e-06,-1.099490674957633,-0.0016871347260904307,0.11560676499721012,0.11392278375523568
262144,2.1020033e-15,1755,971.2525669400001,581.4492409229279,2.371925007160769e-06,-1.090463476255536,-0.002345568157395613,0.07057174296060112,0.0682273607657091
270336,1.917194e-15,1767,951.4204709999999,600.153657913208,3.018955335098994e-06,-1.088884479459375,-0.0023915473729102807,0.09709970724725281,0.09470966935201008
278528,1.917465e-15,1780,954.18389036,618.2477967739105,2.496255803885461e-06,-1.094059672486037,-0.0018802858593535271,0.11105682802335651,0.10917779029190493
286720,1.8658929e-15,1790,960.71126454,636.4215557575226,2.1032762103967428e-06,-1.1039815356954932,-0.0037337710151117047,0.11109545567305759,0.10736273629605109
294912,1.7638097e-15,1800,973.84536712,654.4901571273804,2.977945813498195e-06,-1.098522871080786,-0.0016826064464955724,0.09232522824240733,0.0906441107688185
303104,1.4510159e-15,1814,974.4380233400001,673.1468052864075,1.613780897313788e-06,-1.0991342777386308,-0.0022229202866269606,0.08574282112385845,0.08352070772768014
311296,1.0742404e-15,1827,987.8442378000001,691.5138928890228,2.6244431196698058e-06,-1.0869413219392299,-0.0015978064671700021,0.10708527439492173,0.10548878014931158
319488,6.879754e-16,1841,965.5451865800002,710.1552476882935,1.662909653932232e-06,-1.0673081865534186,-0.002516532433250249,0.10343097964432672,0.10091527866590344
327680,8.652168e-16,1858,897.24590184,729.0866093635559,2.0524339828908998e-06,-1.0549915347248315,-0.001873565566412468,0.09170549954869785,0.08983296019927682
335872,6.354006e-16,1878,845.80879188,747.3501195907593,1.5388642963798382e-06,-1.0550382385030388,-0.0017173464983752096,0.10057525883821654,0.0988586817719895
344064,8.5331507e-16,1897,761.0537400600001,765.7607090473175,1.637859806469244e-06,-1.0510941137559713,-0.001437368058303389,0.10186771407461492,0.10043116494621476
352256,5.939845e-16,1919,772.1711751600001,784.490195274353,1.1418888771208557e-06,-1.0426319686695933,-0.002261470320515582,0.09571039462898626,0.09344949525290923
360448,3.2564192e-16,1946,693.54684256,802.9228847026825,1.4813296716598146e-06,-1.0346787820570171,-0.002094757604813019,0.10834237189119449,0.10624835495121729
368640,1.2001038e-16,1974,580.3611796399999,821.5750987529755,1.3000295337239897e-06,-1.022963344398886,-0.0014093741226689493,0.13245180365047418,0.1310430795425721
376832,2.8362046e-16,2009,510.95791636000007,840.1026830673218,9.809567560470356e-07,-1.0163713341578842,-0.0007971707305615864,0.11497739669284783,0.1141807164406643
385024,9.865213e-17,2041,556.85148366,859.1008911132812,7.136942613006347e-07,-1.0112039286643266,-0.001346346806783513,0.12539416500076186,0.12404817504110899
393216,7.739037e-18,2073,567.8494533400001,877.4823801517487,7.386345535820294e-07,-1.004953685682267,-0.0018546047477489458,0.12266442889376776,0.1208101934632956
401408,6.2978562e-18,2110,489.01393606000005,896.1368834972382,7.20774949414249e-07,-1.0123097706586122,-0.0025911169234199565,0.15475383734010392,0.1521630808041587
409600,2.8952326e-18,2149,442.56502381999996,914.3706018924713,7.03678579960787e-07,-1.0183235604315997,-0.0027358112502784684,0.2315516787377419,0.22881621932675342
417792,4.2273373e-17,2187,437.3466014399999,932.8936953544617,6.010467786143891e-07,-1.0197259196080268,-0.0034038000994998643,0.20649945656768978,0.2030959569915792
425984,1.7301302e-19,2223,500.74814638,951.5835626125336,2.9700851698483134e-07,-1.0164859228767456,-0.0024017722110178156,0.12560445412673288,0.12320283041997357
434176,8.817199e-19,2259,530.7102048999999,969.5564386844635,3.0523331292497955e-07,-1.004192552017048,-0.0021545338473888047,0.10187325318693183,0.0997188719561995
442368,6.703661e-20,2294,526.7932564600001,987.7739989757538,2.7378857818671777e-07,-0.9885070947930217,-0.0021403725096385243,0.10880413941049483,0.10666390379514538
450560,2.0988196e-20,2327,566.31067122,1006.2954523563385,2.1043176355456383e-07,-0.9760167769156396,-0.0013922671502460684,0.08578726389823714,0.08439510196387286
458752,5.3553927e-19,2361,567.2059620800001,1024.7531652450562,1.656301607311228e-07,-0.9685932325199247,-0.0017171727344534257,0.06941438074572943,0.06769729082635637
466944,7.179483e-19,2392,604.91652814,1043.5305070877075,1.2471123566754062e-07,-0.9609240049496293,-0.0012898032286993819,0.07997097212864901,0.07868123125556746
475136,1.4842257e-18,2427,596.0963791199999,1061.7843644618988,1.2184677266810495e-07,-0.9612665250431747,-0.0021804862000802962,0.07918687146593584,0.07700644618924188
483328,2.2325272e-20,2462,562.3131713999999,1080.1032099723816,1.5747892351536398e-07,-0.9511510463431477,-0.0014924346635415498,0.12938151771813863,0.12788916179405888
491520,2.3041623e-20,2497,620.30532758,1098.2351648807526,8.743274738376439e-08,-0.9487281314097344,-0.0015173513752121698,0.11192257019865792,0.11040526253981946
499712,1.473237e-19,2532,609.5084157,1116.368423461914,7.105948048764798e-08,-0.9399775642901659,-0.0023757748559522806,0.09306190799106843,0.09068616866485639
507904,1.5135867e-16,2568,601.7794688199999,1134.2967927455902,5.981136353850474e-08,-0.9408905548043549,-0.0015817530862925577,0.08124898237438175,0.07966725919377095
516096,1.4077808e-19,2600,623.7589633,1152.5000913143158,5.4102234276626196e-08,-0.9468882761429995,-0.0007388429755796776,0.09687517759302863,0.0961363616685661
524288,1.8840557e-17,2633,650.3966073999999,1170.6207897663116,2.4779650980178564e-08,-0.9482470110524446,-0.0017706461285661875,0.10452834571988205,0.10275771198114136
