num_episodes,ep_rew_mean,total_time,total timesteps,mean_int_reward,intrinsic_loss,total_loss,entropy_loss,value_loss,policy_gradient_loss
527,11.149086479999996,3.028388500213623,8192,0.017967302,,,,,
1026,11.755946,20.48592710494995,16384,0.2400309,3.924291629064828,4.107362418385771,-1.4180573691613971,2.1494968311861156,-0.00428022733275977
1479,12.745121559999998,37.72246479988098,24576,0.016440341,19.465789598971604,10.863913229033672,-1.4157064493745566,1.1360874025616794,-0.005068973013809356
1885,15.9116714,55.582087993621826,32768,0.00023935811,0.18358316085650586,0.7019605904922139,-1.4044941454194486,0.6190723724896088,-0.008903362425647843
2243,21.079646220000004,72.62132358551025,40960,3.462307e-09,0.0169315324168565,0.5528280530196042,-1.3890617374330758,0.5548290408332832,-0.01046675402210714
2551,29.130869900000004,90.44861769676208,49152,5.780085e-15,0.0028850905295712435,0.6424354558428007,-1.3643951603211462,0.6515976628055796,-0.010604752227564539
2778,50.93503974,108.16116380691528,57344,5.1294757e-15,0.0016109957359503823,0.809689232466414,-1.3450798985548318,0.8182954870630056,-0.0094117524645669
2916,101.89296159999999,125.70914435386658,65536,6.1876045e-15,0.0010825839228004951,1.365332183967821,-1.3275250824168325,1.3732873558998109,-0.008496463893389955
3029,115.38032356,142.89600014686584,73728,6.9558964e-15,0.0009911509005178232,1.5679240380600532,-1.3065600608475507,1.572039752220735,-0.004611289610940665
3146,110.75760107999999,159.94815683364868,81920,6.6187083e-15,0.0003336425272948418,1.1011824863250177,-1.2930532538332045,1.1024955580709501,-0.0014798930095801283
3272,97.6827179,177.60131359100342,90112,5.9772184e-15,0.00015289356159939871,0.9787396799285781,-1.2925582976080476,0.9794539127964527,-0.0007906796486740625
3387,109.343399,194.70176124572754,98304,7.204007e-15,8.073536426564943e-05,0.8006087456257532,-1.2962742847390474,0.8033566357102245,-0.002788257766604041
3496,125.34354616,211.76045608520508,106496,8.117046e-15,9.723755328820971e-05,0.36778558997090105,-1.2863837883807718,0.37060929291765204,-0.00287232172339514
3603,117.87413396,229.42939472198486,114688,7.989472e-15,0.00010357169949344325,0.25026824812245885,-1.2684825104661286,0.25297877662233076,-0.002762314349618654
3707,127.31735735999999,246.7285692691803,122880,8.894486e-15,5.4228159164892986e-05,0.2159781711966045,-1.2624524800106882,0.21950375526794233,-0.003552698150920286
3808,132.64584416,264.1468975543976,131072,8.699523e-15,4.990986617556814e-05,0.2041173000249843,-1.2448674223385752,0.20799921439029276,-0.003906869298396217
3895,159.48074474,281.5526967048645,139264,8.904371e-15,4.304392341403229e-05,0.168407566340331,-1.2315887816250324,0.1716217653651256,-0.0032357209865016175
3982,158.95277578000002,299.03910541534424,147456,9.3344776e-15,4.1733533017307424e-05,0.12753654571255085,-1.2131645155139268,0.13062027460255193,-0.0031045956565097566
4059,183.22968293999998,315.55385088920593,155648,9.511404e-15,3.394658843873799e-05,0.10658322460209649,-1.2017875803634523,0.10920423577772453,-0.002637984469847422
4139,180.82237994,332.94654655456543,163840,8.322729e-15,3.189142301103231e-05,0.0590955449003833,-1.1800501096062361,0.06064866142187384,-0.0015690622329960497
4220,179.20728668,350.0125961303711,172032,9.21748e-15,3.0074728863382914e-05,0.08904587381056908,-1.1615212298929691,0.09156876984779956,-0.00253793340166218
4300,189.49289744,366.92713046073914,180224,9.244997e-15,2.4652244658085465e-05,0.09113512547272402,-1.1587366081774235,0.0942594299063785,-0.003136630555983512
4381,196.30086484,384.33970856666565,188416,9.558963e-15,2.0365659220189513e-05,0.06758480802137377,-1.1468384115956725,0.06910963871960121,-0.001535013527837522
4461,201.58424701999996,401.5012149810791,196608,7.945529e-15,2.0305828932620783e-05,0.0678419763618155,-1.1369971983134746,0.07003015159571077,-0.0021983281483615833
4541,204.87867102,418.69219875335693,204800,6.5301666e-15,1.7209783193550267e-05,0.070816087781822,-1.1349082957021892,0.07358653013361618,-0.002779047243390961
4620,209.58527592,435.61376094818115,212992,6.7131355e-15,1.314512361076936e-05,0.10473409788122293,-1.1261851291172207,0.10602407331898575,-0.001296547999568207
4697,212.98537316000002,452.5484857559204,221184,6.5751915e-15,1.3741884364293356e-05,0.10647181235708,-1.1177133624441922,0.10772617160255323,-0.001261230187655372
4772,217.02570296,470.17420053482056,229376,6.4844684e-15,1.0630474878503548e-05,0.10493499433684003,-1.108078813366592,0.10662481335530175,-0.0016951342559009604
4849,211.41600167999997,487.5052342414856,237568,6.8115607e-15,8.02847653140759e-06,0.10904568757642166,-1.1048208821564913,0.11043666554796801,-0.001394992209812049
4923,220.56232569999997,504.94662714004517,245760,6.574656e-15,9.37310490316534e-06,0.12140146892157219,-1.089132146909833,0.12277838606532895,-0.0013816036962083355
4996,227.59139092000004,521.8727192878723,253952,5.78543e-15,1.0210843637281641e-05,0.10499467937117055,-1.0729879634454846,0.10563550585575285,-0.0006459319064009428
5067,235.09320846000003,538.6682024002075,262144,5.0933285e-15,5.790503184943674e-06,0.08414632909662771,-1.0661252977326512,0.08542532379688055,-0.001281889951845303
5139,237.29411792000002,556.3017065525055,270336,5.5399656e-15,3.9435241292906655e-06,0.07374526415288576,-1.0500173958018422,0.07452342572523776,-0.0007801333344166451
5209,239.04721983999997,573.466733455658,278528,4.930201e-15,6.829885081893749e-06,0.06675531996834627,-1.0325961934402585,0.06768750570518023,-0.0009356006793749059
5278,243.25752391999998,590.280127286911,286720,3.0919193e-15,7.024982068148944e-06,0.06412399982565793,-1.0118238652125,0.06547753280319739,-0.0013570454685735407
5349,244.75017445999998,607.7270247936249,294912,2.1888555e-15,5.605034139843923e-06,0.05916564180203595,-0.9947063879575581,0.05976443641684455,-0.0006015971318785187
5418,245.98176779999997,625.371798992157,303104,2.0971826e-15,3.1441921140462627e-06,0.06533215934071683,-0.9768438311759382,0.065602213276361,-0.0002716260317011918
5489,245.60678907999997,642.2109067440033,311296,1.1855876e-15,3.04787175582355e-06,0.05259471391679562,-0.9678873361553997,0.052936781012067516,-0.0003435910311498112
5563,242.37287171999998,659.3785910606384,319488,5.857852e-16,5.115694244572921e-06,0.06602148752079595,-0.9588688286487013,0.06560762488825275,0.0004113047854208961
5635,241.71099272,676.3745512962341,327680,4.5465976e-16,3.9397707576327434e-06,0.0648796894585628,-0.951513678766787,0.06601895399671776,-0.0011412344235337665
5707,251.77636874,693.7786979675293,335872,3.3590664e-16,4.380505670020796e-06,0.06635642765995937,-0.9468966128770262,0.06802698883675476,-0.001672751429630391
5779,240.59583601999998,710.6794140338898,344064,3.054226e-16,4.042057100317464e-06,0.05778081420019392,-0.9510856818407774,0.05777851647599164,2.766956521250627e-07
5849,250.73579178,728.0258829593658,352256,3.3643143e-16,6.553087883442998e-06,0.0706289038475943,-0.9488156503532081,0.07124531289318839,-0.0006196855895358133
5920,256.81393088,745.3398694992065,360448,5.0689856e-16,4.721872802093685e-06,0.057165533039752116,-0.9355721757281572,0.05675960153639607,0.0004035705669549864
5991,251.79207183999998,762.2137622833252,368640,2.2182966e-16,5.131766052279829e-06,0.07152766163343546,-0.9335485234390944,0.07158461822382378,-5.9522473414462495e-05
6059,261.96581743999997,779.1649942398071,376832,2.7013064e-16,4.245870417785014e-06,0.07348771665057689,-0.9315488211344928,0.07425511705077951,-0.0007695233354115215
6129,255.38411040000005,796.2107620239258,385024,1.4808198e-16,3.1568666123416023e-06,0.057155302823842,-0.9265661180019379,0.057592373276565925,-0.00043864888603008863
6201,250.56938992,813.4375290870667,393216,1.1529864e-16,3.481346418321429e-06,0.07086582463859792,-0.9228991094045341,0.07110890667572675,-0.00024482271033800744
6269,258.93903794,830.6744706630707,401408,2.5995605e-16,3.4427625852595512e-06,0.07732493828698746,-0.9045658545568586,0.0779751155852864,-0.0006518986795915757
6336,267.54357317999995,847.633127450943,409600,1.4984299e-16,2.4424318466609307e-06,0.051894477933876124,-0.8822964784689248,0.051902103118663945,-8.846400711149793e-06
6405,269.51347505999996,865.3480224609375,417792,1.8652441e-16,3.3333035002414136e-06,0.05050076596986216,-0.8631072339136153,0.05041378234818694,8.531696992509922e-05
6470,274.18422728,882.2850193977356,425984,1.3639255e-16,5.178221293489216e-06,0.053097138117802846,-0.8592034170404077,0.05464481199760485,-0.0015502629904487499
6535,267.31017102,899.3261530399323,434176,2.6081743e-16,1.7549910815262138e-06,0.044891250922269504,-0.8624020304065197,0.04538362386410881,-0.0004932504373800712
6601,272.15357778000003,916.3166179656982,442368,2.8321322e-16,3.7350834319216377e-06,0.07289432254042956,-0.856020407192409,0.07318548521616322,-0.00029303021744962857
6664,278.91131386,933.3991799354553,450560,3.804654e-16,2.803958422359365e-06,0.06542263630330457,-0.8412282084114849,0.06614612856119492,-0.0007248942371015324
6727,285.87705806,950.4850382804871,458752,4.101782e-16,3.2812085872357953e-06,0.05787697359110068,-0.8298096822574734,0.05846379031427205,-0.0005884573274649808
6789,283.93422296,967.7097573280334,466944,3.361426e-16,2.8128540045413432e-06,0.04848599979259079,-0.8232085821218789,0.04845351341609785,3.107994949067428e-05
6852,281.22629543999994,984.4731888771057,475136,2.8946663e-16,2.731921118748204e-06,0.04667641166733806,-0.8167097423225641,0.04692024005998974,-0.0002451943532110495
6915,281.45150892000004,1001.8497622013092,483328,2.1581044e-16,2.812105912131102e-06,0.07094743601950207,-0.8239299941342324,0.07236090708393021,-0.0014148771173842123
6979,287.69286934,1018.4826910495758,491520,2.3563528e-16,3.0948039038358744e-06,0.042510523904466774,-0.8202765660360456,0.042740114756634286,-0.00023113825411943053
7040,293.29090226,1035.870723247528,499712,1.6440089e-16,2.6438269745576727e-06,0.03699773200813414,-0.8122989275027066,0.037670563062783914,-0.0006741529681370568
7100,299.21177375999997,1053.2501459121704,507904,1.7111893e-16,1.9680291909351945e-06,0.041107263726004775,-0.8036213666200638,0.041409247960109495,-0.00030296824870018244
7161,291.85245499999996,1070.7259542942047,516096,1.3939202e-16,1.6070210251406536e-06,0.038751382275213034,-0.7849522933363915,0.038876580625401405,-0.0001260018607009407
7222,296.22923756,1087.9713966846466,524288,1.1900387e-16,2.039707384882128e-06,0.04538664856110845,-0.7713452982250601,0.04535218418895966,3.344451845635806e-05
7283,294.77302649999996,1105.2561190128326,532480,8.744428e-17,1.5524835771274503e-06,0.03288130214456636,-0.7707963909488171,0.03344636922320206,-0.0005658433204242628
7344,300.8310806,1122.1761119365692,540672,5.9109e-17,1.4535023181272422e-06,0.034202194228932004,-0.765267819724977,0.0342672064089129,-6.573893113995775e-05
7404,297.1549608,1138.9553046226501,548864,5.0353796e-17,1.3004085632983831e-06,0.03182667022531719,-0.7451215764973312,0.032187478364176056,-0.00036145834314051746
7464,295.79129775999996,1156.0272853374481,557056,5.725802e-17,1.2095101355968919e-06,0.04189675841756934,-0.7313624384347349,0.041265375204966405,0.0006307784575351416
7525,300.67352304,1173.380765914917,565248,8.323963e-17,1.2619397046109703e-06,0.033991353989890505,-0.722134806914255,0.03429935225294685,-0.0003086292329086495
7585,305.41860346,1190.2190208435059,573440,3.5771273e-17,1.6146666931615704e-06,0.03304285948816475,-0.710252819256857,0.03312415710734058,-8.21049525224011e-05
7643,309.4865802,1207.0298359394073,581632,6.1187734e-17,1.0288208606379357e-06,0.03611217951677954,-0.715284077776596,0.036130941292594795,-1.9276186245579997e-05
7703,312.81613196,1224.7046480178833,589824,6.559844e-17,1.7552362696071633e-06,0.03707625881424883,-0.7186412916984409,0.03756073213562559,-0.00048535093951156355
7761,318.66241283999994,1241.536050081253,598016,3.760422e-17,8.526422168309011e-07,0.04034412029737831,-0.7000934681389481,0.041056277637107993,-0.0007125836608381033
7819,327.11120188,1258.790007352829,606208,9.279332e-18,1.0636024620147567e-06,0.045182181325931894,-0.690748635539785,0.04546722522845812,-0.0002855757037572258
7874,337.33782465999997,1275.97665309906,614400,3.5640476e-17,7.562284879580882e-07,0.03641083969646801,-0.6806400953326375,0.036662616701050865,-0.0002521551188268289
7930,347.9536423800001,1293.3582575321198,622592,5.2130765e-17,1.0836521544155264e-06,0.03647598506841716,-0.6604601317550987,0.036475916653762396,-4.734114224429556e-07
7986,347.00763958000005,1310.35675740242,630784,2.7725476e-17,6.082229908443982e-07,0.03824259300804818,-0.6341344448272139,0.03916069962251641,-0.0009184107259636465
8039,359.7398205399999,1327.606514453888,638976,1.5528963e-17,9.527433579931133e-07,0.03513063484360405,-0.6120704908855259,0.03582302447521215,-0.0006928660032870975
8094,351.60872544,1344.445531129837,647168,1.6428561e-17,6.955173410733151e-07,0.03750908940561478,-0.6013760761823506,0.035567176922995714,0.0019415647239485283
8146,371.01424382,1361.43701004982,655360,1.6753805e-17,7.775218414440843e-07,0.04805563208136596,-0.5903879919089376,0.048166458479317956,-0.00011121515887271942
8201,356.56128831999996,1378.2969360351562,663552,1.8855463e-17,5.604402685488452e-07,0.029505924613166708,-0.57265396527946,0.029348054633373977,0.00015758975965845617
8255,359.03193746000005,1395.7652559280396,671744,3.2678816e-17,6.815324382708487e-07,0.05847984083609738,-0.5679950128309429,0.05831236676003755,0.00016713330984068943
