mean_int_reward,num_episodes,total timesteps,ep_rew_mean,total_time,entropy_loss,intrinsic_loss,value_loss,policy_gradient_loss,total_loss
0.02597319,484,8192,14.445452359999999,2.839879274368286,,,,,
0.22271816,894,16384,18.01533916,18.717302083969116,-1.4121243024244905,10.91536798357265,1.3495988573646174,-0.003835184782422003,6.8034476643685196
0.022093756,1224,24576,30.563414279999996,33.768723011016846,-1.3912407263182103,31.476272775232793,0.5950348570127971,-0.011774456854000238,16.321396787775193
0.00046774733,1508,32768,34.76543204,49.349552154541016,-1.3721363490447402,0.3792971513030352,0.525608413037844,-0.011277437154708721,0.7039795515346529
6.784709e-09,1781,40960,41.65947684,64.69747543334961,-1.3390840226784348,0.009125306631722197,0.47582403568085285,-0.009704560124813485,0.4706821288719004
1.4738707e-12,2036,49152,49.29335706,80.47945523262024,-1.3113187136128546,0.001732450509894079,0.40646523658651856,-0.006901208737726474,0.4004302531037392
9.779292e-15,2263,57344,57.082906,96.39035320281982,-1.2940229060128332,0.0006529589601655062,0.34280057312571444,-0.005180482100678388,0.3379465705051188
1.0725077e-14,2495,65536,54.771130699999986,113.97861862182617,-1.2830721912905574,0.00042847994724866113,0.2677120436448604,-0.004078924219205695,0.26384735939927906
9.579448e-15,2701,73728,61.87276942,130.65317249298096,-1.268461732007563,0.00021047584119742168,0.2403161918686237,-0.004620788826199752,0.23580064096302267
9.0560875e-15,2895,81920,62.04081078,147.62437057495117,-1.2481231111101807,0.00017773230083832913,0.21154188807704485,-0.0036747968696561537,0.2079559573578079
7.4823214e-15,3077,90112,68.0520071,164.99264669418335,-1.2305393855087459,0.0001628473836547073,0.18895729473151732,-0.004218437296317285,0.18482028112702736
6.5219064e-15,3243,98304,72.63024284,181.43938660621643,-1.2143754053860902,9.327839865562737e-05,0.1823182079344406,-0.0025124600544092304,0.1798523870793592
5.8483864e-15,3404,106496,75.48883268,198.37483644485474,-1.2000023921020329,7.818616319994476e-05,0.16821124142443294,-0.0020257561819024914,0.16622457832413043
6.612655e-15,3539,114688,87.55432917999998,215.34978795051575,-1.18763035973534,6.190203236471348e-05,0.1696498383753351,-0.0026668449344993696,0.1670139444570181
5.7873823e-15,3653,122880,104.02800956000002,232.34923386573792,-1.1735493691638113,7.300870525526194e-05,0.15694190705253278,-0.003807221680202477,0.1531711897249579
5.7346045e-15,3743,131072,123.22120824,249.20575761795044,-1.160868440475315,4.579299650941948e-05,0.1851679833314847,-0.00583118595416879,0.17935969387557066
3.0803213e-15,3767,139264,228.97445602,265.75895380973816,-1.1424724296666682,4.723505185637578e-05,0.17803515251725913,-0.005032222020899326,0.17302654802228798
1.9485809e-15,3779,147456,342.20747664000004,282.88376021385193,-1.1183222926221787,2.8326243744203338e-05,0.13626176070538348,-0.005598930914144555,0.13067699291311102
1.3191604e-15,3789,155648,518.2712969600001,299.8506009578705,-1.1017950788140296,1.9182214410129463e-05,0.07847428387467517,-0.003900293755291376,0.07458358122658885
1.3000797e-15,3797,163840,640.99469434,316.91355204582214,-1.0873104031197727,5.402081662619906e-06,0.07782443427149702,-0.0014797013029194102,0.07634743400940891
1.5117947e-15,3806,172032,739.7612517000001,333.46302223205566,-1.0706877938471735,4.710857794716361e-05,0.07033441464645876,-0.0011929489499031038,0.06916501998552924
1.6748048e-15,3814,180224,842.7795674200001,350.38353872299194,-1.060342925786972,7.539394440447822e-06,0.0701707133119271,-0.0025891071879447607,0.06758537582120257
1.53487e-15,3822,188416,926.4619267399999,366.81710267066956,-1.0595351670868696,3.3957965048347914e-06,0.06857903466466268,-0.00032684324575019705,0.06825388931716492
1.7183685e-15,3830,196608,981.85749478,383.1197466850281,-1.0523322960361838,3.4395799982656072e-06,0.06748942511821951,-0.0010598575121715087,0.06643128739604713
1.5456547e-15,3838,204800,988.1138629000002,399.59892868995667,-1.0568348452448846,1.1767148152008744e-05,0.0640251882373832,-0.0013814225860149995,0.06264964922544419
1.8017924e-15,3847,212992,986.8883211,416.6426808834076,-1.0564073367044329,2.763199546285122e-06,0.06274877258197194,-0.0011001168456019406,0.06165003733614314
1.7307901e-15,3856,221184,1000.6041865599999,433.41304087638855,-1.0507488215342164,2.6508321879603613e-05,0.06406622247768609,-0.00036023486029611426,0.0637192417783298
1.9726309e-15,3864,229376,1000.4831178600001,449.78361988067627,-1.046157000027597,1.8832959894465873e-06,0.0683586814975115,-0.0009567493496142398,0.06740287379589198
2.1357885e-15,3873,237568,989.1378118,468.1680042743683,-1.0460842233151197,2.259433766371721e-06,0.05838539711739941,-0.0009107969837292024,0.057475729850553395
2.009924e-15,3881,245760,989.55934276,485.03507566452026,-1.0400148534215987,1.5133701615632767e-05,0.0657945850140095,-0.00010899152438722947,0.06569316034043009
1.8199911e-15,3889,253952,989.6110541599999,502.1425142288208,-1.032329585403204,2.448769044094412e-06,0.05595245287229318,-0.0007824058171250552,0.055171271439690174
2.5764316e-15,3897,262144,1007.08181652,519.1369824409485,-1.0237391092814505,1.505014139735472e-06,0.0555212859202129,-0.0009658434927227559,0.05455619493456001
2.4198651e-15,3905,270336,1007.2351032400001,535.4877362251282,-1.0178036178462206,2.9009137966884422e-06,0.054514887882533,-0.0027238599240171856,0.051792478415414164
2.1059043e-15,3913,278528,1007.5644169799999,552.7151517868042,-1.0107555749826134,2.0646649214084435e-06,0.05203314274026525,-0.0029363223816338837,0.04909785269109207
2.6115101e-15,3921,286720,1008.42441246,569.7337536811829,-0.9907111855689437,1.9271954267541245e-06,0.05131486507925729,-0.0030276297512001086,0.048288198925770555
3.2699754e-15,3934,294912,952.6923544,589.4130640029907,-0.975798804173246,1.2688733748600356e-06,0.050412949891006066,-0.0021797462906438976,0.0482338380370496
2.084849e-15,3942,303104,939.99816698,609.799604177475,-0.9662343146279454,3.5639846301060985e-06,0.06989766436272475,-0.002068053026390873,0.06783139332864893
2.7994854e-15,3954,311296,882.4680296600001,630.2303416728973,-0.9575345342047512,1.142522746877539e-06,0.045560472278612,-0.0018028506657925506,0.04375819287419288
2.3704704e-15,3964,319488,831.57100892,649.7611992359161,-0.942245893087238,4.365704440356666e-06,0.06237439416836423,-0.0020291859891911146,0.060347391031393305
2.4218607e-15,3973,327680,831.5159657999997,666.4050369262695,-0.9347487933002412,1.0074754303146527e-06,0.04778964512515813,-0.0033395924981691263,0.044450556364704165
3.6219404e-15,3982,335872,865.0683622,683.0659725666046,-0.939854137878865,1.447668054521678e-06,0.049693169868533005,-0.0012640699641941397,0.04842982373836612
3.2995656e-15,3993,344064,849.9138392199999,700.3216774463654,-0.9389214055612684,2.8652806033035993e-05,0.05449985583459238,-0.0021577076867843625,0.052356474550824525
