total timesteps,ep_rew_mean,total_time,num_episodes,mean_int_reward,policy_gradient_loss,value_loss,intrinsic_loss,entropy_loss,total_loss
8192,9.949253,3.0903661251068115,609,0.017991368,,,,,
16384,12.023752,21.974326372146606,1174,0.14305216,-0.005313628193893265,0.9501143892295658,2.84975618783501,-1.4019445998594164,2.3696788549531775
24576,29.32701664,41.24527382850647,1535,0.014459201,-0.014715743437830275,0.5873188644764014,12.060030603036285,-1.3751008548773824,6.602618422556714
32768,46.57309074,59.92533349990845,1759,0.00017530829,-0.01275424664488633,1.0022354632616044,0.35022337378468366,-1.3441296519711614,1.1645929035090599
40960,85.7277125,79.127281665802,1924,1.714028e-08,-0.008525699800922005,0.8016793464543298,0.032769529322104064,-1.3141171411611139,0.8095384113144597
49152,119.96190632,97.89452767372131,2056,1.0921869e-11,-0.005611469729610902,0.49020845303311944,0.009480112309847754,-1.285982550494373,0.48933703945843243
57344,135.97602668,116.71265935897827,2167,9.926584e-12,-0.0034811468180270923,0.29722967701382,0.0029099635663442313,-1.2610872693359851,0.29520351197896505
65536,145.2404278,135.72277927398682,2274,9.290702e-12,-0.002109609743317785,0.19210648271546232,0.001218744845459696,-1.2440756366588175,0.1906062453948744
73728,156.0018256,155.02915740013123,2377,8.013033e-12,-0.002957352932254689,0.1431826728163287,0.00034903765862281944,-1.2279994207434357,0.14039983871338543
81920,154.62249979999999,173.95179963111877,2482,7.1217155e-12,-0.0017872979844191228,0.17666404132032767,0.00016007289993922314,-1.2128374041989445,0.17495677978587815
90112,142.16166188,193.08128929138184,2591,6.4519353e-12,-0.003148453690579228,0.184512522307341,9.717629526164728e-05,-1.1890389167703688,0.18141265676439258
98304,138.3914174,212.2537133693695,2700,6.038505e-12,-0.0024058114835139206,0.18759753281774466,6.497304739099264e-05,-1.164954539667815,0.1852242078579262
106496,164.65330524,231.66060400009155,2804,5.6659477e-12,-0.002090893079118178,0.18488456732302438,4.3795163627891045e-05,-1.1427739508450032,0.18281557182572017
114688,162.72540762,251.01511001586914,2907,5.0013552e-12,-0.0022269608959379532,0.14512373759644107,3.9282897692771715e-05,-1.1385813876986504,0.1429164181493495
122880,171.12576871999997,269.91105580329895,3003,4.5169337e-12,-0.0016136734553062319,0.14395165542373434,3.18527322676232e-05,-1.123536475468427,0.1423539083345619
131072,190.73971228,288.85629081726074,3095,4.2448623e-12,-0.002584624622956294,0.13147846513893455,2.327332475431376e-05,-1.1061393131501973,0.1289054771783554
139264,214.67276754000002,307.9382674694061,3182,3.99114e-12,-0.002298817099561482,0.08557950601825723,2.6903537987976735e-05,-1.0816804827190936,0.08329414068768974
147456,215.03853276,326.98358702659607,3267,3.2977193e-12,0.00033733114748056754,0.08385477522751898,1.58057875999873e-05,-1.0562022200785577,0.08420000926879954
155648,214.93579246000002,345.7970564365387,3353,2.7331158e-12,-0.0008332190462138897,0.08231062557679251,1.4676159526061384e-05,-1.034863043576479,0.08148474461034165
163840,202.76384819999998,364.01547169685364,3440,2.119762e-12,-0.0004595738868187264,0.09702291570720263,1.1720516758195743e-05,-1.0256204813718797,0.096569202078763
172032,204.72176062000003,382.5417046546936,3531,1.1888325e-12,-0.000495148825003975,0.11359225449778024,8.266217367580709e-06,-1.0356267744675278,0.11310123878146006
180224,208.41511110000002,401.25755548477173,3617,3.8241174e-13,-0.002527585536766134,0.11193772658589296,1.0122845905247147e-05,-1.0414928577840328,0.10941520247207945
188416,225.23374466,419.61910009384155,3701,2.0470432e-15,-0.0018392990760547443,0.11887177305034129,1.3809018362920255e-05,-1.0450900245457888,0.11703937848346799
196608,229.36924238000003,438.4819531440735,3784,2.362369e-15,-0.0012059836004579127,0.08118225199250446,8.95280877637461e-06,-1.0525983843021094,0.07998074479643473
204800,227.69177632,457.0715639591217,3866,1.4977387e-15,0.00033783370077111296,0.07351799677417148,1.2691086383931349e-05,-1.0505905902944506,0.07386217601813456
212992,234.09413894000002,475.47791743278503,3947,1.990352e-15,-0.000340895329038553,0.06939018694920378,1.1167642965048685e-05,-1.0403840892016887,0.06905487544164775
