train/total_loss,Progress,rollout/ep_rew_mean,train/value_loss,train/entropy_loss,time/total_time,rollout/ep_len_mean,time/total timesteps,train/policy_gradient_loss
0.03857540898025036,1.15%,0.96,0.051384535431861875,-1.0969165325164796,64.8661584854126,660.0666666666667,12800,-0.0018399613909423351
0.035101859271526335,2.43%,1.43,0.04798837825655937,-1.1109434723854066,142.99348950386047,733.31,25600,-0.0017770846374332906
0.024600625410676,3.71%,1.7,0.04232825469225645,-1.1784060597419739,224.031165599823,788.57,38400,-0.005943569540977478
0.04073246885091066,4.99%,2.41,0.0505141681060195,-1.0721375107765199,315.25523138046265,902.07,51200,0.0009396754205226899
0.05839582346379757,6.27%,3.06,0.07524901479482651,-1.1639849543571472,404.0842800140381,989.12,64000,-0.005213342048227787
0.01131263729184866,7.55%,2.75,0.02735269032418728,-1.2053938508033752,488.3556294441223,937.23,76800,-0.003986114449799061
0.026167956925928593,8.83%,2.5,0.04058050010353327,-1.1296022415161133,579.0203518867493,897.53,89600,-0.0031165211461484433
0.070440524071455,10.11%,3.0,0.0834969837218523,-1.185803771018982,665.4176445007324,960.24,102400,-0.0011984222568571568
0.02712091151624918,11.39%,3.49,0.043488028645515445,-1.1415486454963684,746.8271431922913,1005.45,115200,-0.0049516307190060616
0.042072604224085805,12.67%,3.83,0.06159752421081066,-1.142353892326355,828.6524562835693,1066.12,128000,-0.008101380802690983
0.13115376606583595,13.95%,4.41,0.15121966265141965,-1.2126270532608032,913.8124845027924,1142.9,140800,-0.007939624600112438
0.07932469844818116,15.23%,4.52,0.09616942331194878,-1.2079917192459106,997.9960677623749,1138.99,153600,-0.004764809086918831
0.043908946216106415,16.51%,4.91,0.059897401928901674,-1.2010234951972962,1082.673492193222,1183.7,166400,-0.00397822093218565
0.07665962055325508,17.79%,5.29,0.09143011271953583,-1.208665668964386,1163.3525986671448,1258.27,179200,-0.0026838356629014016
0.03346040211617947,19.07%,5.32,0.05183969996869564,-1.1179004430770874,1245.3189024925232,1214.37,192000,-0.007200293708592653
0.05593993254005909,20.35%,5.11,0.07390453405678273,-1.145257580280304,1325.662205696106,1180.73,204800,-0.006512026675045491
0.04546775482594967,21.63%,4.87,0.06217186115682125,-1.0540017008781433,1403.0436162948608,1161.02,217600,-0.006164088845252991
0.03418275583535433,22.91%,5.6,0.04583614729344845,-1.1113720297813416,1482.4522938728333,1243.77,230400,-0.0005396715365350247
0.03344254661351442,24.19%,6.04,0.050015364587306974,-1.128969430923462,1562.2242846488953,1283.54,243200,-0.005283124186098576
0.03419039882719517,25.47%,6.24,0.05130674373358488,-1.1070719242095948,1634.7825462818146,1328.11,256000,-0.006045626290142536
0.06747132949531079,26.75%,6.26,0.08085171841084957,-1.0697796940803528,1707.510463476181,1364.31,268800,-0.0026825918816030026
0.06447389898821712,28.03%,6.72,0.07456763312220574,-1.1034817457199098,1787.295816898346,1418.67,281600,0.0009410828351974487
0.02761930674314499,29.31%,7.53,0.04571574181318283,-1.0817134380340576,1866.6605389118195,1480.37,294400,-0.007279300689697265
0.09139567613601685,30.59%,8.09,0.10140492022037506,-1.0541843175888062,1942.262895822525,1536.52,307200,0.0005325986072421074
0.05544932559132576,31.87%,8.26,0.07106326706707478,-1.0132589101791383,2022.4576570987701,1549.03,320000,-0.005481351912021637
0.05261800568550825,33.15%,8.23,0.06781737841665744,-1.075651478767395,2106.766015768051,1579.64,332800,-0.004442858695983887
0.04965854734182358,34.43%,7.99,0.06387722268700599,-1.042475587129593,2190.026056289673,1542.4,345600,-0.003793919365853071
0.1650244861841202,35.71%,7.99,0.17554640173912048,-1.0306639552116394,2276.7671959400177,1522.69,358400,-0.00021527688950300216
0.08456977643072605,36.99%,7.85,0.09873831309378148,-1.0341143608093262,2367.271826028824,1500.34,371200,-0.003827394265681505
0.03403530847281218,38.27%,8.0,0.04935193955898285,-1.0926674485206604,2458.502178668976,1560.41,384000,-0.004389957338571548
0.029757911711931227,39.55%,8.03,0.0421833910048008,-1.1239182114601136,2548.2965865135193,1579.89,396800,-0.001186298206448555
