#{"t_start": 1595847096.9605763, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,645,16.321898
0.0,529,26.322937
1.0,659,37.935999
0.0,540,48.277646
3.0,971,68.051892
1.0,637,80.385936
1.0,720,93.783108
0.0,536,104.484475
3.0,936,123.57062
4.0,1254,152.86954
1.0,620,166.422618
0.0,539,178.164504
4.0,1055,200.829417
1.0,695,215.06796
1.0,629,227.692754
