total timesteps,num_episodes,ep_rew_mean,total_time,entropy_loss,value_loss,policy_gradient_loss,total_loss
1024,20,-141.31449255,0.3632063865661621,,,,
2048,40,-135.914883,1.9860079288482666,-1.414636803790927,0.7446363747585565,-0.005127319247698901,0.7395090555108577
3072,60,-126.1170825,2.6874630451202393,-1.3935816287994385,0.10731172474334016,-0.005484243076676687,0.10182748166666347
4096,80,-116.68100634000001,3.370805501937866,-1.3546120636165142,0.08263278321828693,-0.005730559269405624,0.07690222394888131
5120,100,-104.44828678000002,4.089221954345703,-1.313937520608306,0.06467805785359815,-0.009500124655804656,0.05517793319779349
6144,120,-96.40792924000003,4.793972730636597,-1.2789278384298086,0.07574614958139136,-0.005279017220921268,0.0704671323604701
7168,140,-87.72240792000001,5.557378530502319,-1.2396781109273434,0.05778027055202983,-0.0067776560381593775,0.05100261451387046
8192,160,-85.44338548,6.289449691772461,-1.2018699515610933,0.0432355442608241,-0.004706319262047797,0.0385292249987763
9216,184,-81.48640212,7.032097578048706,-1.163951301947236,0.04646244953619316,-0.0009905689097047508,0.045471880626488416
10240,204,-76.26176458,7.768344163894653,-1.12483611702919,0.036072363873245195,-0.0022536103582194446,0.03381875351502575
11264,224,-69.62786898,8.494649171829224,-1.0845272671431303,0.036222712049493566,-0.0037032582393675176,0.032519453810126046
12288,244,-65.13907362,9.338000774383545,-1.0472060237079859,0.04347834241343662,-0.002752722497425264,0.040725619916011355
13312,264,-61.58214303999999,10.045719385147095,-1.008549694903195,0.027823247015476227,-0.00630207152687791,0.021521175488598315
14336,284,-58.48376392,10.843309879302979,-0.9723276970908046,0.031110851778066717,-0.003948703713252583,0.02716214806481413
15360,304,-54.98852372,11.55377984046936,-0.9353252490982413,0.025234669548808597,0.00010402210438531628,0.025338691653193912
16384,324,-51.80005367999999,12.256281614303589,-0.9055309314280748,0.03234224542393349,-0.002467198040615797,0.029875047383317695
17408,348,-48.11804504,12.91520380973816,-0.8753146845847368,0.02902810022351332,-0.0012504420954466953,0.027777658128066623
18432,368,-46.43758121999999,13.615559816360474,-0.840081469155848,0.019346116358065046,-0.005330156571128113,0.014015959786936934
19456,388,-46.23166096,14.356067419052124,-0.8117369348183274,0.02307819815177936,0.0003157115792583214,0.023393909731037683
20480,408,-43.7402639,15.078962802886963,-0.7844896977767348,0.01882902222860139,-0.005441337151314275,0.013387685077287114
21504,428,-41.89240848,15.758253335952759,-0.756264328956604,0.013783575275738258,-0.003958124507922393,0.009825450767815866
22528,448,-40.53725014,16.449279069900513,-0.73266876116395,0.017666098443442024,-0.006982452885453006,0.010683645557989018
23552,468,-38.92617082,17.15071439743042,-0.7032282250002027,0.01676026126369834,-0.0008372355742483275,0.01592302568945001
24576,488,-38.414374179999996,17.905973434448242,-0.675407063215971,0.024993765036924742,-0.005632696827240115,0.019361068209684626
25600,512,-37.14486212,18.578447341918945,-0.6521105617284775,0.019048634378123097,-0.002343953988870143,0.016704680389252956
26624,532,-36.75277548,19.264410734176636,-0.6272745728492737,0.023826847202144563,0.0002106842759140176,0.02403753147805858
27648,552,-36.378194040000004,19.933473110198975,-0.6014835480600595,0.0193716278008651,0.0033237442825299135,0.02269537208339501
28672,572,-36.383833259999996,20.653879404067993,-0.5814204132184386,0.02445530690602027,0.002380650627317693,0.026835957533337965
29696,592,-34.716808719999996,21.368879079818726,-0.5566266356036067,0.019259514840086922,-0.004229000521126904,0.015030514318960018
30720,612,-32.59509086,22.114933490753174,-0.537583876401186,0.022723721689544618,-0.002269743870570345,0.020453977818974272
31744,632,-31.099872299999998,22.883243799209595,-0.5095980437472463,0.02358707520761527,0.0007981858425811585,0.02438526105019643
32768,652,-30.460902960000002,23.600395679473877,-0.48519362043589354,0.015578224643832073,-0.0005845527887528404,0.014993671855079233
33792,672,-29.883127799999997,24.307191371917725,-0.4654819490388036,0.02027171764348168,0.002358297781412136,0.022630015424893818
34816,696,-29.044971259999997,25.16297435760498,-0.44258675212040544,0.017948858003364876,-0.001539730177449866,0.01640912782591501
35840,716,-28.4559379,25.87453293800354,-0.4237493514083326,0.0256639534200076,0.0027026527820775102,0.02836660620208511
36864,736,-27.0722937,26.681495666503906,-0.3990800674073398,0.021650145179592073,0.0002655474774339407,0.021915692657026014
37888,756,-25.965824439999995,27.4267361164093,-0.3838509479537606,0.020592022090568207,-0.0016891271709182035,0.018902894919650002
38912,776,-25.8570902,28.14380693435669,-0.3721714369021356,0.01869342905411031,0.00045488163824628847,0.0191483106923566
39936,796,-26.63363528,28.842045783996582,-0.3612410556524992,0.014748410540050827,-0.004497569541628585,0.010250840998422241
40960,816,-26.652451119999995,29.560314655303955,-0.348497427534312,0.010496082344616298,0.0024264796929546477,0.012922562037570945
41984,836,-25.361091400000007,30.277960300445557,-0.3246522909030318,0.014111585725913756,0.00257754061813939,0.016689126344053146
43008,860,-23.612757760000004,31.07076144218445,-0.29806166607886553,0.013126101497618947,-0.004586345779372881,0.008539755718246066
44032,880,-23.611512679999997,31.758829832077026,-0.26436967123299837,0.010776868351968005,-0.000797190255784363,0.009979678096183643
45056,900,-23.20397124,32.458112955093384,-0.24476884864270687,0.016653971033520065,0.004546349746041265,0.021200320779561327
46080,920,-22.725520100000004,33.13571333885193,-0.2331209285184741,0.01483436647686176,0.0021435913524461506,0.016977957829307912
47104,940,-22.093653500000006,33.77253484725952,-0.21447956655174494,0.01198874312103726,0.0013457457507559936,0.013334488871793254
48128,960,-21.86598644,34.498446464538574,-0.19211920350790024,0.013740007052547298,-0.0005345899248414763,0.013205417127705822
49152,980,-21.406109499999992,35.22117066383362,-0.18092488031834364,0.01072707033745246,0.0018882870965073967,0.012615357433959857
50176,1000,-20.806265120000003,35.943625926971436,-0.1756887435913086,0.014185949374223128,0.0007540562165648517,0.014940005590787979
51200,1024,-19.997696559999998,36.59139132499695,-0.1637415699660778,0.017788860204746015,0.006569267114105902,0.024358127318851917
52224,1044,-19.968491559999997,37.30855321884155,-0.14968153275549412,0.01484753005206585,0.0012827327481967435,0.01613026280026259
53248,1064,-19.08037162,37.988911628723145,-0.131832723505795,0.011712548679497559,0.00048472349010282784,0.012197272169600386
54272,1084,-18.682606840000002,38.70710873603821,-0.10740061104297638,0.012632822646992281,-0.0011507033160495363,0.011482119330942744
55296,1104,-18.16450526,39.357712507247925,-0.09309048857539892,0.010794346693728585,0.005201806415690969,0.015996153109419552
56320,1124,-18.16787054,40.04889917373657,-0.08721025940030813,0.01560634695488261,0.0024824707211815907,0.0180888176760642
57344,1144,-18.51892858,40.73371505737305,-0.07506342232227325,0.009067612707440276,0.0075394808025275786,0.016607093509967856
58368,1164,-18.96635066,41.58714842796326,-0.05630549043416977,0.007152501595555805,0.0017303797181553284,0.008882881313711132
59392,1184,-18.4577741,42.412973165512085,-0.04495507292449474,0.008632814926386345,0.0064469459011955825,0.01507976082758193
60416,1208,-18.19629582,43.11102342605591,-0.028808020055294037,0.010437151962833013,0.000819316317242888,0.011256468280075902
61440,1228,-17.60767636,43.815753698349,-0.012375876307487488,0.008044335860176943,0.0044133757131877265,0.01245771157336467
62464,1248,-16.86525182,44.53162121772766,0.0029899924993515015,0.006906406844791491,0.012997154577067422,0.01990356142185891
63488,1268,-16.90329686,45.27896332740784,0.01874293852597475,0.009160782050457783,0.001592616371259244,0.010753398421717027
64512,1288,-16.516967759999996,45.98601007461548,0.02757603395730257,0.008096707875665743,0.005722619802597958,0.013819327678263701
65536,1308,-16.106293219999998,46.666041135787964,0.03534040413796902,0.007686757562623825,0.011168454253370382,0.018855211815994206
66560,1328,-15.66947376,47.39449071884155,0.04738049767911434,0.007498640665289713,0.0019273390024325888,0.009425979667722302
67584,1348,-14.453757799999998,48.11138558387756,0.058548769913613796,0.009336939510831144,-0.000490740912150415,0.008846198598680728
68608,1372,-14.76181888,49.00077438354492,0.0767446756362915,0.007889829212217592,0.002014525037531265,0.009904354249748858
69632,1392,-15.68692106,49.8210186958313,0.09922090731561184,0.013502125206287019,0.0031105243588475506,0.01661264956513457
70656,1412,-15.531439599999999,50.592814445495605,0.11579124722629786,0.008448898010101402,-0.004542240343944558,0.003906657666156845
71680,1432,-15.83582336,51.4564311504364,0.1301129600033164,0.009675960202002898,0.0011858665664585065,0.010861826768461404
72704,1452,-15.32113932,52.27270531654358,0.13584565836936235,0.008734901326533873,0.0044632020676927155,0.01319810339422659
73728,1472,-15.76197594,52.98308515548706,0.1329714059829712,0.012108066992368549,-0.00018726447215483078,0.011920802520213717
74752,1492,-15.472488720000003,53.665541887283325,0.13319511711597443,0.008796568370598834,0.004580348382079592,0.013376916752678426
75776,1512,-14.00413284,54.39987802505493,0.15065804962068796,0.005985265906929271,0.0018311990816899755,0.007816464988619248
76800,1536,-13.484079839999998,55.23361897468567,0.17482225224375725,0.007180596967373276,0.005552170841841766,0.012732767809215041
77824,1556,-13.20692682,56.011871576309204,0.18898827768862247,0.008561475508031435,0.001072969033616263,0.009634444541647698
78848,1576,-13.741590100000002,56.87663221359253,0.19699693750590086,0.010407176916487515,0.005949573156601655,0.01635675007308917
79872,1596,-13.800917120000001,57.705055952072144,0.20614927168935537,0.005003411479265196,0.0010491755798496289,0.006052587059114826
80896,1616,-13.367577719999996,58.54738426208496,0.21567964553833008,0.009132667160884012,0.004426128791673657,0.01355879595255767
81920,1636,-13.421672200000003,59.28583908081055,0.23096646089106798,0.01090098510030657,0.003866242889019096,0.014767227989325667
82944,1656,-12.78891486,60.028727769851685,0.24483157508075237,0.006439797707571415,0.0030664255299963877,0.009506223237567803
83968,1676,-12.24885466,60.80279040336609,0.2566506080329418,0.009525269124424085,-0.00040662492089488185,0.009118644203529203
84992,1696,-12.783459120000002,61.581422567367554,0.2691796952858567,0.006135433661256684,0.009971380382199007,0.016106814043455688
86016,1720,-13.51064998,62.3545937538147,0.2724448945373297,0.006971787748625502,0.006689897261922613,0.013661685010548114
87040,1740,-13.887199200000003,63.07742261886597,0.2776268217712641,0.007868737397075165,0.003009337376190329,0.010878074773265493
88064,1760,-13.21811086,63.915642738342285,0.2848337348550558,0.0073806039908959065,0.0038348140049988965,0.011215417995894802
89088,1780,-13.09725136,64.71594071388245,0.2923401379957795,0.006808915593865095,0.006436494651638478,0.013245410245503571
90112,1800,-13.099150100000001,65.44777727127075,0.29694554675370455,0.006675348511635093,0.005281275464435962,0.011956623976071053
91136,1820,-13.77883278,66.12912607192993,0.2943301871418953,0.0052036622328159865,0.00889942620422606,0.014103088437042046
92160,1840,-13.734499699999999,66.86912822723389,0.3015661584213376,0.006148534204839962,0.004872782786132424,0.011021316990972387
93184,1860,-13.42142662,67.63371229171753,0.31830485817044973,0.009955012341379188,0.004927831790679247,0.014882844132058436
94208,1884,-12.724479899999999,68.45573592185974,0.34081276366487145,0.006301696452283068,0.005765212400706521,0.01206690885298959
95232,1904,-11.902705520000001,69.18263936042786,0.36827135644853115,0.005951806797384052,0.007044553520465251,0.012996360317849304
96256,1924,-11.42527376,69.95139765739441,0.39079794054850936,0.0046394659166253405,0.009911173823158682,0.014550639739784023
97280,1944,-12.00635416,70.71453595161438,0.40360269509255886,0.006585252296645194,0.009850149804684948,0.01643540210133014
98304,1964,-12.22150184,71.5710940361023,0.4072876190766692,0.00656007330326247,0.002000365151521145,0.008560438454783614
99328,1984,-12.07008804,72.484135389328,0.403840989805758,0.00765194770792732,0.0027109538464899115,0.010362901554417232
100352,2004,-11.02511208,73.37348246574402,0.4093747320584953,0.00885355549689848,0.0060767075443135645,0.014930263041212045
101376,2024,-10.602558839999999,74.16036868095398,0.4149618437513709,0.005462373144837329,-0.0011953527136175917,0.004267020431219738
102400,2048,-10.393183919999998,74.93204188346863,0.41607622476294637,0.008050666117924266,0.0010222430973167384,0.009072909215241004
103424,2068,-10.439246700000002,75.6144106388092,0.4194601816125214,0.0073702045701793395,0.0039042610373949023,0.011274465607574242
104448,2088,-10.95632066,76.3471302986145,0.4241134561598301,0.007958949070598464,0.006855200994494664,0.014814150065093129
105472,2108,-10.982541340000001,77.1749632358551,0.4356639198958874,0.009306778440077323,0.010202278534378613,0.019509056974455936
106496,2128,-11.07115256,78.10998272895813,0.45290418062359095,0.007883752394263865,0.00855785166587427,0.016441604060138136
107520,2148,-12.016620279999998,79.12035393714905,0.4578042500652373,0.012312319573538844,0.008824978283201784,0.02113729785674063
108544,2168,-11.735341540000002,80.02345371246338,0.4597526811994612,0.009660904928750824,-0.0020313815843933745,0.00762952334435745
109568,2188,-11.191899900000001,80.8917760848999,0.46856926986947656,0.011023396160453558,0.006239671208598246,0.017263067369051803
110592,2208,-11.2297525,81.7508544921875,0.47551014740020037,0.012896754691610113,0.0034238800581314795,0.016320634749741592
111616,2232,-12.83636164,82.53270268440247,0.4707669736817479,0.008935402296629036,0.0011859368860123415,0.010121339182641378
112640,2252,-12.814035140000001,83.39551830291748,0.46841834019869566,0.008291381866001757,0.005574842274760879,0.013866224140762638
113664,2272,-11.74310054,84.26723885536194,0.4791782661341131,0.012651701144932304,0.0038018482849624747,0.016453549429894777
114688,2292,-11.822488819999998,85.01444935798645,0.49218288669362664,0.01382107516110409,0.010863155003637538,0.024684230164741628
115712,2312,-11.774906440000002,85.7829418182373,0.5031451224349439,0.008520788353052922,0.002622419933285366,0.011143208286338288
116736,2332,-11.66352106,86.5368959903717,0.5144641399383545,0.007327077688387362,0.007827140339756981,0.015154218028144345
117760,2352,-10.694880779999998,87.2933759689331,0.515768863260746,0.008504507946781814,0.008607647293042728,0.017112155239824543
118784,2372,-10.78225948,88.02045941352844,0.519657582975924,0.009305932144343387,0.006673787509972987,0.015979719654316375
119808,2396,-10.452588559999999,88.82580137252808,0.5267790574580431,0.016292834807245526,0.009398484432106854,0.025691319239352375
120832,2416,-10.676821200000001,89.78823852539062,0.541324170306325,0.008015133465960389,0.0028099146241529083,0.010825048090113297
121856,2436,-10.68122814,90.8439109325409,0.5541834281757474,0.005406458836660022,0.002988540404893477,0.0083949992415535
122880,2456,-11.099277160000002,91.75119423866272,0.5563667565584183,0.006517958689073566,0.002536319090363612,0.009054277779437177
123904,2476,-10.519597159999998,92.65288019180298,0.5593236144632101,0.009020819663419388,0.0036609698548871654,0.012681789518306555
124928,2496,-11.11519058,93.58146023750305,0.5537737971171737,0.008753194553719368,0.006773868862397113,0.015527063416116482
125952,2516,-12.225499260000001,94.45755887031555,0.5643306002020836,0.013687019709323067,0.007283347582001883,0.020970367291324947
126976,2536,-12.309289739999999,95.30095195770264,0.5668641701340675,0.008570796191634145,0.007940555342669615,0.016511351534303758
128000,2560,-12.39927664,96.31125235557556,0.5670023271813989,0.007835074888134841,0.015185082053284128,0.02302015694141897
129024,2580,-11.744159040000001,97.20625281333923,0.5734139997512102,0.00762805050908355,0.0021855564015246893,0.00981360691060824
130048,2600,-11.4956368,98.00861692428589,0.5726350005716085,0.006655368131760042,0.0017612493550362108,0.008416617486796254
131072,2620,-11.559047020000001,98.9470374584198,0.569270090200007,0.005027213283028686,0.0003429943073775456,0.005370207590406233
132096,2640,-11.19625468,99.86816787719727,0.5689194165170193,0.007291436464583967,0.004018680365232452,0.011310116829816419
133120,2660,-10.843962660000003,100.84276247024536,0.5708766840398312,0.00655341419405886,0.004784576678386739,0.011337990872445598
134144,2680,-11.293887559999998,102.01001358032227,0.5706372419372201,0.0078065989291644655,0.01155106930181507,0.019357668230979536
135168,2700,-12.0857467,102.91337013244629,0.5738441124558449,0.0045923852048872504,0.003724233683014113,0.008316618887901363
136192,2720,-11.767020239999999,103.6907844543457,0.5784560339525342,0.008463411508273566,0.008508823482946511,0.016972234991220077
137216,2744,-11.336779739999999,104.43839311599731,0.5849394630640745,0.006702560691337567,0.0030194268257657097,0.009721987517103278
138240,2764,-11.14614966,105.34232974052429,0.6005655704066157,0.006729636665113503,0.0002132244137322232,0.006942861078845727
139264,2784,-11.60445394,106.16120147705078,0.6137044075876474,0.006181550401379354,0.0012616040812339952,0.007443154482613349
140288,2804,-11.863554600000002,106.9643018245697,0.6218681568279862,0.00529296667809831,0.009320309861758011,0.01461327653985632
141312,2824,-11.501694080000002,107.74869585037231,0.6205006167292595,0.006358771261147922,0.01072206108386723,0.017080832345015153
142336,2844,-11.677547659999998,108.44616913795471,0.6326470347121358,0.006430722598452121,0.0037606278157518887,0.01019135041420401
143360,2864,-11.48034592,109.14328026771545,0.6378913633525372,0.004486299079871969,0.008493567626041957,0.012979866705913926
144384,2884,-12.50273352,109.85819339752197,0.6367715876549482,0.006075475921534235,0.00356438492866749,0.009639860850201725
145408,2908,-12.033231840000001,110.5628731250763,0.6439571427181363,0.005820186335768085,0.008439389951458574,0.01425957628722666
146432,2928,-11.776086759999998,111.43780779838562,0.6580919986590743,0.008117314755509142,0.007115915363244308,0.015233230118753448
147456,2948,-11.209142980000001,112.30183124542236,0.6699452428147197,0.006806049656006508,0.0017937246309372955,0.008599774286943803
148480,2968,-11.736410639999999,113.06198453903198,0.6828101454302669,0.0061531555984402075,0.0039892626516614335,0.010142418250101641
149504,2988,-11.532321479999998,113.77908396720886,0.6938269576057792,0.006936724745173706,0.01116467590512785,0.018101400650301556
150528,3008,-11.44623516,114.47195982933044,0.7069417154416442,0.0077716081868857145,0.004327447993897157,0.012099056180782872
151552,3028,-11.9134096,115.19355368614197,0.717814389616251,0.005690767076885095,0.0014416091645795886,0.0071323762414646835
152576,3048,-11.40888798,115.90737819671631,0.7247323505580425,0.007519673879869515,0.0031792503601945745,0.01069892424006409
153600,3072,-11.21923886,116.72703671455383,0.7381399990990758,0.007372721694991924,0.003054003631865696,0.01042672532685762
154624,3092,-10.97243342,117.7110242843628,0.7504347460344434,0.010916448103671428,0.006676075297929767,0.017592523401601196
155648,3112,-10.253432660000001,118.5452823638916,0.762189632281661,0.006927139547769912,0.008828182220486206,0.015755321768256118
156672,3132,-10.12790382,119.35973787307739,0.7638057125732303,0.00824384073712281,0.005652157821330795,0.013895998558453606
157696,3152,-10.29606938,120.15164756774902,0.7618538355454803,0.005235157404968049,0.008505669007715735,0.013740826412683786
158720,3172,-10.33404092,121.15213680267334,0.7620482128113508,0.0052413931844057515,0.002061296175827458,0.007302689360233209
159744,3192,-9.69889396,122.2379059791565,0.765448896214366,0.00646339977538446,0.0015973374609311438,0.008060737236315604
159744,3192,-9.69889396,122.63037919998169,0.7630513245239854,0.00561905966969789,0.0069805241042316425,0.01259958377392953
