num_episodes,total_time,ep_rew_mean,total timesteps,total_loss,value_loss,entropy_loss,policy_gradient_loss
756,32.786572217941284,-24.078413199999996,37888,0.010723835416927011,0.014008682017447427,-0.35834108805283904,-0.003284846600520414
776,33.574113845825195,-24.359371460000002,38912,0.02362896221935805,0.02020489524875302,-0.33209212170913815,0.0034240669706050338
796,34.39197373390198,-24.43092008,39936,0.023036532086461968,0.01572085137013346,-0.3000305471941829,0.0073156807163285075
816,35.286943197250366,-24.73261646,40960,0.02349067495523735,0.01843018375802785,-0.2778293387964368,0.0050604911972095
836,36.09734296798706,-23.14238976,41984,0.026205179349441332,0.020140291380812414,-0.2628823881968856,0.006064887968628919
860,36.972076654434204,-22.64780032,43008,0.016312361820958864,0.012844798016885761,-0.24339380208402872,0.0034675638040731014
880,37.898728370666504,-21.923160179999996,44032,0.019164871636463902,0.014408405142603442,-0.23238834366202354,0.0047564664938604595
900,38.8134708404541,-21.511956379999997,45056,0.02651358774108158,0.014298044436145574,-0.22488192841410637,0.012215543304936006
920,39.72104454040527,-21.47678574,46080,0.019878221056577428,0.014805726474151015,-0.21113063488155603,0.0050724945824264156
940,40.731749534606934,-20.54260306,47104,0.021385006670555415,0.019543442656868137,-0.1946694292128086,0.0018415640136872763
960,41.67691731452942,-20.124123219999998,48128,0.01540484490616302,0.014371688477694988,-0.18236236833035946,0.0010331564284680314
980,42.72063159942627,-20.933636179999997,49152,0.02029537206071681,0.015213729777315166,-0.17193958908319473,0.005081642283401643
1000,43.68248176574707,-20.876972100000003,50176,0.024735645321319395,0.017881658175610937,-0.16852782666683197,0.006853987145708455
1024,44.58591294288635,-21.271846340000003,51200,0.016978829554577534,0.01639480951416772,-0.15763796400278807,0.0005840200404098161
1044,45.50580644607544,-21.52357252,52224,0.02098749741719974,0.015096299146534875,-0.14836806058883667,0.0058911982706648675
1064,46.42981839179993,-21.64417008,53248,0.018646818579630343,0.015561064050416462,-0.13577659521251917,0.0030857545292138806
1084,47.27304816246033,-21.0260079,54272,0.02109782693204507,0.01656993498909287,-0.12323743477463722,0.004527891942952197
1104,48.135541677474976,-21.290335899999995,55296,0.020726276637363615,0.016201903723413125,-0.11077211517840624,0.00452437291395049
1124,48.98967146873474,-21.84027662,56320,0.026336524313874458,0.015978848183294758,-0.09347496926784515,0.0103576761305797
1144,49.89938807487488,-22.31818704,57344,0.013789343311224351,0.00952052955108229,-0.07355650421231985,0.004268813760142062
1164,50.75174808502197,-21.71299152,58368,0.01344631300740988,0.012025952149997465,-0.06691598147153854,0.0014203608574124165
1184,51.55295443534851,-21.35785328,59392,0.01152067814076056,0.011651127861114219,-0.05548505950719118,-0.0001304497203536586
1208,52.397756576538086,-20.576633400000002,60416,0.015864690457875596,0.012363386573269963,-0.033234947361052036,0.0035013038846056325
1228,53.25351095199585,-20.51813124,61440,0.019202501992837785,0.012135113072872628,-0.01037802267819643,0.007067388919965159
1248,54.093671798706055,-20.146856539999998,62464,0.021947748997763944,0.01376230972527992,0.007089770399034023,0.008185439272484022
1268,54.967469453811646,-19.57617942,63488,0.012486840207633812,0.011446762589912396,0.01816457137465477,0.0010400776177214154
1288,55.843371868133545,-19.678913419999997,64512,0.01277849277083827,0.010371663112891838,0.031330536119639874,0.0024068296579464344
1308,56.80221891403198,-19.05371336,65536,0.01475571717675997,0.01086989766190527,0.043424067087471485,0.0038858195148546984
1328,57.74497890472412,-18.34061656,66560,0.0063040020441388145,0.007188956526078982,0.0583810405805707,-0.0008849544819401675
1348,58.655405044555664,-17.67584708,67584,0.011340247605600505,0.01049901883379789,0.07589635532349348,0.0008412287718026153
1372,59.55656599998474,-17.30667288,68608,0.015889309035721548,0.012268630649487022,0.08991195727139711,0.003620678386234523
1392,60.70984435081482,-16.71772936,69632,0.012106268759030744,0.01005175679893,0.10859753377735615,0.0020545119601007448
1412,61.575857400894165,-16.07333154,70656,0.009371254994645636,0.007342439701460535,0.12556531932204962,0.0020288152931850997
1432,62.54107189178467,-16.124731639999997,71680,0.012974809002778595,0.00834539691277314,0.1335643269121647,0.004629412090005456
1452,63.463671922683716,-16.61669412,72704,0.009542210653684635,0.006264481948164757,0.14210255537182093,0.0032777287055198775
1472,64.34425568580627,-16.886446279999998,73728,0.015942636002770107,0.009221455453371163,0.14903259556740522,0.006721180549398943
1492,65.17201018333435,-16.957526740000002,74752,0.008980132102899234,0.007226681052998174,0.1511043794453144,0.0017534510499010603
1512,66.03788924217224,-17.102990300000002,75776,0.009234639674931606,0.008945522029534914,0.16250049695372581,0.0002891176453966918
1536,66.99323058128357,-16.778064720000003,76800,0.016388450892631048,0.009555326694680844,0.1705967029556632,0.006833124197950204
1556,67.85556077957153,-16.653991599999998,77824,0.012169376556520305,0.008822631210932741,0.1714837970212102,0.0033467453455875646
1576,68.70441746711731,-16.16788924,78848,0.013895265595556646,0.009211946875439025,0.18921670503914356,0.00468331872011762
1596,69.5871102809906,-16.135029779999996,79872,0.008837682647538498,0.009153062201221474,0.20513747446238995,-0.00031537955368297476
1616,70.42605924606323,-16.406210379999997,80896,0.01297122909288981,0.010383358894614503,0.2158307870849967,0.0025878701982753076
1636,71.33882474899292,-15.68017674,81920,0.010750631932659935,0.008215504269173834,0.23254241049289703,0.0025351276634861014
1656,72.31000900268555,-14.93558808,82944,0.009150421013077704,0.008568541146814823,0.2555462885648012,0.0005818798662628805
1676,73.2197015285492,-15.10704318,83968,0.014841885916815449,0.00839309753064299,0.2736004590988159,0.006448788386172459
1696,74.21642637252808,-14.95104126,84992,0.0170467529189607,0.01109388760960428,0.28713423386216164,0.005952865309356419
1720,75.15861654281616,-14.434712079999999,86016,0.01560215056043494,0.011888816799910273,0.2976039443165064,0.0037133337605246676
1740,76.06060338020325,-13.586871800000004,87040,0.0077969820553841634,0.007925255948066479,0.30825633741915226,-0.00012827389268231482
1760,77.01703763008118,-13.29056308,88064,0.016998795873817325,0.013620489000459202,0.3106555053964257,0.0033783068733581213
1780,77.91877841949463,-13.817512720000002,89088,0.009319367202904282,0.010260253322485369,0.3245118041522801,-0.0009408861195810876
1800,78.84891080856323,-13.765272900000003,90112,0.014927249813407798,0.016260172953479923,0.3495521112345159,-0.0013329231400721255
1820,79.74010848999023,-13.9938248,91136,0.01561517682605911,0.00860041598934913,0.3629386303946376,0.007014760836709978
1840,80.66735124588013,-13.76393742,92160,0.023766537652990173,0.017329594105831347,0.36363094625994563,0.006436943547158826
