num_episodes,ep_rew_mean,total timesteps,total_time,value_loss,policy_gradient_loss,entropy_loss,total_loss
20,-122.73026725,1024,0.36328577995300293,,,,
40,-122.98667355,2048,1.5287551879882812,0.531289144186303,-0.0026904686078773822,-1.4086200427263975,0.5285986755784257
60,-119.85412174000001,3072,2.1809775829315186,0.12250294932164252,-0.0039315087914116136,-1.3832086566835642,0.11857144053023091
80,-112.22081256000001,4096,2.8832647800445557,0.08557251340243965,-0.0049373677240553155,-1.3480843994766474,0.08063514567838434
100,-102.68936326,5120,3.5454511642456055,0.06732518784701824,-0.0073974802121393865,-1.3089775666594505,0.059927707634878855
120,-94.9588269,6144,4.215558290481567,0.04663683523540385,-0.006878277855873547,-1.2715976648032665,0.0397585573795303
140,-88.99226915999999,7168,4.919996738433838,0.05801986827282235,-0.0055339557837477404,-1.2349732294678688,0.05248591248907461
160,-81.09288812,8192,5.570396423339844,0.04638952636742033,-0.0028225093545125625,-1.1955961231142282,0.04356701701290777
184,-77.15633111999999,9216,6.265630483627319,0.04752156097674742,-0.003451228664807861,-1.1610886044800282,0.04407033231193956
204,-72.20569108,10240,6.954697132110596,0.0521309029427357,-0.0017823221620258236,-1.1216029673814774,0.050348580780709876
224,-65.89624275999999,11264,7.731145620346069,0.044515131128719077,-0.0033577076070963495,-1.0821093898266554,0.04115742352162273
244,-62.0704043,12288,8.469302654266357,0.036921151186106727,-0.0002804369989093101,-1.0383248627185822,0.036640714187197415
264,-59.86895659999999,13312,9.30016279220581,0.0344097736524418,-0.0018315981480361088,-0.992150142788887,0.0325781755044057
284,-56.88915056,14336,10.021404504776001,0.03161899659608025,-0.005540660240258347,-0.9550370518118143,0.026078336355821904
304,-54.24736037999999,15360,10.737801551818848,0.029353406745940447,-0.003783906110290444,-0.9220824595540762,0.025569500635650003
324,-50.03922248000001,16384,11.472357034683228,0.021576645885943435,4.650763143692477e-05,-0.8912193523719907,0.02162315351738036
348,-48.24828614,17408,12.239364862442017,0.024379613721976057,-0.00404592973349204,-0.8594434568658471,0.020333683988484015
368,-46.33299564,18432,12.955389022827148,0.022937867950531654,0.0030114255859892284,-0.8289801888167858,0.025949293536520885
388,-43.85565192,19456,13.701401948928833,0.022224605912924744,-0.001184757490463358,-0.8118163337931037,0.021039848422461385
408,-42.44831218,20480,14.482763767242432,0.023161016579251736,-0.0013358413698717252,-0.7936252914369106,0.02182517520938001
428,-41.71494643999999,21504,15.2594735622406,0.024336703296285123,0.0008972117684851932,-0.7621113592758775,0.025233915064770317
448,-38.76315886,22528,15.978881120681763,0.022652443643892184,-0.0013987533640971673,-0.735051155090332,0.02125369027979502
468,-37.7057943,23552,16.788029432296753,0.01719620096264407,-0.0017908077750116423,-0.7115361765027046,0.015405393187632429
488,-37.374838180000005,24576,17.504974126815796,0.027915121594560333,0.00010765173207846778,-0.6898055896162987,0.0280227733266388
512,-36.836230840000006,25600,18.193091869354248,0.029331994737731293,0.0010506150871940998,-0.6556773986667395,0.03038260982492539
532,-35.378940199999995,26624,18.907689571380615,0.020615264831576496,0.002624234453417209,-0.6283480701968074,0.023239499284993706
552,-34.933250619999995,27648,19.59008479118347,0.01721361641830299,-0.0009780044383278404,-0.605099163018167,0.016235611979975154
572,-34.01969216,28672,20.24793004989624,0.018863172037526965,-0.0025302928066288158,-0.5848912550136447,0.01633287923089815
592,-31.864457479999995,29696,20.952394485473633,0.01479169022059068,-0.006136132927755041,-0.565663143992424,0.008655557292835639
612,-30.03381032,30720,21.710670232772827,0.026839961967198178,0.0022596071694723076,-0.5514628374949098,0.029099569136670486
632,-28.9466685,31744,22.37740993499756,0.024288102111313492,-0.001195319184633752,-0.5315387267619371,0.023092782926679743
652,-28.6579144,32768,23.06014132499695,0.01783381479617674,-0.001120473753551473,-0.5119511811062694,0.016713341042625268
672,-28.542579059999998,33792,23.708075523376465,0.018040403854683973,-0.002651665544093172,-0.4941965756006539,0.015388738310590802
696,-27.90806128,34816,24.359355688095093,0.01776068347680848,-0.00037901995012228626,-0.47595125949010253,0.017381663526686193
716,-27.43090862,35840,25.133431911468506,0.022685070594889112,0.001986573118539566,-0.45628843642771244,0.024671643713428677
736,-26.8007208,36864,25.77476477622986,0.01133454852970317,-4.239149687299947e-05,-0.437783888541162,0.01129215703283017
756,-26.537092819999998,37888,26.435983419418335,0.015318760240916163,0.002998764527912565,-0.42648828960955143,0.018317524768828725
776,-25.426476760000003,38912,27.145280122756958,0.01044371032185154,-0.001356936645667288,-0.4108950742520392,0.009086773676184254
796,-24.710513900000002,39936,27.869975805282593,0.010100301835336722,-0.0028709562325339986,-0.3922285232692957,0.007229345602802723
816,-24.624167319999998,40960,28.54016923904419,0.015898747486062348,0.00011262653427940067,-0.37313728872686625,0.016011374020341747
836,-24.259020139999993,41984,29.29549813270569,0.01892109065374825,-0.001373964822733823,-0.3564495393075049,0.017547125831014428
860,-23.5439551,43008,30.165823221206665,0.016956338396994397,-0.0016266514074760362,-0.3387405597604811,0.01532968698951836
880,-22.982836500000005,44032,30.909366130828857,0.012856248569732998,0.00047476677952753535,-0.3244001539424062,0.013331015349260532
900,-22.672873540000005,45056,31.707038402557373,0.018733011485892348,-0.002695357789707971,-0.30962853226810694,0.016037653696184376
920,-22.43419464,46080,32.406298875808716,0.013269142771605402,0.0012809889726038263,-0.28154315054416656,0.014550131744209226
940,-21.709802739999997,47104,33.15234398841858,0.014356204010255169,0.0024112949040961265,-0.2620542459189892,0.016767498914351295
