total timesteps,num_episodes,ep_rew_mean,total_time,entropy_loss,value_loss,policy_gradient_loss,total_loss
1024,20,-132.05735485,0.657562255859375,,,,
2048,40,-124.72356827499998,1.449643850326538,-1.406759101897478,0.5636078799143434,-0.005774443624286702,0.5578334362900567
3072,60,-119.42094396,2.2425038814544678,-1.3809482380747795,0.11097005743067712,-0.006489403579733832,0.10448065385094328
4096,80,-113.17991047999998,3.0300114154815674,-1.3514226470142603,0.06940423033665866,-0.0029314341585352692,0.06647279617812338
5120,100,-105.89597162,3.7970943450927734,-1.321815038099885,0.10118006751872599,-0.005645692618225974,0.09553437490050001
6144,120,-98.35218896,4.5322089195251465,-1.2781400717794895,0.07096290565095842,-0.0043740202407266966,0.06658888541023172
7168,140,-93.19985360000003,5.226902484893799,-1.2328529059886932,0.06558770791161805,-0.006324085269158294,0.05926362264245976
8192,160,-85.47565365999999,5.959438323974609,-1.1948889698833227,0.06619510968448594,-0.0033053034375762867,0.06288980624690965
9216,184,-78.23074700000001,6.733510255813599,-1.1568304877728224,0.04798427884816192,-0.005699402351557071,0.042284876496604853
10240,204,-72.06176766,7.4561848640441895,-1.1234946642071009,0.03979488165350631,-0.0033873657528029288,0.03640751590070338
11264,224,-68.80369022,8.183205842971802,-1.088821679353714,0.03194829329731874,-0.0031223510071339885,0.02882594229018475
12288,244,-66.2265997,8.988497972488403,-1.0468379128724337,0.04210291427443735,-0.0007517088350268983,0.041351205439410454
13312,264,-63.25030384000001,9.926641941070557,-1.007464556954801,0.03243974086944945,-0.0034760806148244174,0.028963660254625035
14336,284,-58.03151822000001,10.88063907623291,-0.9726745607331395,0.03855107841081917,-0.006520087462148246,0.03203099094867092
15360,304,-53.9358843,11.81421971321106,-0.936976077966392,0.03486018153489567,-0.003168411276376384,0.03169177025851929
16384,324,-50.77035906000001,12.768271207809448,-0.9089127965271473,0.03816371472203173,-0.001812085891493603,0.03635162883053812
17408,348,-49.927459660000004,13.680578231811523,-0.8760509910061955,0.035081345558864996,3.775501967859273e-05,0.03511910057854359
18432,368,-48.263784959999995,14.551846265792847,-0.8390981759876013,0.024066499870968983,-0.005544119127314784,0.0185223807436542
19456,388,-45.42525877999999,15.314704656600952,-0.8055577082559466,0.03289780073100701,-0.0018177722491589316,0.031080028481848078
20480,408,-42.8154094,16.202895402908325,-0.7688557421788573,0.019875119178323075,-0.0003711065157115224,0.019504012662611554
21504,428,-40.30318924,17.184512615203857,-0.7371378261595964,0.017185206874273717,-0.003492926342874449,0.01369228053139927
22528,448,-39.5936638,18.158650636672974,-0.7194398958235979,0.02103221253491938,-0.0016456750052058415,0.01938653752971354
23552,468,-37.882712719999994,19.024497032165527,-0.6955203879624605,0.02428773869178258,-0.002383015530788561,0.021904723160994018
24576,488,-35.55922089999999,19.72192692756653,-0.662363394163549,0.020702654248452745,-0.00029769449088262777,0.020404959757570118
25600,512,-34.50891564,20.397634744644165,-0.639052540063858,0.0315325960109476,0.0009608588895762543,0.032493454900523855
26624,532,-32.4152635,21.20081353187561,-0.609038420021534,0.029161542159272358,-0.0023084183210236213,0.026853123838248737
27648,552,-31.140561920000003,21.93899369239807,-0.578424290753901,0.01937915978487581,0.00015615849829202314,0.019535318283167832
28672,572,-30.073316700000007,22.66154432296753,-0.5522121833637357,0.02127725089667365,-0.003088072006955908,0.018189178889717744
29696,592,-29.396117780000004,23.36399245262146,-0.5328149516135454,0.02209086500806734,-0.0012139071180737018,0.020876957889993636
30720,612,-27.8077737,24.036267280578613,-0.5105007085949183,0.02685263502644375,0.005522910194450391,0.03237554522089414
31744,632,-27.44819204,24.749971389770508,-0.4900538446381688,0.028669739273027517,-0.00010757187010924902,0.028562167402918268
32768,652,-27.44565614,25.688016414642334,-0.47056679148226976,0.026967257872456685,-0.0021077410110274643,0.02485951686142922
33792,672,-26.86257252,26.579072952270508,-0.4513864852488041,0.030111699685221538,0.0017587680605142138,0.03187046774573575
34816,696,-25.959656979999995,27.556249856948853,-0.4374172119423747,0.031117210804950446,0.0008848022341666547,0.0320020130391171
35840,716,-24.49573756,28.426459074020386,-0.42263495828956366,0.026996514498023316,0.0028963747119225246,0.029892889209945837
36864,736,-23.86688552,29.39377999305725,-0.41083179600536823,0.017946314052096568,0.0046649638785108746,0.022611277930607444
37888,756,-23.740749100000002,30.30347228050232,-0.3978534350171685,0.018812268681358546,-0.0036036988754329638,0.015208569805925581
38912,776,-23.475726419999997,31.109633207321167,-0.3822058239020407,0.02415843888593372,0.0036628368043748285,0.02782127569030855
39936,796,-23.510208140000003,32.02324724197388,-0.37538865534588695,0.0138643923055497,-0.0006679911063737141,0.013196401199175985
40960,816,-23.194879559999993,32.766005516052246,-0.362536599393934,0.016579037008341402,0.0034341202825973276,0.020013157290938728
41984,836,-23.260886839999998,33.45834255218506,-0.33841409673914313,0.020629960752557963,0.00229281655213748,0.02292277730469544
43008,860,-22.907833319999998,34.21105718612671,-0.3154844529926777,0.02409329426882323,0.0057935091183808915,0.02988680338720412
44032,880,-22.758170299999996,34.98064565658569,-0.30385698191821575,0.02719246709602885,0.0015863483967388226,0.028778815492767673
45056,900,-22.740978400000003,35.65632510185242,-0.2898793974891305,0.019663482722535264,0.0034401897471284734,0.023103672469663737
46080,920,-22.10080248,36.41456389427185,-0.2659098971635103,0.01749920358270174,0.005996403370441314,0.023495606953143053
47104,940,-22.087212700000006,37.08719182014465,-0.2500631706789136,0.01807268930861028,0.0023088650649731894,0.02038155437358347
48128,960,-21.53534064,37.76963186264038,-0.23925974778831005,0.022716788109391928,0.00563959582630275,0.02835638393569468
49152,980,-20.3970944,38.53691577911377,-0.2256015120074153,0.017188565791002475,0.0014344582453791476,0.018623024036381622
50176,1000,-19.84883696,39.22490167617798,-0.20546207204461098,0.017062101323972456,0.00015475014167449282,0.01721685146564695
51200,1024,-19.33578088,39.95196080207825,-0.19021284021437168,0.024931787149398588,0.001692568217659479,0.026624355367058067
52224,1044,-20.13440024,40.68258881568909,-0.17561758402734995,0.01898371707648039,0.0021831012620633266,0.021166818338543718
53248,1064,-20.313424599999998,41.64256143569946,-0.1618105061352253,0.01477779994456796,-0.0014380080303041263,0.013339791914263833
54272,1084,-19.251633299999998,42.49521064758301,-0.1480560414493084,0.01448111841455102,0.002490115654319884,0.016971234068870904
55296,1104,-17.890870640000003,43.47357654571533,-0.1392681561410427,0.015914315095869824,0.008670747908449121,0.024585063004318945
56320,1124,-17.29068262,44.280887603759766,-0.12459689751267433,0.01734186835528817,0.007550168721204737,0.024892037076492908
57344,1144,-17.543042720000003,45.124473094940186,-0.11203363258391619,0.012430524249793962,0.0026740392869082762,0.01510456353670224
