num_episodes,total timesteps,total_time,ep_rew_mean,total_loss,value_loss,policy_gradient_loss,entropy_loss
20,1024,0.3567178249359131,-130.81116750000004,,,,
40,2048,1.9343945980072021,-127.54183050000002,0.6924809575773148,0.6992435560096055,-0.0067625984322907985,-1.4087665062397718
60,3072,2.6904242038726807,-120.10105388,0.08215289378797949,0.08638354041613638,-0.004230646628156897,-1.37244295142591
80,4096,3.3569884300231934,-109.12063975999999,0.04844462916377343,0.05436568392906338,-0.00592105476528995,-1.3337619919329882
100,5120,4.081019163131714,-99.19984454,0.06028150993709152,0.0644484837539494,-0.004166973816857884,-1.2961086966097355
120,6144,4.804637670516968,-92.22222508,0.060535793116489656,0.06693661893950775,-0.006400825823018093,-1.2533117420971394
140,7168,5.518721580505371,-83.81256888,0.03893422361420058,0.04377028183080256,-0.004836058216601978,-1.2165477070957422
160,8192,6.186158657073975,-79.91336262,0.048757480186831174,0.05308552284259349,-0.004328042655762321,-1.1815350279211998
184,9216,6.850419759750366,-75.32249159999999,0.0465952387498586,0.050651342782657593,-0.004056104032798989,-1.1502397023141384
204,10240,7.578494071960449,-71.05301632000001,0.04385007305525893,0.046748936554649845,-0.002898863499390914,-1.1231193821877241
224,11264,8.430593967437744,-66.95970272,0.037808602460241036,0.041462625202257186,-0.0036540227420161437,-1.083374299108982
244,12288,9.230360984802246,-63.06519276,0.03568094689201738,0.04112721187993884,-0.005446264987921459,-1.0494158044457436
264,13312,9.976430416107178,-60.067950259999996,0.039450280338877305,0.04134940463700332,-0.0018991242981260127,-1.0133488802239299
284,14336,10.682485818862915,-58.18271078,0.033028708811522575,0.03395448680385016,-0.000925777992327588,-0.9806676637381315
304,15360,11.306934118270874,-55.44735748,0.025992765714335703,0.031797115196241066,-0.005804349481905363,-0.950882064178586
324,16384,12.049871921539307,-51.51918046,0.03162324753240658,0.03464230272220448,-0.003019055189797899,-0.9120980370789766
348,17408,12.699856281280518,-47.666188459999994,0.022083282154155698,0.02417963565676473,-0.0020963535026090317,-0.8712899032980204
368,18432,13.465139389038086,-45.403971980000016,0.022032522335730283,0.023089630209142342,-0.0010571078734120556,-0.833289535716176
388,19456,14.143095970153809,-44.55709986,0.022412031203527107,0.021543068840401247,0.0008689623631258622,-0.8013235181570053
408,20480,14.80511474609375,-44.1243852,0.016720877778727442,0.019591160322306678,-0.002870282543579234,-0.7697424134239554
428,21504,15.48537540435791,-41.832746400000005,0.02429067499881283,0.024044807942118496,0.000245867056694334,-0.7387794833630323
448,22528,16.25368881225586,-38.81869538,0.020834015670188978,0.018794861432979815,0.0020391542372091647,-0.7101482693105936
468,23552,16.94837236404419,-37.28707826,0.027418612957398697,0.030253164266468957,-0.0028345513090702584,-0.6808229889720678
488,24576,17.76878595352173,-35.91116604,0.02110334869725869,0.020241886377334595,0.0008614623199240976,-0.6525477031245828
512,25600,18.501723527908325,-34.60781824,0.023963599932616465,0.02248314386815764,0.0014804560644588296,-0.6239959467202425
532,26624,19.191884994506836,-32.74837262,0.014826492499021427,0.01999991365300957,-0.005173421153988144,-0.5948835844174027
552,27648,19.87311601638794,-32.1918759,0.024553628688486442,0.02557848706783261,-0.0010248583793461702,-0.5680577550083399
572,28672,20.611271381378174,-30.745530059999997,0.01848882295186003,0.016718156955903396,0.0017706659959566351,-0.5475016431882977
592,29696,21.316230058670044,-29.3188521,0.02065303459524099,0.018708364223130047,0.0019446703721109396,-0.5297149168327451
612,30720,22.040443181991577,-28.72847346,0.020070451013030465,0.023965433152625337,-0.003894982139594872,-0.5093201375566423
632,31744,22.742291927337646,-28.562905880000002,0.013904199112928112,0.018177926060161553,-0.004273726947233441,-0.4874406303279102
652,32768,23.39798092842102,-28.604672139999998,0.018444866981117348,0.01688921944150934,0.0015556475396080057,-0.4693186799995601
672,33792,24.1140615940094,-28.452291280000004,0.018387556991748117,0.01688480851589702,0.0015027484758510954,-0.44176632491871715
696,34816,24.861871242523193,-27.89659604,0.01666668654160744,0.015454663713171612,0.001212022828435828,-0.4129982106387615
716,35840,25.576092958450317,-26.214874100000003,0.017780931015074303,0.01516872929641977,0.002612201718654534,-0.3992818300612271
736,36864,26.284061193466187,-25.71939136,0.017107422466062516,0.013226604343799409,0.003880818122263107,-0.3888508235104382
756,37888,26.945497751235962,-25.450646080000002,0.015226812062134807,0.013794380276522133,0.0014324317856126735,-0.3744851667433977
776,38912,27.670727014541626,-25.756729540000002,0.022741168838794262,0.022138560336316004,0.0006026085024782616,-0.3624223982915282
796,39936,28.41333770751953,-25.1154842,0.01939392908153633,0.019530859528458677,-0.00013693044692234446,-0.3424635184928775
816,40960,29.10577368736267,-25.024405659999992,0.021301840913205153,0.01747513486770913,0.0038267060454960236,-0.3269161647185683
836,41984,29.867337465286255,-24.84991066,0.018438192650809444,0.013584179774625227,0.0048540128761842185,-0.3126299465075135
860,43008,30.53007960319519,-23.91217956,0.021746393420866837,0.015058114411658607,0.006688279009208226,-0.28504910226911306
880,44032,31.31179714202881,-22.9955417,0.02749278622967304,0.02048641895817127,0.007006367271501765,-0.2621617438271642
900,45056,31.97386932373047,-21.967452520000005,0.02401926884876491,0.020241408972651698,0.0037778598761132095,-0.24576173722743988
920,46080,32.71625375747681,-21.057375300000004,0.014990532850744127,0.014188823202857748,0.0008017096478863807,-0.22899707406759262
940,47104,33.42299294471741,-21.06300662,0.012906172962832977,0.015156331573962234,-0.002250158611129257,-0.21288852486759424
960,48128,34.135666370391846,-21.084744099999998,0.017423963399890482,0.013176682987250388,0.0042472804126400966,-0.205045853741467
