ep_rew_mean,total timesteps,num_episodes,total_time,total_loss,value_loss,entropy_loss,policy_gradient_loss
-125.53087249999999,1024,20,0.5461516380310059,,,,
-125.15117075,2048,40,1.3412137031555176,0.5728488541599543,0.5734478172380477,-1.4065231122076511,-0.0005989630780933162
-119.74760304000002,3072,60,2.1040186882019043,0.0949298750817183,0.10075246274936944,-1.3756973203271627,-0.005822587667651139
-112.58163252,4096,80,2.841123580932617,0.050696857392310626,0.05613310501212254,-1.3360263835638762,-0.005436247619811914
-103.94352608,5120,100,3.511338233947754,0.04766474244208437,0.055584611371159554,-1.3048806246370077,-0.00791986892907518
-96.8045653,6144,120,4.175734996795654,0.046375557782917326,0.047664971119957045,-1.2739046681672335,-0.0012894133370397196
-89.31647584000002,7168,140,4.884014129638672,0.03504180687984494,0.0415166205202695,-1.2356453370302916,-0.006474813640424555
-84.39727088,8192,160,5.530666828155518,0.04333552223359495,0.048128825234016404,-1.1959839221090078,-0.004793303000421455
-78.08280816,9216,184,6.233032464981079,0.029243735689145952,0.03543031771550886,-1.1574855390936136,-0.00618658202636291
-72.78579617999999,10240,204,6.907739162445068,0.022936716521521253,0.026683450007112697,-1.1187212020158768,-0.0037467334855914454
-69.40616966,11264,224,7.638303756713867,0.04355422073910696,0.04937226773472503,-1.0728861093521118,-0.0058180469956180605
-64.23049102,12288,244,8.31619119644165,0.028774506808094513,0.033418362378142774,-1.0304162427783012,-0.004643855570048262
-61.06093258000001,13312,264,9.010937452316284,0.02205730243895562,0.025564579307683744,-0.9921645149588585,-0.0035072768687281243
-58.3270527,14336,284,9.731218099594116,0.016952918570550785,0.019310999268782325,-0.9524584654718637,-0.0023580806982315427
-53.8715354,15360,304,10.361311674118042,0.021105984990908808,0.023097544035408646,-0.9142338233068585,-0.0019915590444998404
-49.333381720000006,16384,324,10.983556032180786,0.019245273103547622,0.024540385711588897,-0.8763714535161853,-0.005295112608041276
-46.180085980000015,17408,348,11.678380727767944,0.024434970586480597,0.02449975986382924,-0.8424448873847723,-6.478927734864296e-05
-44.819959919999995,18432,368,12.431433916091919,0.022276224217428163,0.021186282363487408,-0.8097606813535094,0.001089941853940755
-43.86240636,19456,388,13.516093254089355,0.013896588849942371,0.01643737008998869,-0.7711405912414193,-0.0025407812400463194
-40.87842996,20480,408,14.410046815872192,0.01640025119474789,0.019525364972651005,-0.7392070777714252,-0.003125113777903115
-39.22838958,21504,428,15.056729078292847,0.019196869322277627,0.018518291515647434,-0.7168629262596369,0.0006785778066301926
-38.233067819999995,22528,448,15.769002437591553,0.022835165249607735,0.01807300561631564,-0.6888452200219035,0.0047621596332920926
-36.9873132,23552,468,16.4715576171875,0.016323291326282997,0.0179302234610077,-0.6697670761495829,-0.0016069321347247031
-35.87785066,24576,488,17.121459245681763,0.01681990680423198,0.02036480125389062,-0.6473496677353978,-0.003544894449658639
-35.08664994,25600,512,17.84198832511902,0.013428038885899411,0.014985717018134892,-0.6243506856262684,-0.0015576781322354824
-33.12957816000001,26624,532,18.584773063659668,0.01464843168296314,0.01674542558612302,-0.6021145135164261,-0.0020969939031598795
-31.161044699999998,27648,552,19.21936273574829,0.016008496911635466,0.01571062143193558,-0.5732894577085972,0.000297875479699887
-30.102292399999996,28672,572,19.917417287826538,0.020735070821747324,0.019967340645962395,-0.5467830467969179,0.0007677301757849259
-29.621075140000002,29696,592,20.606456995010376,0.01818152296192527,0.015889401962340344,-0.5252644680440426,0.002292120999584927
-28.35002176,30720,612,21.27675747871399,0.016664127217973532,0.019557243474991992,-0.506782678887248,-0.0028931162570184597
-28.60248788000001,31744,632,21.981467247009277,0.012570045512803739,0.012561020012071822,-0.49699288653209805,9.025500731915908e-06
-28.08207906,32768,652,22.699583530426025,0.011986841881575087,0.014319463560241275,-0.47646852722391486,-0.0023326216786661875
-27.23470224,33792,672,23.39437508583069,0.004615724529875598,0.008370302777620964,-0.45706098061054945,-0.0037545782477453656
-26.04917566,34816,696,24.134788036346436,0.009607058213428285,0.011071443870605435,-0.43941434286534786,-0.0014643856571771494
-26.806896820000002,35840,716,24.86779284477234,0.011412337602705335,0.009274828466004692,-0.41183675546199083,0.0021375091367006422
-26.810056439999997,36864,736,25.554563760757446,0.01285575436077125,0.013981384690850973,-0.38540729181841016,-0.0011256303300797234
-25.244600159999994,37888,756,26.27261996269226,0.013560263527335744,0.013671312080987263,-0.3617976112291217,-0.00011104855365152012
-23.868371680000006,38912,776,26.99649453163147,0.010526018495786533,0.012333902981481515,-0.34365666238591075,-0.0018078844856949812
-23.09626134,39936,796,27.74099564552307,0.01291103769370004,0.012340844790742267,-0.320729810744524,0.0005701929029577728
-22.50054384,40960,816,28.373284816741943,0.008587996200969448,0.009648043094784953,-0.2977962847799063,-0.001060046893815504
-21.602640880000003,41984,836,29.073652029037476,0.00849823679114696,0.009212571327225305,-0.27545509580522776,-0.0007143345360783466
-22.261310079999998,43008,860,29.776137113571167,0.017390685904671774,0.009237883452442475,-0.25836362689733505,0.0081528024522293
-21.3024466,44032,880,30.448406219482422,0.004268596754723657,0.005766661059169564,-0.2386049386113882,-0.0014980643044459072
-20.15146772,45056,900,31.195425033569336,0.008637498539263353,0.007576852309284732,-0.22248639538884163,0.0010606462299786216
-19.19743514,46080,920,31.879169940948486,0.0035618368304692724,0.004623518278094707,-0.2054130332544446,-0.0010616814476254346
-18.70597166,47104,940,32.54831624031067,0.012603546830606185,0.010713997973653022,-0.17685310635715723,0.0018895488569531619
