num_episodes,ep_rew_mean,total timesteps,total_time,value_loss,policy_gradient_loss,entropy_loss,total_loss
641,14.3,8192,2.922816276550293,,,,
1153,13.58,16384,13.81381106376648,1.941547767072916,-0.015767892528002453,-1.3901389867067337,1.9257798745449137
1529,19.28,24576,24.218767642974854,1.2688060935586691,-0.018971853023017154,-1.340451880171895,1.2498342405356517
1815,27.86,32768,35.28597712516785,1.1186451401095838,-0.01386346496230339,-1.2982375426217914,1.1047816751472805
2004,42.52,40960,46.106308460235596,0.9984795258380472,-0.012334423945445469,-1.2349676046520472,0.9861451018926018
2143,59.02,49152,55.47102975845337,0.9732366395648568,-0.009594190588197504,-1.171735108550638,0.9636424489766593
2265,66.52,57344,66.0924744606018,0.8949279644526541,-0.006304635462054832,-1.1265745291486382,0.8886233289905994
2359,82.96,65536,76.66643619537354,0.8947739379946142,-0.007699688092206311,-1.0727837406098844,0.8870742499024079
2452,91.54,73728,86.42877435684204,0.6645407096715644,-0.00578676932359609,-1.0238148901611566,0.6587539403479683
2511,130.78,81920,97.62152051925659,0.6479577158228494,-0.006955655004189934,-0.9861371515318751,0.6410020608186595
2555,177.64,90112,108.02041912078857,0.7981553133577108,-0.006278755887584577,-0.9405456373933703,0.7918765574701263
2582,242.0,98304,117.88586330413818,0.8200525327585637,-0.005414705880848731,-0.8973422664683313,0.8146378268777152
2596,328.94,106496,129.010511636734,0.6712472951738164,-0.007034391235312157,-0.8600955724716186,0.6642129039385043
2607,438.4,114688,139.22585535049438,0.7002433926914818,-0.0017646009612212177,-0.8210699629969895,0.6984787917302606
2617,549.96,122880,149.4301688671112,0.6643787166103721,-0.004297321590118887,-0.7772843789774925,0.6600813950202532
2625,633.0,131072,160.4866979122162,0.6569245619000867,-0.0011592844122161098,-0.7306701123248786,0.6557652774878706
2635,769.72,139264,170.98019552230835,0.5517894842894748,-5.431142747938857e-05,-0.68496327358298,0.5517351728619955
2643,848.36,147456,180.91104793548584,0.6770307069586124,0.00023424055676478503,-0.664728827495128,0.6772649475153771
2651,905.16,155648,192.0531361103058,0.5936448048218154,-0.00022007026060035412,-0.6563334474340081,0.593424734561215
2659,952.66,163840,202.33245396614075,0.6250784990901593,0.0007024523104229994,-0.6539813867304474,0.6257809514005823
2659,952.66,163840,210.29024577140808,0.661744712491054,0.0005137132626394468,-0.6470644263084978,0.6622584257536935
