num_episodes,total timesteps,total_time,ep_rew_mean,total_loss,entropy_loss,value_loss,policy_gradient_loss
174,1024,0.38277101516723633,5.84,,,,
338,2048,2.061491012573242,6.56,3.4553072896564268,-1.4088641293346882,3.463006805628538,-0.007699515972111281
510,3072,2.8380320072174072,6.04,2.200114464402917,-1.37592289224267,2.214510478079319,-0.014396013676401559
660,4096,3.6067028045654297,6.58,0.9152350707976153,-1.3315051570534706,0.9298895010724664,-0.014654430274850905
790,5120,4.434360980987549,8.1,1.2670336174701895,-1.2940567694604397,1.2750473832711577,-0.008013765800968171
907,6144,5.22864556312561,8.26,1.7322368343394101,-1.2654196061193943,1.744109082967043,-0.011872248627632797
998,7168,6.01627516746521,11.78,1.6514016311149924,-1.2333832569420338,1.6696752905845642,-0.018273659469571723
1073,8192,6.762698411941528,13.02,2.0728816814987248,-1.1974827740341425,2.086481563746929,-0.013599882248204465
1135,9216,7.484286308288574,17.16,2.566217524182612,-1.1627931017428637,2.57695902697742,-0.010741502794807917
1198,10240,8.203878164291382,16.32,2.234969056627926,-1.130321342498064,2.241321062669158,-0.00635200604123205
1248,11264,8.959235429763794,20.44,1.7895508832550309,-1.096538109704852,1.7940198462456465,-0.004468962990615654
1300,12288,9.750236749649048,19.08,1.93877171469769,-1.0582563541829586,1.9337622709572315,0.005009443740458665
1345,13312,10.56863522529602,22.7,1.8112793148664812,-1.0195029452443123,1.8159026447683573,-0.0046233299018761465
1385,14336,11.291466474533081,24.98,1.7227041462821515,-0.9881758065894246,1.7235696390271187,-0.0008654927449673396
1420,15360,12.06996488571167,27.78,1.6689982784976058,-0.9561046287417412,1.6666403952986002,0.0023578831990057024
1452,16384,12.782798290252686,31.64,1.4325200040361785,-0.9245210029184818,1.434612151235342,-0.002092147199163437
1486,17408,13.557923316955566,30.36,1.29644428105434,-0.9080396452918649,1.2870793603360653,0.009364920718274815
1523,18432,14.298562288284302,28.08,1.1181919956432997,-0.8985512321814895,1.117477422580123,0.0007145730631767098
1560,19456,15.071432828903198,28.1,0.8973886864041192,-0.8825833443552256,0.8938322244212031,0.003556461982916013
1594,20480,15.82684326171875,29.38,1.0098145015573827,-0.8738817675039172,1.0033123334869742,0.006502168070408397
1629,21504,16.541626453399658,29.3,0.7214609491294284,-0.8582601454108953,0.72155159432441,-9.064519498155031e-05
1660,22528,17.285974502563477,30.14,0.6698883527151425,-0.8284921767190099,0.6618144097737968,0.008073942941345754
1695,23552,18.003193140029907,30.84,0.8034863108357371,-0.7944742869585752,0.8006244665011764,0.002861844334560622
1728,24576,18.7560613155365,31.12,0.6813420441386502,-0.7685741959139705,0.6758589711971581,0.005483072941491942
1757,25600,19.443143129348755,33.06,0.760586955224607,-0.7365960078313947,0.760200581047684,0.00038637417692306483
1786,26624,20.131277799606323,34.84,0.7271875182036955,-0.715264692902565,0.7279976103454828,-0.0008100921417872165
1814,27648,20.884154081344604,36.56,0.5747310261966854,-0.7155320066958666,0.5698860846459866,0.004844941550698785
1843,28672,21.616750240325928,35.8,0.5612852817257796,-0.6919178795069456,0.5600408613681793,0.0012444203576002148
1868,29696,22.52500081062317,36.22,0.5365791169382187,-0.664926253259182,0.5366492564789951,-7.013954077638145e-05
1891,30720,23.266555786132812,42.18,0.5529286216906579,-0.6490127062425017,0.5512038110755384,0.0017248106151195076
1906,31744,24.040637016296387,51.24,0.8013266667258301,-0.6507570035755634,0.7708790879696608,0.03044757875616943
1919,32768,24.763447284698486,60.0,1.3084973357543181,-0.6492084851488471,1.2725006779655814,0.035996657788736744
1932,33792,25.45048499107361,69.8,2.007881326425414,-0.6491155177354813,1.9784071240574121,0.029474202368001867
1943,34816,26.169196367263794,76.08,1.7697629631881457,-0.64229650888592,1.7704639649018645,-0.0007010017137188285
1954,35840,26.972126722335815,82.18,0.9000963218940105,-0.6408990668132901,0.899044580757618,0.0010517411363925508
1963,36864,27.684693336486816,91.14,0.9196952769237681,-0.6310720518231392,0.9207970187999308,-0.0011017418761627288
1969,37888,28.46656346321106,98.06,1.0614000759263353,-0.6170564955100417,1.0592707330361009,0.0021293428902346132
1975,38912,29.18080735206604,109.78,1.390977639810713,-0.6079971212893724,1.392726861871779,-0.0017492220610660029
1980,39936,29.902315378189087,117.32,1.0272523209791646,-0.5918343989178538,1.0269946809858084,0.0002576399933562428
1982,40960,30.5957088470459,125.3,1.015005780306165,-0.5752207618206739,1.0160900973714888,-0.001084317065323874
1986,41984,31.30302333831787,146.96,0.9223868694046806,-0.5574748581275344,0.9207275351509452,0.0016593342537354456
1988,43008,32.14248490333557,158.04,1.1991025482862478,-0.5397391123697162,1.187174016609788,0.011928531676459886
1989,44032,32.88652324676514,165.74,1.0250880887368505,-0.5227075722068548,1.0022038500756025,0.02288423866124807
1989,45056,33.64931511878967,165.74,0.7386853254251647,-0.5156957013532519,0.7328132577240467,0.005872067701118084
1990,46080,34.3506121635437,184.56,0.662870129733646,-0.504400659352541,0.6626953114755452,0.00017481825810092158
1992,47104,35.02483892440796,221.86,1.5699315460162162,-0.48254690831527114,1.5690256203524768,0.0009059256637393451
1993,48128,35.7062041759491,240.3,2.6714539231452505,-0.47952370485290885,2.6721935593523085,-0.0007396362070578453
1993,49152,36.41995048522949,240.3,1.2803569748970784,-0.4775675027631223,1.277268560603261,0.003088414293817473
1994,50176,37.10688400268555,259.24,0.6733323321386977,-0.46751008881255984,0.6668557333759964,0.006476598762701419
1996,51200,37.83281183242798,295.42,1.6971329934212451,-0.4619249580428004,1.691547563066706,0.0055854303545389925
1997,52224,38.511902809143066,312.6,3.0526995902943064,-0.46784100914373994,3.053660760167986,-0.0009611698736799936
1997,53248,39.274768590927124,312.6,1.5895449950636862,-0.4673553705215454,1.5868328674696386,0.002712127594047457
1998,54272,39.9773063659668,330.36,0.10065054813203875,-0.46763864113017917,0.09878305334132165,0.0018674947907170898
