num_episodes,total_time,ep_rew_mean,total timesteps,total_loss,value_loss,entropy_loss,policy_gradient_loss
170,0.4929053783416748,6.16,1024,,,,
324,2.3046457767486572,6.58,2048,2.5528431675740846,2.5564937740564346,-1.4029340017586946,-0.003650606482349809
474,3.0674071311950684,7.46,3072,1.4612498796565792,1.4696211656555533,-1.377408366650343,-0.00837128599897419
600,3.9079389572143555,7.84,4096,1.2295818286596445,1.2376307835802436,-1.3530167527496815,-0.008048954920599028
705,4.920849800109863,10.02,5120,1.4760122303051784,1.4908088836818933,-1.3231828995049,-0.0147966533767151
786,5.894473314285278,12.46,6144,1.3546991891090232,1.3679546862840652,-1.2884686905890703,-0.013255497175042062
842,6.747600793838501,18.64,7168,1.9325991313683972,1.9478781493380666,-1.2608144283294678,-0.01527901796966952
884,7.491516351699829,22.16,8192,2.296301863296998,2.3078395891934633,-1.2384302746504545,-0.011537725896465479
917,8.449759483337402,27.5,9216,2.0292998412199763,2.032103046774864,-1.2219339031726122,-0.0028032055548878757
956,9.2794930934906,26.46,10240,1.7695220167536116,1.769462175667286,-1.2064133901149035,5.98410863257761e-05
988,10.083491802215576,31.16,11264,1.3756203059370775,1.3857549848034978,-1.1877971831709146,-0.010134678866420423
1016,10.888822317123413,35.7,12288,1.88778299894209,1.896557580679655,-1.1657131612300873,-0.00877458173756504
1039,11.757395505905151,38.56,13312,1.2822097105011383,1.281836450099945,-1.1266573201864958,0.0003732604011932151
1057,12.669241428375244,46.52,14336,1.372945587172893,1.3767559379339218,-1.0945891663432121,-0.003810350761028668
1070,13.495630025863647,57.1,15360,1.3893616536482347,1.3852431317791343,-1.0753537341952324,0.004118521869100646
1076,14.25863242149353,69.26,16384,0.985922239811541,0.9881960162892938,-1.0482216998934746,-0.00227377647775282
1080,15.17049789428711,82.44,17408,1.1928568579715493,1.1917442129924893,-1.0327366515994072,0.0011126449790600343
1088,16.14363980293274,93.12,18432,1.5254109577638455,1.5298102051019669,-1.0309310983866453,-0.004399247338121541
1091,17.043217658996582,111.08,19456,2.606752764631966,2.6077742371708155,-1.0157518265768886,-0.00102147253884939
1094,18.101085424423218,126.02,20480,0.9973978432090027,1.0029516760259867,-0.991689246147871,-0.005553832816983984
1097,19.077430725097656,142.86,21504,1.1986999307326982,1.196543410886079,-0.9757967377081513,0.002156519846619155
1103,19.859917879104614,169.04,22528,1.3395269622844919,1.3416347135789692,-0.955334841273725,-0.0021077512944774404
1112,20.569085836410522,176.12,23552,1.5483771035732548,1.5561744356527925,-0.9377737501636147,-0.007797332079537652
1116,21.310391902923584,182.9,24576,1.716619647120765,1.7188333831727505,-0.9311059070751071,-0.0022137360519851983
1119,22.139443397521973,185.0,25600,1.089917950147648,1.0942614078521729,-0.920899978838861,-0.004343457704524837
1121,22.897346019744873,203.58,26624,1.4845627004084099,1.494844514876604,-0.9058046471327543,-0.010281814468194343
1123,23.650389432907104,212.0,27648,0.789210553840769,0.801729810424149,-0.8893498200923204,-0.012519256583380023
1124,24.439209461212158,228.12,28672,0.7730580861933709,0.7793254279531538,-0.8766307272017002,-0.006267341759782903
1124,25.20707368850708,228.12,29696,1.0458980083675944,1.044806654797867,-0.870452169328928,0.0010913535697274195
1125,25.929914236068726,245.86,30720,0.3671545679837286,0.3735333876684308,-0.857154343277216,-0.006378819684702176
1127,26.672785997390747,280.8,31744,1.3974768809515563,1.402228549355641,-0.8238795017823577,-0.0047516684040845945
1128,27.409308671951294,296.02,32768,2.561354028204814,2.560670919716358,-0.8064050329849124,0.0006831084884562943
1128,28.185861110687256,296.02,33792,1.6744360373804863,1.6738414783030748,-0.8042199444025755,0.0005945590774113188
1130,29.06552481651306,326.14,34816,0.18897141909229231,0.19684032013174146,-0.8004172425717115,-0.007868901039449136
1131,29.887921571731567,343.82,35840,2.7966145967184493,2.797633715905249,-0.789374265819788,-0.0010191191867998128
1132,30.60166025161743,357.18,36864,1.655034648696334,1.6554818644654006,-0.7850934192538261,-0.0004472157690663152
1132,31.35593819618225,357.18,37888,1.581019980144552,1.5820894391508773,-0.7808062639087439,-0.001069459006325424
1134,32.103389739990234,391.58,38912,0.1527169144485215,0.15699021273758262,-0.755437184125185,-0.004273298289061122
1135,32.79592728614807,409.78,39936,3.3552303230457827,3.354600068181753,-0.7385985525324941,0.0006302548640298501
1136,33.48285460472107,429.14,40960,1.7211447646494982,1.7222206492442638,-0.726802428252995,-0.0010758845947658746
1136,34.219056606292725,429.14,41984,1.6710858737420535,1.6689489878481254,-0.721075726673007,0.002136885893928277
1138,35.0547149181366,466.84,43008,0.1753131430814418,0.1757423043018207,-0.7266895771026611,-0.00042916122037889385
1139,35.92779541015625,483.42,44032,3.308336657255124,3.307823558570817,-0.7384931053966284,0.0005130986843069108
1140,36.80216073989868,497.8,45056,1.8101018823440909,1.8097681525396183,-0.7560621574521065,0.00033372980447257054
1141,37.58502960205078,506.06,46080,1.7002455405076409,1.7028554563876241,-0.7586599169299006,-0.0026099158799833284
1142,38.288326263427734,517.88,47104,1.8512963116206071,1.850493414211087,-0.7471056394279003,0.0008028974095202104
1143,39.011229038238525,532.28,48128,1.8153375854940674,1.8087571780197322,-0.7469297340139747,0.006580407474335123
1144,39.75427961349487,548.26,49152,1.9520289367482646,1.9522658742498606,-0.7539601102471352,-0.0002369375015959621
1145,40.43856191635132,559.2,50176,0.3093648028480778,0.3118145978078246,-0.7562993615865707,-0.0024497949597468084
1146,41.176960468292236,574.86,51200,1.9975147471672654,1.9972943413304165,-0.7485572481527925,0.00022040583684882723
