total timesteps,num_episodes,ep_rew_mean,total_time,entropy_loss,value_loss,policy_gradient_loss,total_loss
8192,1294,6.1,3.599618911743164,,,,
16384,2335,7.82,12.481275081634521,-1.3618972345255316,2.312079936079681,-0.029648616422479884,2.282431319657201
24576,3094,10.38,23.445891857147217,-1.2603655676357448,1.9104357046540827,-0.03349866383629561,1.876937040817787
32768,3636,13.68,32.0682954788208,-1.1522985347546637,1.7592384515330195,-0.028843122682114142,1.7303953288509049
40960,4018,20.68,41.681692600250244,-1.0619651435874402,1.5771285533905028,-0.023456413130815833,1.5536721402596871
49152,4261,31.88,52.089839935302734,-0.9845603119116276,1.4846706508193166,-0.020736200444204794,1.463934450375112
57344,4452,39.62,61.12447166442871,-0.9103979521431029,1.2813085506204516,-0.01387369848235363,1.267434852138098
65536,4592,60.42,72.11472797393799,-0.8608242714777589,1.0056133608799427,-0.009737595022867144,0.9958757658570757
73728,4716,71.26,81.06829595565796,-0.8163627094123512,0.8278166604461148,-0.0073957480735714854,0.8204209123725434
81920,4798,98.84,90.38111186027527,-0.7787693905178458,0.6621424287557602,-0.007822063051188405,0.6543203657045717
90112,4848,162.76,100.41856861114502,-0.7451477321330457,0.5866421344806441,-0.004938179448257618,0.5817039550323864
98304,4884,201.38,109.6552894115448,-0.7183851801790297,0.5499452913412824,-0.005635974876516937,0.5443093164647654
106496,4895,307.4,120.4665195941925,-0.6915607482194901,0.47007163091329857,-0.00886684190453799,0.4612047890087606
114688,4907,425.64,130.61359882354736,-0.6590498716570437,0.4575616086483933,-0.008131359780790293,0.4494302488676031
122880,4916,559.36,140.704984664917,-0.6146132808178664,0.48652722396655007,-0.0035005421039164216,0.48302668186263364
131072,4925,684.58,151.22903490066528,-0.5823389957193286,0.6030512222088873,-0.0014208520424094883,0.6016303701664778
139264,4933,811.28,159.9538652896881,-0.5538552009500564,0.6657640246674419,-0.0009830765300214935,0.6647809481374203
147456,4941,905.16,170.86874794960022,-0.5274073759559542,0.5787925167416688,-0.0008019604002471349,0.5779905563414218
155648,4949,936.66,181.23219752311707,-0.501521781575866,0.5631387235334842,0.0009193055171437887,0.564058029050628
163840,4957,986.18,189.9587037563324,-0.4940108189824969,0.5810118563240394,-0.0010540695176421496,0.5799577868063973
163840,4957,986.18,197.93856692314148,-0.4850465266732499,0.6301047550194199,0.00019064886199439635,0.6302954038814141
