iteration,reward,novelty,n_koeff,total_time
1,-76.14579294568777,nan,0.95,3.373972177505493
2,-89.26147578759341,45.538341169446454,1.0,3.6057136058807373
3,-95.0531580721642,85.44122553395879,1.05,3.8596057891845703
4,-96.15211564914856,90.42519529209116,1.1,4.075730323791504
5,-94.96041256291214,74.33567890565926,1.05,4.329702138900757
6,-97.41542435559033,62.18527672260232,1.1,4.5614354610443115
7,-99.02295154648168,45.51603564873763,1.05,4.808785438537598
8,-99.897129960726,58.504607625784786,1.0,5.093948602676392
9,-100.73500552921985,54.743178815201006,0.95,5.332156658172607
10,-101.35863160539228,28.6119868662894,1.0,5.563998222351074
11,-100.63092963068117,2.6355213783169846,0.95,5.813344240188599
12,-100.02402329610668,2.5800262900282736,0.8999999999999999,6.0652666091918945
13,-100.73889127893997,2.0086802675996425,0.8499999999999999,6.312710523605347
14,-100.50534314557005,1.5718768248830441,0.8999999999999999,6.550921201705933
15,-100.26568708478732,1.450812447836922,0.95,6.813899040222168
16,-99.89923546560581,1.9129574470234723,1.0,7.0990149974823
17,-99.51654295416282,2.1259032770220667,1.05,7.337299585342407
18,-99.24169855459583,11.592059803802547,1.0,7.584702253341675
19,-99.25447124575396,30.000604238933843,0.95,7.81640887260437
20,-98.8505826977764,41.19574871785828,0.8999999999999999,8.039020538330078
21,-98.40209623239718,33.22268404591223,0.8499999999999999,8.286375522613525
22,-97.55587567575135,25.021513397775767,0.8999999999999999,8.51814603805542
23,-97.47976707886578,18.680272622197904,0.8499999999999999,8.756420373916626
24,-96.83319504045089,17.352330410684203,0.7999999999999998,9.00380563735962
25,-95.80880954807053,16.60639899927968,0.7499999999999998,9.242050886154175
26,-94.90555437532537,15.097539753007668,0.6999999999999997,9.48942756652832
27,-94.6698027984585,15.598585658883849,0.6499999999999997,9.758930921554565
28,-94.70917331690282,14.593879591284928,0.6999999999999997,10.006319999694824
29,-94.64134402792487,13.737047024414057,0.6499999999999997,10.260206937789917
30,-94.48627776211048,12.21068566637434,0.5999999999999996,10.491934537887573
31,-94.05805439276965,11.662778558050011,0.5499999999999996,10.745822668075562
32,-93.5643756861214,10.705332457286943,0.4999999999999996,11.024417400360107
33,-93.0264085058327,9.269079048926166,0.4499999999999996,11.278285264968872
34,-92.07241209693828,9.01291303200673,0.39999999999999963,11.510027170181274
35,-91.67743034136544,7.617517346064739,0.34999999999999964,11.763890504837036
36,-91.19847650587738,7.822616110238896,0.29999999999999966,12.011252641677856
37,-90.1042661590215,7.554494182598866,0.24999999999999967,12.265116691589355
38,-89.5981487167173,6.901800418340925,0.19999999999999968,12.5280921459198
39,-88.07511659750917,6.699221018171775,0.1499999999999997,12.781959295272827
40,-87.34293169683158,6.606659637774571,0.09999999999999969,13.079236268997192
41,-86.50569133511232,6.679684751323219,0.049999999999999684,13.368552207946777
42,-85.41743577499753,5.577349729853994,0.0,13.619378566741943
43,-84.31718408709995,6.153183669429089,0.0,13.869710206985474
44,-83.40109119300791,6.093865820876712,0.0,14.133472919464111
45,-82.25226167389744,5.786668717260152,0.0,14.37143850326538
46,-81.02435792026672,6.510697700818422,0.0,14.673171520233154
47,-80.11603537650703,4.870202772650002,0.0,14.957811832427979
48,-78.8819721377568,6.218801510325794,0.0,15.238009929656982
49,-77.90420633671825,4.807967457750268,0.0,15.521708965301514
50,-76.70892536181582,3.667163726968211,0.0,15.806782722473145
51,-75.52805185591467,5.186551559868725,0.0,16.057827472686768
52,-74.4242662330466,5.0540948585421255,0.0,16.28823184967041
53,-72.99904887871452,4.915893278567922,0.0,16.52348256111145
54,-71.57494134894333,5.481411976263322,0.05,16.80040192604065
55,-70.23240307858435,3.585401137654783,0.0,17.024584770202637
56,-68.37375210586693,4.930515497569371,0.0,17.287670373916626
57,-66.7341894234378,3.8384900750487385,0.0,17.509955644607544
58,-65.22560999644622,5.209234658441871,0.05,17.763779163360596
59,-63.44282438490353,3.5310084339783168,0.0,17.99537420272827
60,-61.671320475594506,4.6881890659429635,0.0,18.24263620376587
61,-60.44115247687825,2.972206808130162,0.0,18.48067831993103
62,-59.60617113750366,4.9055193757428786,0.05,18.743510961532593
63,-58.086230566429975,4.195153004485572,0.0,19.062570810317993
64,-56.97734992680044,5.109273019576639,0.0,19.329375505447388
65,-55.77759958980313,4.659428609546413,0.05,19.571996212005615
66,-54.412195605904046,3.544442065898776,0.0,19.815360069274902
67,-53.260486441782305,4.829762264107673,0.0,20.06211233139038
68,-51.719405650442724,2.8224746054500214,0.0,20.286242723464966
69,-50.130652166815196,4.974851824769269,0.0,20.546598434448242
70,-49.12884043868451,5.023121641845546,0.0,20.803131818771362
71,-48.08620261199673,4.063578291841604,0.0,21.07018208503723
72,-47.263269674915854,5.276018673067304,0.05,21.304872035980225
73,-45.71045951089546,3.3870510013454043,0.0,21.55134677886963
74,-44.73963838224052,4.558852028614959,0.0,21.79036283493042
75,-43.70289783743638,4.778549427790796,0.05,22.022098779678345
76,-43.22917392939838,4.560058162416682,0.1,22.254098176956177
77,-42.02626659848083,4.147095017933399,0.05,22.508049964904785
78,-40.54937675794644,4.47938182840868,0.0,22.805764198303223
79,-39.012923226362666,4.258113623966092,0.0,23.097959995269775
80,-37.632445922476414,5.2035055185540235,0.0,23.430071592330933
81,-36.72189827901417,3.638265898395474,0.0,23.70453953742981
82,-35.64947983048926,5.501462813702667,0.0,23.95500159263611
83,-34.51026278562257,3.924924561918955,0.0,24.19934868812561
84,-33.786490270059154,4.855452639666294,0.0,24.449303150177002
85,-32.77398938991053,3.8471276391875784,0.0,24.69666028022766
86,-31.70098887690153,3.3069057271118596,0.0,24.950545072555542
87,-31.43728157418535,4.2124659682754455,0.0,25.23566508293152
88,-30.759940886028083,2.338290876346532,0.0,25.48302960395813
89,-30.76872638849,3.760073646464643,0.0,25.721285581588745
90,-30.346761629806796,2.894218762964635,0.0,25.968648433685303
91,-29.71920456641853,4.167673061206313,0.05,26.22251319885254
92,-29.39244967861768,2.7766051150277615,0.1,26.501120567321777
93,-29.052988952857017,4.018372847954007,0.05,26.770641088485718
94,-28.644433190545794,3.101819913130348,0.1,27.024503707885742
95,-28.950215159439523,4.433955018650768,0.05,27.303109884262085
96,-29.130439707387055,3.6237479905146683,0.0,27.57259750366211
97,-29.057751388309995,2.5152021820485215,0.0,27.84217643737793
98,-29.28262040062434,4.100616593864811,0.0,28.12731409072876
99,-29.068294415408708,4.382677992520165,0.0,28.390305280685425
100,-29.164194068932044,2.9651031410881012,0.0,28.675458669662476
101,-29.190415844155524,2.755575510648245,0.0,28.929314613342285
102,-29.03076443956643,2.4179585992868193,0.0,29.207942724227905
103,-28.66188971158057,3.9804398353975903,0.0,29.50865340232849
104,-28.447899648020297,1.9612533693937328,0.0,29.76253318786621
105,-28.327070890140213,3.2132541248199193,0.0,30.04765295982361
106,-28.470417287384784,1.4613855101130029,0.05,30.31063151359558
107,-28.357971597781443,4.039070381540968,0.0,30.580198526382446
108,-28.177754426508056,2.047692172858278,0.05,30.865314960479736
109,-28.137586068370933,4.244079273355939,0.0,31.134794235229492
110,-28.159685928230704,2.250796522204497,0.0,31.41339373588562
111,-27.949332332048744,4.320229542214882,0.05,31.71419668197632
112,-27.25211620983539,2.396710558272184,0.0,31.983681678771973
113,-27.00418640633307,2.6691876188214847,0.0,32.26891827583313
114,-26.649049849854755,1.9452893674925824,0.0,32.55403113365173
115,-26.301885331818863,4.043475933146186,0.0,32.81700325012207
116,-26.392114618583022,2.6853562676866467,0.0,33.08649277687073
117,-26.123219973393798,4.274094938074264,0.0,33.38722014427185
118,-26.26957632083987,2.7510770300179654,0.05,33.687965631484985
119,-26.246794599618735,3.0112728103465907,0.1,33.95746111869812
120,-25.82005854756734,2.8532167758877933,0.05,34.242554903030396
121,-25.498021458203393,2.925578784971644,0.0,34.505539417266846
122,-25.088158233763938,3.375452602809143,0.0,34.790648460388184
123,-25.062157787682512,3.0587750441200825,0.0,35.07588005065918
124,-24.79761175010916,2.3144795624501784,0.0,35.360995054244995
125,-24.808363744151837,3.6614598711076143,0.05,35.623974561691284
126,-24.221234387466144,3.0287860442762646,0.0,35.92473793029785
127,-24.211929679535988,2.934252820884916,0.0,36.178616762161255
128,-24.125764092694208,4.8023740873203655,0.0,36.44810128211975
129,-24.164649476786828,2.7597453773150407,0.0,36.72670269012451
130,-24.103974297928712,4.510819671029065,0.0,36.9962317943573
131,-24.058629139148575,2.8990095528452957,0.0,37.265751123428345
132,-24.309692365847823,4.283543615716002,0.0,37.54431629180908
133,-24.65038778664827,5.780693366519293,0.0,37.82946038246155
134,-24.616753073396538,3.3496594592657596,0.0,38.098992586135864
135,-24.336011337649367,4.3333171666793415,0.0,38.38406753540039
136,-24.499620999852155,3.0915567822938375,0.05,38.65355968475342
137,-24.18318235014172,4.579197249038603,0.0,38.93220376968384
138,-24.01974293550388,3.947383813695513,0.0,39.20165157318115
139,-23.73051412078358,3.7986709026934036,0.05,39.502392053604126
140,-23.284043920197643,4.448234294425797,0.0,39.77188539505005
141,-23.226261271970834,4.371736429699233,0.0,40.03486752510071
142,-23.111233905145713,3.161451466513698,0.0,40.32001042366028
143,-22.969497193053442,4.121680550032862,0.0,40.58950233459473
144,-22.858451425560656,5.093024439559745,0.0,40.87458801269531
