total_time,n_koeff,novelty,reward,iteration
3.830554962158203,0.95,nan,-100.19038182552313,1
4.105853319168091,0.8999999999999999,0.005,-95.68524427583785,2
4.385071039199829,0.95,0.005,-90.16223670899642,3
4.66276741027832,0.8999999999999999,0.005,-89.7051851614682,4
4.948004961013794,0.95,0.005,-87.45649612551094,5
5.237231969833374,0.8999999999999999,0.005,-86.13556714840898,6
5.532443523406982,0.8499999999999999,0.005,-84.69417343194516,7
5.8186774253845215,0.7999999999999998,0.005,-86.4385085844296,8
6.113887786865234,0.8499999999999999,0.005,-84.6941933215078,9
6.400123119354248,0.7999999999999998,0.005,-82.86825306899762,10
6.69034743309021,0.8499999999999999,0.005,-82.26674686478849,11
6.981568336486816,0.7999999999999998,0.005,-81.89083209395189,12
7.267801761627197,0.7499999999999998,0.005,-82.49713171752583,13
7.567003011703491,0.7999999999999998,0.005,-82.46362759231101,14
7.8667402267456055,0.7499999999999998,0.005,-82.66152309202376,15
8.147988080978394,0.7999999999999998,0.005,-81.92724517440496,16
8.444195985794067,0.7499999999999998,0.005,-81.23941463514791,17
8.7394437789917,0.6999999999999997,0.005,-80.499171227629,18
9.028667449951172,0.7499999999999998,0.005,-81.17121666770863,19
9.329871892929077,0.7999999999999998,0.005,-80.91099117489023,20
9.626080751419067,0.8499999999999999,0.005,-81.74797541775544,21
9.924315929412842,0.7999999999999998,0.005,-81.07706946621342,22
10.213510274887085,0.8499999999999999,0.005,-80.85863421999477,23
10.508718729019165,0.8999999999999999,0.005,-81.10200302973685,24
10.851801633834839,0.95,0.005,-80.91153298232226,25
11.138037919998169,1.0,0.005,-80.86754387905914,26
11.424270868301392,0.95,0.005,-80.80203711902679,27
11.727493524551392,1.0,0.005,-80.70583518169126,28
12.015690803527832,0.95,0.005,-80.5953865371294,29
12.307907819747925,0.8999999999999999,0.005,-80.57242795856763,30
12.595138549804688,0.95,0.005,-80.43570351408074,31
12.898329734802246,1.0,0.005,-80.38182991121673,32
13.247431993484497,0.95,0.005,-80.35617611812688,33
13.541612386703491,0.8999999999999999,0.005,-80.23620630476806,34
13.86674189567566,0.95,0.005,-80.05493668282648,35
14.3255136013031,1.0,0.005,-80.1125251190561,36
14.680563688278198,0.95,0.005,-79.9825278518967,37
15.00968337059021,1.0,0.005,-79.9626235146834,38
15.320849895477295,0.95,0.005,-80.02740479400046,39
15.600104331970215,1.0,0.005,-80.06055660536553,40
15.897310972213745,1.0,0.005,-80.14867178515965,41
16.20847797393799,1.0,0.005,-79.99598799608006,42
16.51266312599182,0.95,0.005,-80.0934488687363,43
16.803885459899902,1.0,0.005,-80.18206107061765,44
17.111064195632935,1.0,0.005,-80.24149902748556,45
17.46058678627014,1.0,0.005,-80.29791313196895,46
17.815634965896606,0.95,0.005,-80.23677094934094,47
18.125805377960205,1.0,0.005,-80.23057463474343,48
18.395599603652954,1.0,0.005,-80.27958212429027,49
18.754638195037842,1.0,0.005,-80.38396882331895,50
19.131630182266235,0.95,0.005,-79.94629139340609,51
19.431828022003174,0.8999999999999999,0.005,-79.74219888915097,52
19.741998434066772,0.8499999999999999,0.005,-79.42244236417417,53
20.13793921470642,0.7999999999999998,0.005,-79.4180829684449,54
20.45010471343994,0.8499999999999999,0.005,-78.96342037010014,55
20.76027512550354,0.8999999999999999,0.005,-78.26609892987155,56
21.085404634475708,0.8499999999999999,0.005,-78.18443983527993,57
21.411532640457153,0.7999999999999998,0.005,-77.00801946903846,58
21.71675395965576,0.7499999999999998,0.005,-76.80853337864185,59
22.020904302597046,0.6999999999999997,0.005,-76.09545189283193,60
22.315117359161377,0.6499999999999997,0.005,-75.21621346966936,61
22.631272077560425,0.5999999999999996,0.005,-74.23111890266209,62
22.9264817237854,0.5499999999999996,0.005,-73.23951906114462,63
23.235655784606934,0.4999999999999996,0.005,-72.25062977917811,64
23.592701196670532,0.4499999999999996,0.005,-71.92655931268835,65
23.92581033706665,0.39999999999999963,0.005,-71.48339814280848,66
24.219027519226074,0.34999999999999964,0.005,-70.90724271671746,67
24.538172721862793,0.29999999999999966,0.005,-70.84854089770944,68
24.869666576385498,0.24999999999999967,0.005,-70.05873979796182,69
25.170861959457397,0.19999999999999968,0.005,-69.88978307492188,70
25.463080167770386,0.1499999999999997,0.005,-68.78069475027897,71
25.75230860710144,0.09999999999999969,0.005,-68.1734805094482,72
26.04552435874939,0.049999999999999684,0.005,-67.3589257445791,73
26.346718549728394,0.0,0.005,-66.77440296053183,74
26.632952451705933,0.05,0.005,-66.46577187501266,75
26.913201808929443,0.1,0.005,-65.51198901954334,76
27.21738839149475,0.05,0.005,-64.52344846146792,77
27.536535024642944,0.1,0.005,-63.776296491468536,78
27.963393449783325,0.05,0.005,-62.659541802993004,79
28.294509649276733,0.0,0.005,-61.669580476187676,80
28.58789610862732,0.0,0.005,-60.75317423631825,81
28.887094020843506,0.0,0.005,-59.632066446566256,82
29.24713397026062,0.0,0.005,-58.855142616548335,83
29.62512183189392,0.0,0.005,-57.731319506050774,84
29.980170726776123,0.0,0.005,-57.35774173736335,85
30.283361434936523,0.0,0.005,-56.06410856414427,86
30.578571796417236,0.0,0.005,-55.068280553812954,87
30.873782873153687,0.0,0.005,-53.98212768224499,88
31.16799545288086,0.0,0.005,-52.69254287418652,89
31.478166103363037,0.0,0.005,-51.62634239754253,90
31.78833818435669,0.0,0.005,-50.6951538197049,91
32.08953142166138,0.0,0.005,-49.6190474935481,92
32.38374447822571,0.05,0.005,-48.52981135948798,93
32.684972524642944,0.0,0.005,-47.30583789738103,94
