n_koeff,iteration,novelty,total_time,reward
0.95,1,nan,5.033052444458008,-98.50347145364982
1.0,2,0.005,5.355972051620483,-101.3633030067004
1.0,3,0.005,5.656766414642334,-102.22520972276999
1.0,4,0.005,5.973148584365845,-102.86975676863781
1.0,5,0.005,6.28955864906311,-102.61687599318752
1.0,6,0.005,6.621610879898071,-101.318354175931
0.95,7,0.005,6.922325611114502,-101.38792590274163
0.8999999999999999,8,0.005,7.254393815994263,-101.09750007546174
0.95,9,0.005,7.561673879623413,-99.43507332798443
0.8999999999999999,10,0.005,7.956158638000488,-97.83926036709583
0.95,11,0.005,8.256894826889038,-98.25912629053704
0.8999999999999999,12,0.005,8.542009592056274,-96.38129537196885
0.8499999999999999,13,0.005,8.842761278152466,-96.60671327146767
0.7999999999999998,14,0.005,9.12788200378418,-94.97857400387194
0.8499999999999999,15,0.005,9.466394901275635,-94.08025961622154
0.8999999999999999,16,0.005,9.782816648483276,-93.94351868060653
0.8499999999999999,17,0.005,10.114835262298584,-92.38648358148855
0.7999999999999998,18,0.005,10.399972200393677,-91.23320095274734
0.7499999999999998,19,0.005,10.685104370117188,-90.13459419117049
0.6999999999999997,20,0.005,10.970221519470215,-89.87610677309513
0.7499999999999998,21,0.005,11.27095913887024,-89.03754629581722
0.7999999999999998,22,0.005,11.587318658828735,-88.22836338370938
0.8499999999999999,23,0.005,11.888067722320557,-87.44162200845606
0.8999999999999999,24,0.005,12.20445442199707,-86.92701741059766
0.95,25,0.005,12.55209469795227,-86.34259894362914
1.0,26,0.005,12.874973058700562,-85.85763771655
1.0,27,0.005,13.191344499588013,-85.35608922887661
1.0,28,0.005,13.476521492004395,-84.90216870856321
0.95,29,0.005,13.75516676902771,-84.48101442498583
0.8999999999999999,30,0.005,14.02464509010315,-84.00837561139316
0.95,31,0.005,14.325486183166504,-84.0241218131996
1.0,32,0.005,14.610620498657227,-83.6714634426797
1.0,33,0.005,14.895721435546875,-83.29526480278393
1.0,34,0.005,15.196447610855103,-82.90208930752054
1.0,35,0.005,15.512818574905396,-82.57411080858
0.95,36,0.005,15.813594102859497,-82.17959453955763
0.8999999999999999,37,0.005,16.114346504211426,-81.98043088041267
0.8499999999999999,38,0.005,16.415077924728394,-82.07245394917565
0.7999999999999998,39,0.005,16.76269245147705,-81.73992386364883
0.7499999999999998,40,0.005,17.063435554504395,-81.45458380454406
0.6999999999999997,41,0.005,17.348581552505493,-81.41431299446192
0.7499999999999998,42,0.005,17.649359941482544,-81.245682248178
0.7999999999999998,43,0.005,18.019065618515015,-81.1886027325723
0.7499999999999998,44,0.005,18.35104465484619,-80.88588842300472
0.6999999999999997,45,0.005,18.667420625686646,-80.70779029712162
0.7499999999999998,46,0.005,19.021658658981323,-80.45229330589287
0.7999999999999998,47,0.005,19.3224139213562,-80.22465780899155
0.7499999999999998,48,0.005,19.670026063919067,-80.1975403771136
0.6999999999999997,49,0.005,20.02414846420288,-79.94812731796434
0.7499999999999998,50,0.005,20.393891096115112,-79.69890806949596
0.6999999999999997,51,0.005,20.710039138793945,-79.06828742711684
0.6499999999999997,52,0.005,21.017805814743042,-78.31102252250128
0.5999999999999996,53,0.005,21.40887761116028,-77.70051549304694
0.5499999999999996,54,0.005,21.73527216911316,-76.93217814088165
0.4999999999999996,55,0.005,22.08293390274048,-76.29630273013291
0.4499999999999996,56,0.005,22.368021965026855,-75.54578423073974
0.39999999999999963,57,0.005,22.684375762939453,-74.33105866610816
0.34999999999999964,58,0.005,22.969513416290283,-73.37296602275983
0.29999999999999966,59,0.005,23.254645109176636,-72.45740045100318
0.24999999999999967,60,0.005,23.57105302810669,-72.01686912730058
0.19999999999999968,61,0.005,23.887386083602905,-71.03260330747642
