total_time,n_koeff,novelty,iteration,reward
4.453498601913452,0.95,nan,1,-76.76866496869971
4.738508939743042,0.6,0.005,2,-75.79135718706647
5.070608615875244,0.6,0.005,3,-75.63880370392542
5.381635665893555,0.5499999999999999,0.005,4,-74.35387883084785
5.727710723876953,0.49999999999999994,0.005,5,-73.53148932494216
6.091739654541016,0.44999999999999996,0.005,6,-74.09165273637632
6.528244972229004,0.49999999999999994,0.005,7,-74.03346212149462
6.849385976791382,0.44999999999999996,0.005,8,-73.2839056435538
7.204120635986328,0.39999999999999997,0.005,9,-73.01104268490951
7.515403509140015,0.35,0.005,10,-72.63984386218274
7.7781760692596436,0.3,0.005,11,-72.77585859952511
8.047586917877197,0.25,0.005,12,-72.34535906120102
8.317139148712158,0.2,0.005,13,-72.17966022155453
8.611471891403198,0.25,0.005,14,-72.13136325134569
8.914543151855469,0.2,0.005,15,-71.66187977290731
9.182206153869629,0.15000000000000002,0.005,16,-71.44690882698156
9.507934808731079,0.10000000000000002,0.005,17,-71.71321585113871
9.805540561676025,0.05000000000000002,0.005,18,-70.98655490086881
10.084651231765747,1.3877787807814457e-17,0.005,19,-69.44946657980343
10.354926347732544,0.0,0.005,20,-68.12123104686043
10.655663251876831,0.0,0.005,21,-67.6218678246419
11.056700944900513,0.0,0.005,22,-65.97442810834424
11.395198106765747,0.0,0.005,23,-64.8523389055667
11.710848093032837,0.0,0.005,24,-63.729951443603134
12.044337034225464,0.0,0.005,25,-62.93702564054788
12.36070466041565,0.0,0.005,26,-62.72710946388317
12.690825462341309,0.0,0.005,27,-62.53123916678029
13.039886951446533,0.0,0.005,28,-61.869404212076404
13.363023042678833,0.05,0.005,29,-61.92670428315193
13.636187076568604,0.0,0.005,30,-61.11218927103003
13.899170875549316,0.0,0.005,31,-60.12358312518706
14.220696926116943,0.0,0.005,32,-59.945881939597996
14.538955211639404,0.0,0.005,33,-59.409280280499246
14.806190490722656,0.0,0.005,34,-59.560735620491634
15.10243272781372,0.0,0.005,35,-59.21344214235269
15.371832847595215,0.0,0.005,36,-58.5988063661251
15.641369342803955,0.05,0.005,37,-57.62909660388407
15.90419054031372,0.1,0.005,38,-57.44338767382246
16.197876691818237,0.05,0.005,39,-56.848908392154335
16.459160327911377,0.0,0.005,40,-56.67060931821616
16.72881507873535,0.0,0.005,41,-56.48825143348957
16.994194984436035,0.0,0.005,42,-55.93182774488088
17.245155334472656,0.05,0.005,43,-55.71699469211412
17.523775815963745,0.0,0.005,44,-55.67126310925023
17.808861255645752,0.0,0.005,45,-55.2011883404444
18.11710262298584,0.0,0.005,46,-55.02764361089537
18.363271713256836,0.0,0.005,47,-54.55001714034568
18.64186930656433,0.0,0.005,48,-54.0734944989033
18.949660539627075,0.0,0.005,49,-53.87028368337829
19.23888611793518,0.0,0.005,50,-53.506956040820214
19.537575244903564,0.0,0.005,51,-52.74254400253131
19.88351011276245,0.0,0.005,52,-52.01551125958625
