iteration,n_koeff,total_time,novelty,reward
1,0.95,4.685658931732178,nan,-81.07102966004852
2,0.3,5.079669237136841,0.005,-80.41562266009836
3,0.3,5.5108866691589355,0.005,-86.22611056329664
4,0.25,6.007370471954346,0.005,-85.42438667736099
5,0.2,6.483541965484619,0.005,-82.54000510836893
6,0.15000000000000002,7.178866624832153,0.005,-80.26387605437047
7,0.10000000000000002,7.674286603927612,0.005,-78.60076363420667
8,0.05000000000000002,8.05538558959961,0.005,-77.91866671926753
9,1.3877787807814457e-17,8.381762742996216,0.005,-78.29089490815466
10,0.0,8.798374891281128,0.005,-77.57841760617227
11,0.0,9.130350828170776,0.005,-78.45604839063832
12,0.05,9.5000901222229,0.005,-78.06059909675068
13,0.0,9.916696548461914,0.005,-77.64175816784353
14,0.0,10.201768636703491,0.005,-77.0203466243191
15,0.0,10.50346064567566,0.005,-76.7316252812648
16,0.0,10.916556596755981,0.005,-77.13472823059357
17,0.0,11.450642347335815,0.005,-77.46633527865869
18,0.05,11.97142481803894,0.005,-77.09071427492104
19,0.0,12.403647184371948,0.005,-76.54779328470025
20,0.0,13.100170135498047,0.005,-75.93055478355384
21,0.0,13.601595401763916,0.005,-75.60450571481681
22,0.0,13.955757856369019,0.005,-75.20403688946072
23,0.05,14.28773808479309,0.005,-75.14053596995522
24,0.1,14.58850908279419,0.005,-75.04648959755026
25,0.15000000000000002,14.927138090133667,0.005,-74.82207450814289
26,0.10000000000000002,15.227849245071411,0.005,-74.7358278637024
27,0.05000000000000002,15.512958526611328,0.005,-74.05139037828712
28,1.3877787807814457e-17,15.829323053359985,0.005,-72.95148522297046
29,0.0,16.230289697647095,0.005,-72.2533023344576
30,0.0,16.64689350128174,0.005,-71.2652056917779
31,0.0,17.079105138778687,0.005,-70.31095881495413
32,0.05,17.511334896087646,0.005,-69.77908460602023
33,0.0,17.965688467025757,0.005,-68.76235877485692
34,0.0,18.335434436798096,0.005,-67.88790429263429
35,0.0,18.68303871154785,0.005,-67.1062654613603
36,0.0,18.968182802200317,0.005,-66.42578377027905
37,0.0,19.253348112106323,0.005,-66.29565351348052
38,0.05,19.554057359695435,0.005,-65.50008413115175
39,0.0,19.854800939559937,0.005,-64.36942686815563
40,0.0,20.155638456344604,0.005,-63.76627245807147
41,0.05,20.5032000541687,0.005,-62.82202419762685
42,0.0,20.872947216033936,0.005,-62.062568243446755
43,0.0,21.389791011810303,0.005,-61.27878832063185
44,0.0,21.875400066375732,0.005,-60.36736669449615
45,0.0,22.207374334335327,0.005,-59.50356416700726
46,0.0,22.5081148147583,0.005,-58.836676895127084
47,0.05,22.909092903137207,0.005,-58.45188681668979
48,0.1,23.294452667236328,0.005,-58.23084823712301
49,0.05,23.67982029914856,0.005,-58.05731707564756
50,0.1,24.197141885757446,0.005,-57.577944884199006
51,0.15000000000000002,24.620683908462524,0.005,-56.65524469146735
52,0.10000000000000002,25.112546682357788,0.005,-55.79533168512034
53,0.15000000000000002,25.971186637878418,0.005,-54.535036960059216
54,0.10000000000000002,26.47821283340454,0.005,-53.42407769990865
55,0.05000000000000002,26.843891620635986,0.005,-52.44662819631725
56,0.10000000000000002,27.0976345539093,0.005,-51.79897606203001
57,0.05000000000000002,27.43120312690735,0.005,-50.88551434392628
58,1.3877787807814457e-17,27.7616548538208,0.005,-50.07695846089919
59,0.05000000000000002,28.07239055633545,0.005,-49.49047072414107
60,1.3877787807814457e-17,28.373129844665527,0.005,-48.48068862459834
61,0.05000000000000002,28.651741981506348,0.005,-47.712137330609956
62,0.10000000000000002,28.968093633651733,0.005,-46.6303340129469
63,0.05000000000000002,29.268874168395996,0.005,-46.172144008462865
64,0.10000000000000002,29.554024696350098,0.005,-45.164235615571016
65,0.05000000000000002,29.839177131652832,0.005,-44.23166381782844
66,1.3877787807814457e-17,30.124255895614624,0.005,-43.24651762139152
67,0.05000000000000002,30.425053119659424,0.005,-42.0972274210334
68,0.10000000000000002,30.71016263961792,0.005,-41.32684792904309
69,0.05000000000000002,30.99528193473816,0.005,-40.605778018112815
70,0.10000000000000002,31.280394554138184,0.005,-40.11574121776085
71,0.05000000000000002,31.58111882209778,0.005,-39.11380408886625
72,0.10000000000000002,31.944348573684692,0.005,-38.50320523305471
73,0.15000000000000002,32.34532284736633,0.005,-37.756805440758
74,0.2,32.66167712211609,0.005,-37.02228644235055
75,0.15000000000000002,33.062689781188965,0.005,-36.37602594035714
76,0.2,33.41683888435364,0.005,-35.55660276954248
77,0.25,33.74881386756897,0.005,-34.97941632522364
78,0.2,34.06521391868591,0.005,-34.50982332467323
79,0.25,34.365957498550415,0.005,-34.07657181308721
80,0.2,34.70446467399597,0.005,-33.861181628573455
81,0.25,35.083308935165405,0.005,-33.482651865964876
82,0.2,35.4374577999115,0.005,-32.8657873310993
83,0.15000000000000002,35.753820180892944,0.005,-32.73911380956329
84,0.2,36.05463624000549,0.005,-32.33858712556481
85,0.25,36.40878200531006,0.005,-31.956042620908423
86,0.2,36.740787506103516,0.005,-31.594111437711945
87,0.15000000000000002,37.11052393913269,0.005,-31.022032499665652
88,0.2,37.51150941848755,0.005,-30.7272350618414
89,0.15000000000000002,37.97840595245361,0.005,-30.73597214306001
90,0.2,38.50665831565857,0.005,-30.37409892008494
91,0.25,38.96836543083191,0.005,-30.288532319812145
92,0.3,39.657334327697754,0.005,-30.072824629058545
93,0.3,40.18147277832031,0.005,-29.89953642077644
94,0.25,40.57835602760315,0.005,-29.940681874387014
95,0.3,40.948158264160156,0.005,-29.886375260319372
96,0.3,41.333492040634155,0.005,-29.692991973254266
97,0.3,41.78133988380432,0.005,-29.22354791369116
98,0.25,42.30677366256714,0.005,-28.68591155647464
99,0.2,42.85244178771973,0.005,-28.14093199250344
100,0.15000000000000002,43.31487584114075,0.005,-28.041073200401794
101,0.10000000000000002,43.71096086502075,0.005,-27.70511717164025
102,0.15000000000000002,44.134182929992676,0.005,-27.407137916566555
103,0.10000000000000002,44.466129541397095,0.005,-27.16113576486175
104,0.05000000000000002,44.78252053260803,0.005,-26.938813586652337
105,1.3877787807814457e-17,45.1210503578186,0.005,-26.90149975581955
106,0.05000000000000002,45.46866750717163,0.005,-26.539978276468272
107,0.10000000000000002,45.85406994819641,0.005,-26.53516942157482
108,0.15000000000000002,46.17038559913635,0.005,-26.208975714280985
109,0.2,46.486772537231445,0.005,-25.57682715702749
110,0.25,46.80314755439758,0.005,-25.689486159443728
111,0.2,47.1417133808136,0.005,-25.02507517054228
112,0.15000000000000002,47.45806550979614,0.005,-25.153459060004355
113,0.2,47.758848905563354,0.005,-24.49796473145684
114,0.15000000000000002,48.02839946746826,0.005,-24.48458589232905
115,0.2,48.32262301445007,0.005,-24.345211538432945
116,0.25,48.60774207115173,0.005,-24.073929917898045
117,0.3,48.930652141571045,0.005,-23.94459509252652
118,0.25,49.23137927055359,0.005,-23.667289851052427
119,0.3,49.563401222229004,0.005,-23.420142885442523
120,0.3,49.8484902381897,0.005,-23.014876401000617
121,0.25,50.14922738075256,0.005,-22.98705738795838
122,0.3,50.43434166908264,0.005,-22.62193015001289
123,0.25,50.72856092453003,0.005,-22.30227460377258
124,0.3,51.051432609558105,0.005,-21.959181564746647
125,0.25,51.35216689109802,0.005,-21.683874547982324
126,0.3,51.63076210021973,0.005,-21.508052146515535
