total_time,n_koeff,reward,novelty,iteration
3.570256471633911,0.95,5.468435109681511,nan,1
3.73950457572937,1.0,5.1156543708128135,2.1816,2
3.9556100368499756,1.05,6.436749989817076,2.82,3
4.156094551086426,1.1,7.146242867805729,3.493333333333333,4
4.3409583568573,1.1500000000000001,6.552981886853702,3.95,5
4.525806427001953,1.1,8.318097364855573,4.956,6
4.741990566253662,1.05,18.80638362161924,10.659999999999998,7
5.073934316635132,1.0,26.74136168508749,22.076,8
5.506216287612915,0.95,38.75104017164608,26.404,9
5.9917991161346436,0.8999999999999999,49.4767869254767,30.824,10
6.477547645568848,0.8499999999999999,57.51891590901758,26.827999999999996,11
6.963163137435913,0.7999999999999998,66.25732191379204,21.136,12
7.495657205581665,0.7499999999999998,75.48508294167374,17.132,13
8.112854719161987,0.6999999999999997,84.20718667323199,22.328000000000003,14
8.683104515075684,0.6499999999999997,92.4704683298955,22.976000000000003,15
9.215535640716553,0.5999999999999996,87.73802382099265,15.796000000000001,16
9.839159488677979,0.5499999999999996,96.22458302322416,14.62,17
10.40290641784668,0.4999999999999996,103.24197807672562,12.204,18
11.02754259109497,0.4499999999999996,109.39761028629039,13.196,19
11.693227529525757,0.39999999999999963,115.44409640286617,11.928000000000003,20
12.35686993598938,0.34999999999999964,119.49240741510812,13.303999999999998,21
13.024933815002441,0.29999999999999966,123.06133658071667,12.46,22
13.781975269317627,0.24999999999999967,126.62700482014966,9.740000000000002,23
14.584542751312256,0.19999999999999968,130.91555207963992,8.372,24
15.421782970428467,0.1499999999999997,135.8344631436012,10.860000000000003,25
16.289334774017334,0.09999999999999969,138.79030392539337,12.848000000000003,26
17.04416036605835,0.049999999999999684,141.19446895188798,13.612,27
17.858428955078125,0.0,145.62061567686473,11.347999999999999,28
18.80524492263794,0.0,149.2730457969717,10.74,29
19.848774194717407,0.0,152.48632956878575,9.648,30
20.76660442352295,0.0,155.2434049369106,7.803999999999999,31
21.704471111297607,0.0,157.74979054594712,8.024,32
22.650262594223022,0.0,160.33351088776624,7.507999999999999,33
23.549896240234375,0.0,163.39895709472125,6.436,34
24.48676347732544,0.0,165.6876715895109,5.660000000000001,35
25.42534375190735,0.0,167.00376445208525,4.919999999999999,36
26.352572441101074,0.0,169.49587507067838,4.58,37
27.267131328582764,0.0,171.73455795488846,7.144000000000001,38
28.206997394561768,0.0,174.29145454908564,5.411999999999999,39
29.195454359054565,0.0,176.4397853886773,6.147999999999999,40
30.231698274612427,0.0,178.76134541889078,5.1080000000000005,41
31.250971794128418,0.0,180.69229529376173,5.776,42
32.20958065986633,0.0,181.55381572285359,6.448,43
33.075379848480225,0.0,182.79928023375658,5.036,44
34.042338848114014,0.0,184.81447089270785,3.392,45
34.97909998893738,0.0,185.41152642487253,6.592,46
35.81509828567505,0.0,186.2656830298976,4.76,47
36.801820516586304,0.0,188.38032975364703,5.088,48
37.81770467758179,0.0,189.67448092958037,10.808,49
38.817890644073486,0.0,191.53151334462748,6.476,50
39.8460476398468,0.0,196.9134344554276,10.755999999999998,51
40.84364175796509,0.0,201.8478971979694,8.068,52
41.83990478515625,0.0,207.2384721449697,5.744,53
42.890132904052734,0.0,212.51960511628837,9.12,54
43.848148822784424,0.0,217.99217784493257,4.547999999999999,55
44.9161262512207,0.0,223.20909825996728,7.095999999999999,56
46.05531978607178,0.0,227.26761440857544,5.908,57
47.1852765083313,0.0,231.50032607114815,7.424000000000001,58
48.31446361541748,0.0,234.4693307367435,8.784,59
49.46064019203186,0.0,237.3722646885525,25.487999999999996,60
50.71362280845642,0.0,240.29350908822735,8.091999999999999,61
51.98635411262512,0.0,243.15215047117957,30.8,62
53.287166118621826,0.0,246.041130742544,24.092000000000002,63
54.57008242607117,0.0,248.14114368251248,21.684,64
55.79997754096985,0.0,251.58934525745113,9.504,65
57.10832452774048,0.0,257.6330456943397,25.411999999999992,66
58.39020133018494,0.0,259.4667932212692,9.404000000000002,67
59.91634392738342,0.0,266.3266706418615,16.804,68
61.57037329673767,0.0,269.7784492061843,22.320000000000004,69
63.137725591659546,0.0,271.800194548186,48.576,70
64.86193037033081,0.0,275.2817552111691,92.972,71
66.79401230812073,0.0,286.290045093855,69.616,72
68.58017945289612,0.0,288.0792675589169,73.02,73
70.4355833530426,0.0,293.313894583587,88.94,74
72.60639357566833,0.0,301.86757821286363,64.32,75
75.10186529159546,0.0,318.3046219405075,63.483999999999995,76
77.54756307601929,0.0,334.9538028910405,88.30799999999999,77
80.63703942298889,0.0,350.3670771323775,97.83599999999998,78
83.01879787445068,0.0,352.7763087498658,54.184000000000005,79
86.16122913360596,0.0,368.61026463108595,31.560000000000006,80
88.9982442855835,0.0,384.7013173660559,20.165,81
92.08351016044617,0.0,400.76005248543015,22.921,82
95.34202122688293,0.0,416.639126212779,39.5174,83
98.42584705352783,0.0,420.40204725087114,23.097600000000003,84
101.36321806907654,0.0,423.47089186345715,31.377300000000005,85
104.38591766357422,0.0,426.29722298531306,16.2169,86
107.74303984642029,0.0,441.86341356181345,17.361800000000002,87
110.80197763442993,0.0,457.57931465297503,22.085,88
113.79902768135071,0.0,462.86188041839506,14.525599999999999,89
116.70467734336853,0.0,468.3823363247447,13.4575,90
119.95422697067261,0.0,483.6894016516364,23.377099999999995,91
122.74910140037537,0.0,499.267326605038,16.608999999999998,92
125.98523283004761,0.0,495.8986045087983,16.1414,93
129.05374813079834,0.0,511.9043927895863,20.345,94
132.15271139144897,0.0,514.6968473126819,18.129399999999997,95
135.31451535224915,0.0,518.8455187988668,12.037599999999998,96
