reward,total_time,n_koeff,iteration,novelty
3.8355507320630156,3.9123222827911377,0.95,1,nan
3.7498959176622693,4.128437280654907,0.5,2,0.04879828893349994
3.9078330151322263,4.3666768074035645,0.5,3,0.06683618736814492
3.905146125775458,4.567169427871704,0.5,4,0.08659966565666015
4.01500123942827,4.767660856246948,0.5,5,0.08902232821968586
4.008869388999645,4.9525306224823,0.5,6,0.08488986210761647
3.9975255734060196,5.137388706207275,0.5,7,0.10559187279819353
4.127723591314379,5.337878227233887,0.5,8,0.10397256804055627
4.377955217227554,5.569620370864868,0.5,9,0.15793810163799185
4.631299205138349,5.7544989585876465,0.5,10,0.21599397852529545
4.552533527372067,5.939360857009888,0.5,11,0.16761351332318405
4.821947679567799,6.133338928222656,0.5,12,0.20014856416286622
4.777485474892957,6.318204641342163,0.5,13,0.17815297196180743
4.711257068679941,6.534308433532715,0.5,14,0.16425315219461065
4.650121389655202,6.719174146652222,0.5,15,0.11109793443429558
4.5874447499829785,6.957427978515625,0.5,16,0.11955147669164815
4.5611755092141815,7.157931327819824,0.5,17,0.11857062315739002
4.714288812868662,7.358425855636597,0.5,18,0.13564951649076412
4.702155345947142,7.590158462524414,0.5,19,0.14582686864784253
4.791246031430196,7.775030612945557,0.5,20,0.13090754495730647
4.9592049133509475,7.975519418716431,0.5,21,0.16501554761191561
5.088231960574219,8.176020860671997,0.5,22,0.1620951427105405
5.022837548667542,8.392129182815552,0.5,23,0.18075041830661942
5.159866646971821,8.645998477935791,0.5,24,0.14981407917483425
5.180082866757463,8.846479415893555,0.5,25,0.16208237470892362
5.211942084841355,9.078221797943115,0.5,26,0.15586723087891804
5.35411857648216,9.294333219528198,0.5,27,0.16024421665624536
5.802360308518581,9.510449171066284,0.5,28,0.17559904284389852
5.900470819591717,9.742187976837158,0.5,29,0.15381773368621138
5.926910053028419,9.949177026748657,0.5,30,0.1579737297971876
5.975760511412178,10.180918216705322,0.5,31,0.16374378436808584
5.961495838441916,10.412657260894775,0.5,32,0.1625850022450265
5.93175157491816,10.613149881362915,0.5,33,0.18038138309281138
6.034097348819022,10.86702823638916,0.5,34,0.18939587675597372
5.985738553168985,11.06751298904419,0.5,35,0.183841572441638
5.95031718861372,11.283624172210693,0.5,36,0.16424363320826849
6.266293410800837,11.484111070632935,0.5,37,0.16435784420154906
6.3929302286911165,11.700225353240967,0.5,38,0.14706588341292945
6.480877721883797,11.900724172592163,0.5,39,0.16251966390926328
6.77865529992724,12.154585838317871,0.5,40,0.15831522444209084
7.1042542708159635,12.401947975158691,0.5,41,0.15322496950616774
7.385572825267603,12.655846357345581,0.5,42,0.13363697783387787
