reward,iteration,total_time,novelty,n_koeff
7.422887726099619,1,3.431603193283081,nan,0.95
6.208570281721304,2,3.6008572578430176,0.011550690698818507,0.8999999999999999
5.764791358079375,3,3.7545175552368164,0.015620296267577976,0.8499999999999999
5.545031505874076,4,3.917205572128296,0.014959487163021059,0.7999999999999998
5.395454013369838,5,4.0708701610565186,0.012648183344668393,0.7499999999999998
5.306267040227698,6,4.217951536178589,0.010430061612027617,0.6999999999999997
5.245363427846682,7,4.387234449386597,0.0055055800805145876,0.6499999999999997
5.199131902750374,8,4.572059869766235,0.0022158839540008957,0.5999999999999996
5.161484283983353,9,4.772561311721802,0.004526247991639998,0.5499999999999996
5.473296819270163,10,4.941799640655518,0.005016428908281011,0.4999999999999996
5.856020227643087,11,5.104539155960083,0.007616789862615444,0.4499999999999996
6.334364511954559,12,5.305063486099243,0.008804164286294743,0.39999999999999963
8.46542392519075,13,5.543341636657715,0.01541689787684029,0.34999999999999964
10.89514468692558,14,5.790692567825317,0.038534319300084864,0.29999999999999966
15.794830421907992,15,6.107075452804565,0.13723749497607063,0.24999999999999967
24.478043691181885,16,6.461151838302612,0.14545096057634926,0.19999999999999968
32.36969552374955,17,6.893367528915405,0.22996589606111928,0.1499999999999997
40.69123136513732,18,7.38033127784729,0.23717279369383937,0.09999999999999969
47.73178705634251,19,7.9239044189453125,0.23201103222460773,0.049999999999999684
54.120276824411974,20,8.455729007720947,0.13355121270813,0.0
60.56515330743516,21,9.042729139328003,0.0841644020784596,0.0
66.88930919027551,22,9.645674228668213,0.07477277829413496,0.0
73.32017038729536,23,10.291098594665527,0.05865950635939182,0.0
79.16354893269131,24,10.996342420578003,0.07169561289369226,0.0
84.04513272313389,25,11.713111162185669,0.054187978552938165,0.0
89.25602172262863,26,12.29682993888855,0.04129657114262757,0.0
93.40970715162062,27,12.913296222686768,0.04323907097409187,0.0
97.34146973335422,28,13.520873546600342,0.052970361745072914,0.0
101.31575152440212,29,14.165563106536865,0.03251390653058847,0.0
105.15174064373035,30,14.842624425888062,0.027955209571277746,0.0
108.4159620222256,31,15.43653678894043,0.02735230068620457,0.0
111.75953290851153,32,16.139363288879395,0.02546237044682453,0.0
114.49412923344971,33,16.794917345046997,0.02155844820656598,0.0
117.56752199371208,34,17.493430614471436,0.024116899010938223,0.0
120.16695239300373,35,18.113002061843872,0.017691380456047883,0.0
122.77999875904317,36,18.792574167251587,0.023416861120130437,0.0
125.25367602864274,37,19.431800603866577,0.016644435803573488,0.0
127.36014132943582,38,20.0646014213562,0.02287024620720245,0.0
129.72077479791722,39,20.681682348251343,0.017001989175165162,0.0
131.83459504418093,40,21.3521671295166,0.010912855070449616,0.0
133.75917198223237,41,22.038240432739258,0.0176438143981768,0.0
135.55180471370264,42,22.740088939666748,0.010083795806945626,0.0
137.3021791263807,43,23.372844457626343,0.015211585498360573,0.0
138.92519113274423,44,24.027702569961548,0.01044242278358224,0.0
140.367321442431,45,24.74485993385315,0.00812163196543576,0.0
141.80510576451346,46,25.421846866607666,0.013686112780564247,0.0
143.305658704429,47,26.08648681640625,0.015444324668259004,0.0
144.96492714711417,48,26.80636763572693,0.009409102463737695,0.0
146.62886690460155,49,27.554988145828247,0.010580395392300965,0.0
148.04978904142206,50,28.28609848022461,0.016038501344598614,0.0
152.34028081484786,51,29.03208827972412,0.011822725265227494,0.0
156.59002619137974,52,29.706567764282227,0.010843005179904181,0.0
160.95393424737068,53,30.442236185073853,0.007911902124657677,0.0
165.2264874279608,54,31.166367769241333,0.016094043502278513,0.0
169.58905427319388,55,31.9252028465271,0.007673727586224093,0.0
173.86222916938067,56,32.66878318786621,0.028798304114793862,0.0
178.1788415028874,57,33.4468469619751,0.009322233771658148,0.0
182.67207585403278,58,34.243996381759644,0.02579005524999527,0.0
186.97104564978096,59,35.021127462387085,0.01866859961575742,0.0
191.29421543244592,60,35.77577567100525,0.009463148378291077,0.0
195.75233304062468,61,36.49176335334778,0.011289805826695715,0.0
200.102837704401,62,37.247175216674805,0.01826459786115173,0.0
204.02568120525748,63,38.02140474319458,0.008778508872079637,0.0
207.48356589310524,64,38.88144278526306,0.017300859236714268,0.0
210.36667512680842,65,39.66742968559265,0.0075575641742740085,0.0
211.5174745281016,66,40.44410037994385,0.011581774302633336,0.0
212.79444046380573,67,41.1587700843811,0.010531959164217215,0.0
213.8937177011998,68,41.97554159164429,0.007211878871671506,0.0
214.92207034564228,69,42.871782302856445,0.02104882844423975,0.0
216.49765930211404,70,43.72869873046875,0.011794618941270549,0.0
217.99041353304244,71,44.564619302749634,0.013995905377643897,0.0
219.09962000752535,72,45.422152042388916,0.01151632258967161,0.0
220.2251796061451,73,46.31003952026367,0.025190015771730852,0.0
220.7161492933235,74,47.144710540771484,0.010937984889598382,0.0
221.84197328500758,75,48.0832633972168,0.010913550562583928,0.0
222.44724880724362,76,48.95045518875122,0.006960697588400761,0.0
223.40501356436442,77,49.81882572174072,0.016227270746875494,0.0
223.16914379884875,78,50.67512083053589,0.02058493718978299,0.0
224.16064937703,79,51.493067026138306,0.010825552902589089,0.0
224.68354444328932,80,52.31016731262207,0.019653524661586708,0.0
225.57255412118045,81,53.1955931186676,0.008704557336611095,0.0
226.61285418575946,82,54.08175587654114,0.040645270640370816,0.0
227.74250654942773,83,55.09678101539612,0.026020507865602865,0.0
228.6655295990366,84,56.01561975479126,0.016694607147967545,0.0
229.29734646668607,85,56.86136817932129,0.014468122373643874,0.0
228.54083181458228,86,57.65967893600464,0.007730244717160392,0.0
