ep_rew_mean,num_episodes,total_time,total timesteps,total_loss,entropy_loss,value_loss,policy_gradient_loss
18.81140652,435,3.2677133083343506,8192,,,,
41.095031,741,14.586638927459717,16384,1.5136145463008008,-1.4189623739570378,1.5178917651996016,-0.004277218898800975
48.62535566,983,25.946848154067993,24576,0.8112056128261556,-1.4039775277487934,0.8180454420158639,-0.0068398291897085114
55.02646902000001,1194,37.09393382072449,32768,0.5053636868916569,-1.3878201069310308,0.5104779231827706,-0.005114236291113717
67.9078684,1375,48.1052680015564,40960,0.44776076760515104,-1.3761174759827555,0.45280274557881056,-0.005041977973659563
82.29461392000002,1515,59.169939041137695,49152,0.45516707240981696,-1.3627743016928435,0.46128718480467795,-0.006120112394861005
118.559875,1628,70.0461642742157,57344,0.7530430601320995,-1.3526315309107304,0.7577120673609897,-0.004669007228890149
159.11181322000002,1721,81.10784697532654,65536,0.7006374996923406,-1.3450406039133669,0.7057126186089591,-0.00507511891661854
188.16267014000002,1799,91.97735786437988,73728,0.5800479240784022,-1.3310196141712367,0.5835904798703269,-0.0035425557919245843
191.14762392,1876,102.80005741119385,81920,0.4082557685493624,-1.3141160189174115,0.41057258740765973,-0.002316818858297261
221.37724280000003,1942,113.78169059753418,90112,0.3868173549368858,-1.2994862022809683,0.389774386677891,-0.0029570317410052152
244.4626082,2004,125.0051941871643,98304,0.33107020096386297,-1.2917582272551953,0.33438678858801724,-0.0033165876241542437
277.93007556,2057,136.02720475196838,106496,0.27595726687238764,-1.2834613903425633,0.2786709600128233,-0.0027136931404357105
297.91559709999996,2105,146.8612768650055,114688,0.2498033095913678,-1.2673223095014692,0.25315926240582487,-0.003355952814457078
318.35321342000003,2148,158.67958068847656,122880,0.20269070204300443,-1.2524395629763603,0.20574631732597481,-0.00305561528297038
353.46741177999996,2186,170.12953233718872,131072,0.16543071245547766,-1.2361458177678286,0.1680558557563927,-0.0026251433009150454
395.79299382,2217,181.7236795425415,139264,0.12744084398915337,-1.2181709609925746,0.13007649831997697,-0.0026356543308235997
404.12601638000007,2249,193.32646012306213,147456,0.10285011710855481,-1.1960370369255542,0.1053291240154067,-0.0024790069068518863
443.7059806199999,2273,204.9306938648224,155648,0.16694979206636412,-1.18211126960814,0.16993997540193959,-0.0029901833355754767
499.3544949200001,2298,216.5622980594635,163840,0.06594296150553884,-1.180976401362568,0.06828790088402456,-0.0023449393784857196
521.6432593,2323,228.34644627571106,172032,0.09303995684789362,-1.1828172110952437,0.09587621567770839,-0.002836258829814771
541.4322349,2343,240.00006198883057,180224,0.06596612322120893,-1.1726067699491978,0.06942895044994657,-0.0034628272287376438
590.1407759999998,2365,251.56818556785583,188416,0.06735847285749853,-1.1587491570040584,0.07051638951306813,-0.0031579166555695966
607.46011888,2390,263.0410294532776,196608,0.08262320052418168,-1.1466144499368967,0.08530419977614656,-0.0026809992519648733
596.2877670800001,2420,274.2955138683319,204800,0.11897871649770324,-1.1460477913729847,0.12111899205629015,-0.002140275558586935
575.21804984,2446,285.48710083961487,212992,0.14409627248146983,-1.1321812868118286,0.1461382961482741,-0.0020420236668042655
670.16644688,2470,297.2980070114136,221184,0.15122802566380916,-1.1101818630471825,0.15370296850887827,-0.0024749428450690962
721.72249234,2495,309.0276174545288,229376,0.11535742516165563,-1.0850362277589738,0.11739786613034084,-0.002040440968685219
731.18509198,2518,320.2889006137848,237568,0.08682131539218763,-1.069483940117061,0.08854245615366381,-0.0017211407614761824
781.4505457600001,2541,331.4093494415283,245760,0.16040160864258576,-1.0588366843760013,0.16202243215520867,-0.0016208235126229046
874.9889277000001,2560,342.4781849384308,253952,0.22243955043851468,-1.0432632432319224,0.22406684179441072,-0.0016272913558960575
931.5339798199999,2578,353.34251952171326,262144,0.0923589718476705,-1.0252304425463081,0.09348316627074382,-0.0011241944230733212
1014.0230974999998,2594,364.39810943603516,270336,0.08033443067653023,-1.013038088940084,0.08111666293261806,-0.0007822322560878201
1021.2738723199999,2612,375.41896891593933,278528,0.12101782911122175,-1.0083563935011626,0.1223450515703007,-0.0013272224590789637
1033.4966001,2629,386.3966438770294,286720,0.0814283313579188,-0.9946838397998363,0.08267373545459122,-0.001245404096672423
1073.9851223399999,2644,397.845379114151,294912,0.07617235841839913,-0.9852218139450997,0.07764538947521941,-0.0014730310568202855
1156.8170207399999,2657,409.30933690071106,303104,0.0479299950652905,-0.9665894623380155,0.04880582183468505,-0.0008758267693945519
1276.00357476,2668,420.5377004146576,311296,0.12829315841132552,-0.9564719724934548,0.12944900468501147,-0.0011558462736859583
1389.94815076,2680,431.9522976875305,319488,0.06253894247705896,-0.949978757975623,0.06354321689723293,-0.0010042744201739762
1462.3534284200002,2694,442.9496228694916,327680,0.03855098195446509,-0.9277153529692441,0.04033440312559833,-0.0017834211711332353
1516.5138021,2707,453.7429909706116,335872,0.12168543187892156,-0.9227543041110039,0.12280905504667317,-0.0011236231677516223
1495.9377932,2721,464.8405659198761,344064,0.06614109449084762,-0.9159839344676584,0.06738275064453773,-0.0012416561536901104
1557.87284872,2731,475.85758566856384,352256,0.05298157155973267,-0.904765910282731,0.053216537098342086,-0.00023496553860941966
1599.5272484000002,2745,486.7850127220154,360448,0.08480680409855725,-0.8990734884981066,0.08546333835947735,-0.0006565342609201046
1646.36470958,2755,497.8582065105438,368640,0.029919312106413805,-0.9006931226700544,0.03057403594029893,-0.0006547238338851242
1696.1282730199998,2766,508.98656845092773,376832,0.1224057216245327,-0.8998816098552197,0.1243292802486394,-0.0019235586241067297
