num_episodes,ep_rew_mean,total timesteps,total_time,total_loss,value_loss,entropy_loss,policy_gradient_loss
533,12.3770957,8192,3.3660049438476562,,,,
955,21.829590200000002,16384,14.656005620956421,1.8485196923362035,1.8542553642764688,-1.4152106907218696,-0.005735671940265004
1236,34.46298224,24576,25.81943964958191,1.409900297174156,1.4160049092490226,-1.4113565363921226,-0.006104612074866511
1434,63.757293960000005,32768,37.19413471221924,1.1991630238493216,1.2081412957049906,-1.393978191073984,-0.008978271855668973
1603,76.43394701999999,40960,48.86418318748474,0.8910403087833092,0.8968362777493895,-1.3742580154910684,-0.0057959689660801025
1756,93.07383180000001,49152,60.17079496383667,0.5704050193846038,0.5756732841022313,-1.3561806137673558,-0.00526826471762749
1904,95.42514188,57344,71.67817258834839,0.46399271771675166,0.4673788717132993,-1.342825841717422,-0.0033861539965477456
2044,100.02597966000002,65536,83.02306842803955,0.4061579350161912,0.409730815095827,-1.330283120740205,-0.0035728800796358305
2171,111.99805024000001,73728,94.42035937309265,0.36680167649477613,0.3699644032632932,-1.3241427504457532,-0.003162726768517074
2288,125.26437584,81920,105.72706580162048,0.33683664590399004,0.33976435867371035,-1.3103179045952857,-0.002927712769720336
2398,142.84863758,90112,117.25014686584473,0.27538075849645416,0.2787183151056524,-1.294079376384616,-0.0033375566091983096
2492,159.01222085999999,98304,128.58030128479004,0.28996244378454444,0.29229939905926583,-1.2791802644729615,-0.0023369552747213814
2577,177.71136884,106496,139.89179182052612,0.22962137232952567,0.23223202442750335,-1.2514166351407767,-0.0026106520979776496
2658,190.4856216,114688,151.60361218452454,0.2058058409990844,0.2081681535608368,-1.2411505352705716,-0.002362312561752409
2735,203.56759319999998,122880,163.0091369152069,0.17849282973399974,0.18046320467401528,-1.2338608042337,-0.0019703749400155593
2810,203.52638779999998,131072,174.1012580394745,0.14228245478251828,0.14308507368186837,-1.2255872417241336,-0.0008026188993501094
2886,203.03915912,139264,185.20531392097473,0.14286670358838643,0.14449249660538044,-1.219926411472261,-0.0016257930169940146
2969,195.17436939999996,147456,196.23674416542053,0.14714724781102262,0.1481590612733271,-1.216059038694948,-0.0010118134623044908
3048,207.39608180000002,155648,207.83117055892944,0.19864708217175248,0.20027900953646166,-1.219195321109146,-0.0016319273647091986
3126,202.15733552000006,163840,218.90956234931946,0.13434986778026264,0.13575370046237367,-1.225594781152904,-0.0014038326821110296
3205,204.37898758,172032,229.56853938102722,0.13202131917118612,0.13365795960671675,-1.2237231696024538,-0.0016366404355306363
3285,205.24401062,180224,240.75361132621765,0.11175793633875061,0.11260327467498428,-1.2166075421497227,-0.0008453383362336537
3366,200.53077402000002,188416,252.58272051811218,0.10611147729663432,0.10780227936083975,-1.2095752506516875,-0.00169080206420544
3452,189.27061054,196608,264.39530205726624,0.10253595909522831,0.10353623260816676,-1.1995677404105662,-0.001000273512938448
3535,192.8177636,204800,275.9194622039795,0.1591641783412489,0.1613682968672947,-1.190051876567304,-0.00220411852604578
3617,201.19699092,212992,287.3607563972473,0.1117638183540294,0.11351216390612535,-1.1911130169406534,-0.0017483455520959645
3698,197.71398858,221184,298.62538719177246,0.1013808650375186,0.10274450130455079,-1.1838612128049135,-0.0013636362670321994
3778,203.54230622,229376,309.70498538017273,0.11904535785229801,0.11994346249266527,-1.1803739103488624,-0.0008981046403672714
3862,196.76973685999997,237568,320.3751926422119,0.10070976010398083,0.10196886653720867,-1.1798052383586763,-0.0012591064332278402
3946,195.07243014,245760,331.6061153411865,0.11373657712813248,0.11452292305111769,-1.1856393516995012,-0.0007863459229852229
4029,199.32035554,253952,342.63690185546875,0.12864609994051102,0.13049666816950775,-1.1898484270088374,-0.0018505682289967306
4111,199.67803496,262144,353.7238976955414,0.12431236210024835,0.1262117014543037,-1.1972209388390183,-0.001899339354055374
4190,212.62457498000003,270336,364.719363451004,0.14761340891180624,0.14890669059896028,-1.204478367883712,-0.0012932816871540312
