ep_rew_mean,total timesteps,total_time,num_episodes,total_loss,policy_gradient_loss,entropy_loss,value_loss
9.50862782,8192,3.3339669704437256,505,,,,
15.235494959999999,16384,14.187386274337769,938,2.1595323117498504,-0.007129881712402425,-1.4047145191580057,2.1666621934622525
38.2551791,24576,24.81291890144348,1231,1.590489612173721,-0.009943561089724448,-1.3851522727869452,1.6004331732634456
62.72794741999999,32768,35.274824380874634,1408,2.1018185211120803,-0.010681351250161035,-1.359221599344164,2.1124998723622412
68.54459458000001,40960,45.95573830604553,1584,2.097340704658709,-0.005883301031135433,-1.339351393468678,2.1032240056898446
73.0235574,49152,56.34696555137634,1774,1.6497000007935188,-0.002911869152603496,-1.3363247108645737,1.652611869946122
87.90406765999998,57344,66.61212038993835,1942,1.0244064972350624,-0.004038444851872568,-1.3429319930262864,1.028444942086935
102.16826128000001,65536,77.26749229431152,2079,0.586084959350253,-0.005554926538181956,-1.3436269771307707,0.591639885888435
120.50632516000002,73728,88.3336992263794,2201,0.48855487903340783,-0.004669368767709836,-1.3330725570209325,0.4932242478011176
148.51471974,81920,99.62913680076599,2303,0.45596312070012496,-0.005562706410620041,-1.3158093719743191,0.461525827110745
183.25141799999997,90112,110.51970481872559,2391,0.3349909057701609,-0.004634341652212073,-1.3003942732699216,0.33962524742237293
202.91428,98304,120.79456806182861,2472,0.21828364124573313,-0.0028596988029963083,-1.291284349001944,0.22114334004872943
208.50262518,106496,131.50895285606384,2553,0.20250593768200612,-0.0021464288592617196,-1.2867821858264505,0.20465236654126784
237.47599794,114688,142.49107241630554,2623,0.21176729484612652,-0.0020725099191761637,-1.283554401062429,0.21383980476530268
233.70273887999997,122880,153.1885917186737,2690,0.16534592100852089,-0.0023251298642201377,-1.2795737919397652,0.16767105087274103
246.12264593999996,131072,164.10765194892883,2756,0.18981213120039428,-0.0016167781841639288,-1.2692258072085678,0.1914289093845582
257.01019044000003,139264,174.93965101242065,2816,0.18741910636919376,-0.0016756242625747008,-1.2558542029000819,0.18909473063176846
253.7509006,147456,185.89860367774963,2876,0.17067314866705155,-0.002741116949105088,-1.2429587518796326,0.17341426561615664
288.21210456,155648,196.40240716934204,2928,0.23939298130164133,-0.0019543765328151486,-1.232112167775631,0.2413473578344565
308.94074048000004,163840,207.2756290435791,2978,0.14725328585453917,-0.0015546762620133419,-1.2303906712681054,0.1488079621165525
363.0008822799999,172032,218.02610731124878,3021,0.13428491708335377,-0.002144120697554644,-1.2199293496087193,0.1364290377809084
404.90842828,180224,228.78983759880066,3061,0.16678614040886766,-0.002890185924270025,-1.202220467850566,0.1696763263331377
452.09396274,188416,239.5474338531494,3096,0.15869441703014533,-0.002042750513120626,-1.192719395738095,0.16073716754326597
551.8332064399999,196608,249.99446082115173,3127,0.15406024120757045,-0.0021895970333398684,-1.1859574895352125,0.15624983824091032
659.7592746400001,204800,260.58445858955383,3151,0.15384405197650758,-0.002213631922908995,-1.1738673618994653,0.1560576838994166
724.4432838199999,212992,270.6478638648987,3176,0.24258898741003967,-0.0014730173783897957,-1.1624890259467064,0.2440620047884295
741.2700064399999,221184,281.3977897167206,3200,0.27128563166326203,-0.0013285061388946255,-1.1502496049739421,0.2726141378021566
813.5242553400001,229376,292.0065987110138,3218,0.4317622084149657,-0.0003013133616154469,-1.1397565534338354,0.4320635217765812
908.0524895000001,237568,302.3365445137024,3240,0.20493217145954673,-0.0014094822170986723,-1.1261867144145072,0.20634165367664536
980.79753628,245760,312.7793393135071,3259,0.11320341885785774,-0.0019133968287755973,-1.1070526300929486,0.11511681568663334
1074.00030002,253952,323.0608870983124,3275,0.18197944687976944,-0.0009220171176353478,-1.0881389348767698,0.18290146399740478
1208.9550812,262144,333.1949098110199,3289,0.11428676195848733,-0.0010832122070272483,-1.068524264637381,0.11536997416551457
1387.73841992,270336,343.76769757270813,3300,0.19090705120256288,-0.0011691983163053875,-1.055021529365331,0.1920762495188683
1386.84251648,278528,354.1899356842041,3316,0.07763165991495276,-0.0014923724181766808,-1.0468335366807877,0.07912403233312944
1412.35996382,286720,364.945237159729,3330,0.14003438483003844,-0.0014160182870124392,-1.036069919075817,0.14145040311705087
1301.61270878,294912,375.059362411499,3348,0.05894693060309849,-0.0016514968616213664,-1.023409912455827,0.06059842746471986
1360.4736825199998,303104,385.6661994457245,3362,0.11809614764227545,-0.001473249727284275,-1.0000866278540343,0.11956939736955974
1327.3501636800002,311296,396.17505979537964,3379,0.11059223026843971,-0.0015552252186986537,-0.9800638923421502,0.11214745548713836
1337.7790853,319488,406.7061891555786,3395,0.07069124759873964,-0.0015054215102223067,-0.9662790871690958,0.07219666910896194
1264.46960996,327680,417.1815619468689,3412,0.06883177504503654,-0.00119797316321675,-0.9683986507821828,0.07002974820825329
1318.3353724199999,335872,427.6028850078583,3425,0.1002008329734652,-0.0013850635332657345,-0.9681704142596572,0.10158589650673093
1296.35487606,344064,437.9217255115509,3443,0.08957290628707679,-0.0018933495972934052,-0.9565112636424601,0.09146625588437018
1339.9896138199997,352256,448.444149017334,3457,0.14908085482302913,-0.0012075424799092758,-0.9324750070925802,0.1502883973029384
1409.9476515000001,360448,458.8209764957428,3471,0.12419092034122677,-0.0018017226326430373,-0.9220858573447913,0.1259926429738698
1355.18192392,368640,469.4576063156128,3489,0.10632074288261792,-0.0013899367633523022,-0.9296835082117468,0.10771067964597023
1458.2675928800004,376832,480.03540086746216,3504,0.08444840768904002,-0.001300020873470489,-0.9219026365783065,0.08574842856251053
