total_time,ep_rew_mean,num_episodes,total timesteps,total_loss,entropy_loss,value_loss,policy_gradient_loss
3.278669834136963,13.63955976,486,8192,,,,
13.878720045089722,17.1416942,857,16384,2.302208360512348,-1.4112863679416479,2.3097663562744857,-0.007557995762138117
24.57800841331482,21.991097760000002,1176,24576,1.7574078348978692,-1.4010549874044955,1.7641049905214459,-0.006697155623576656
35.049296140670776,31.20306888,1435,32768,1.2801592634606969,-1.3858702953904867,1.2882575881667435,-0.008098324706046555
45.74931836128235,65.16865562,1620,40960,1.0969578983660409,-1.3723782071843744,1.1045369583647697,-0.007579059998728853
56.521607398986816,104.09613496,1743,49152,1.4103652705917207,-1.355739548895508,1.4172107303515076,-0.00684545975978697
67.11162161827087,137.50390052,1848,57344,1.15986895589842,-1.3392719628289342,1.1669106203131379,-0.007041664414717705
77.87680578231812,187.38344722,1924,65536,0.8140259132488549,-1.3233305073343218,0.8192610028898344,-0.005235089640979471
88.71943020820618,245.93526436,1984,73728,0.5053168328003963,-1.310024536587298,0.5097061529988423,-0.004389320198445951
99.13783502578735,279.68535844,2040,81920,0.33814972017878697,-1.2984932202845811,0.3413626993948128,-0.0032129792160258282
109.47153544425964,313.61785256,2090,90112,0.2532258361019892,-1.285654359590262,0.25677811715286225,-0.0035522810508730614
119.98947310447693,324.22206282,2140,98304,0.182850704531673,-1.2737437180243432,0.18610440641496098,-0.0032537018832879856
130.77728152275085,346.1673083399999,2180,106496,0.1525678189592068,-1.2584817746654153,0.15489264279749476,-0.0023248238382879783
141.55286383628845,339.32487414,2222,114688,0.12958038819490947,-1.254632306843996,0.133057917568658,-0.003477529373748544
153.74675011634827,413.03699353999997,2247,122880,0.2012690286221644,-1.2437846536748112,0.20480851119500584,-0.0035394825728414605
165.94989848136902,479.96445403999996,2273,131072,0.09313875604405188,-1.224217246286571,0.09600862644438166,-0.002869870400329788
176.80348682403564,516.0195808999999,2286,139264,0.13955042279622115,-1.209322707913816,0.1435519931364979,-0.004001570340276736
187.30670595169067,614.11087372,2297,147456,0.10671051851970617,-1.2016501897014678,0.10912330914434279,-0.0024127906246366273
198.32946181297302,688.7496163400001,2308,155648,0.16591418647794037,-1.1877004576846957,0.1685017718009476,-0.002587585323007233
209.07576394081116,777.0146241799999,2321,163840,0.20319974687721826,-1.183347598835826,0.20445685568374755,-0.0012571088065293288
219.8565993309021,809.11256956,2334,172032,0.1719226453893205,-1.181464471295476,0.1753586637074477,-0.0034360183181272167
230.37499570846558,747.5709534599998,2351,180224,0.09804708311470352,-1.1783211266621947,0.10154483610604075,-0.0034977529913372413
241.20039772987366,695.5640594399999,2366,188416,0.11028802233836595,-1.1765217251144349,0.11484815338044427,-0.004560131042078331
252.21068048477173,661.26330162,2378,196608,0.15279355393385566,-1.1678685183636843,0.15704957030320657,-0.004256016369350907
262.9265522956848,665.0449831,2395,204800,0.15270801203296241,-1.1610393246635795,0.15702330440253717,-0.004315292369574741
273.54962635040283,652.80307408,2407,212992,0.3277400910714206,-1.1590070970356465,0.3324638750345912,-0.004723783963170577
284.1171910762787,726.2555419799999,2417,221184,0.21183198412367346,-1.1539572979323567,0.21594603039629873,-0.004114046272625275
294.7881097793579,703.43778786,2431,229376,0.20695215872176612,-1.1532882327213883,0.21029859813424992,-0.0033464394124838037
305.5765891075134,756.8825815799999,2445,237568,0.23758427696946444,-1.1450523815117777,0.24238095906985108,-0.0047966821003866305
316.35741209983826,672.5496192,2465,245760,0.16150299299113482,-1.1476512648165227,0.1650623564615671,-0.003559363470432296
327.27038645744324,536.8115858,2491,253952,0.18135762204004865,-1.139433815330267,0.18573604938283098,-0.004378427342782315
338.18289589881897,458.16436418000006,2523,262144,0.1118317486083559,-1.135431931167841,0.11730592682724819,-0.005474178218892297
348.89055585861206,432.14941402000005,2555,270336,0.1408493728799996,-1.131626812927425,0.14460164410775178,-0.0037522712277521806
359.8671522140503,401.12696568000007,2592,278528,0.12861105434542108,-1.1326208026148379,0.13339814488135743,-0.004787090535936353
370.80891942977905,439.17235508,2621,286720,0.22904499866421713,-1.1281910938210786,0.2337778780296503,-0.004732879365433223
382.774498462677,441.45998484000006,2659,294912,0.07796744641277628,-1.1311862559989094,0.08242324999228004,-0.00445580357950375
394.11988401412964,447.85110290000006,2689,303104,0.16626303374538623,-1.1192203421145677,0.17160383524678763,-0.005340801501401402
404.7399191856384,468.05421218000004,2720,311296,0.23943069579654647,-1.1148539828136563,0.24378329877145005,-0.004352602974903614
415.08253479003906,468.2339273600001,2754,319488,0.15404253641525711,-1.1121424512006342,0.15841266934803572,-0.004370132932778585
425.46158504486084,481.79795236000007,2788,327680,0.09860552604974432,-1.1041566734202206,0.10253629660292063,-0.003930770553176312
435.7768409252167,499.02030726000004,2812,335872,0.1081996460089154,-1.0913233402185143,0.11391646600641252,-0.005716819997497102
446.3041172027588,571.8692851399999,2841,344064,0.11629940372641476,-1.0743863471783697,0.12016382013753173,-0.003864416411116954
456.72791719436646,574.17069602,2865,352256,0.1142131583388395,-1.0604765952564776,0.11891854166715347,-0.0047053833283140015
467.00302147865295,586.0384525999999,2889,360448,0.12512224603364033,-1.0540961294434965,0.12928349082212662,-0.004161244788486305
477.5957772731781,652.47761782,2913,368640,0.09408125187806964,-1.0417195945978164,0.09823157932260074,-0.004150327444531098
488.00984025001526,606.7411665,2942,376832,0.11967804961249628,-1.0266750073060393,0.12395181079336907,-0.0042737611808727925
498.38023591041565,596.6409721399999,2967,385024,0.11649490239397826,-1.0108074103482068,0.12146688368738978,-0.004971981293411533
508.7861559391022,680.1208007600002,2991,393216,0.16211988173048664,-0.992991191893816,0.1660052517450822,-0.003885370014595569
519.2666969299316,742.6880563999999,3016,401408,0.12862193875457023,-0.9819100087974221,0.1333293688541744,-0.0047074300996041525
529.9283695220947,812.9455025600001,3034,409600,0.12324145354219629,-0.9736924874130637,0.127016437605198,-0.003774984063001718
540.5197627544403,873.9120630599999,3051,417792,0.08691964683135148,-0.9609468176495284,0.09050682425149717,-0.0035871774201456956
550.804815530777,1007.7387258400001,3069,425984,0.11366796995144801,-0.9503664526622743,0.11701216548026423,-0.003344195528816228
561.0426054000854,1084.50788866,3086,434176,0.14453356153141397,-0.9361088993027806,0.1479351360394503,-0.003401574508036342
571.2200191020966,897.6713267599999,3115,442368,0.16599483050584635,-0.9330424316693098,0.16953528905942222,-0.003540458553575841
581.2753212451935,780.3218863000001,3143,450560,0.2916250340477499,-0.9229178708512336,0.2958024196617771,-0.004177385614027153
591.6384446620941,839.5060792800001,3169,458752,0.19198767480642318,-0.9102854710072279,0.19538429488020484,-0.0033966200737816582
601.9215812683105,835.7646644399999,3196,466944,0.09342380823822218,-0.8991990213282406,0.09729157328110886,-0.003867765042886695
612.3693194389343,857.54862928,3223,475136,0.08242569713757139,-0.879190912283957,0.08678699552765465,-0.004361298390083269
622.6790237426758,914.60486942,3246,483328,0.12142093380551384,-0.8609607808291913,0.12570739801158198,-0.004286464206068137
633.1493067741394,891.71600034,3273,491520,0.10005154286313493,-0.8366088575683535,0.10445872882337426,-0.004407185960239318
643.6086795330048,914.2157976599999,3297,499712,0.08503626159840853,-0.8111282645724713,0.08838660099572734,-0.0033503393973188093
653.773270368576,985.4939681599999,3321,507904,0.049652315765076636,-0.7958801361266523,0.054220186748716516,-0.004567870983639875
664.2733364105225,981.6765721999999,3347,516096,0.07685660973192061,-0.7871648845728487,0.08043544581814785,-0.003578836086227245
674.293618440628,1044.16756052,3369,524288,0.04976951420911219,-0.7787886034231633,0.05320255796941638,-0.003433043760304187
684.587899684906,1170.61311642,3387,532480,0.03743544046043008,-0.7607672478072345,0.04109393077960703,-0.003658490319176948
694.6514718532562,1245.38285508,3402,540672,0.08349185350716157,-0.7453381111379713,0.0863982062019204,-0.002906352694758827
704.7232894897461,1386.0985402400004,3419,548864,0.06323313068783357,-0.7365920658688992,0.06697074959447491,-0.003737618906641353
715.0775029659271,1348.85532112,3439,557056,0.04549422918159143,-0.725528851756826,0.048829258576370195,-0.003335029394778765
725.391773223877,1364.3673535,3454,565248,0.043128909568927044,-0.7131893443875015,0.04731693377616466,-0.0041880242072376145
735.605854511261,1449.24603052,3470,573440,0.07596033907745814,-0.6963856926653534,0.07831345512422558,-0.0023531160467674525
