total timesteps,total_time,ep_rew_mean,num_episodes,policy_gradient_loss,value_loss,entropy_loss,total_loss
8192,3.3165838718414307,9.016077000000001,448,,,,
16384,14.973765850067139,14.688709280000003,798,-0.005309567241642469,1.5177503117360174,-1.4143364698626102,1.512440744494375
24576,27.099722385406494,25.460577320000002,1004,-0.008543072232664557,0.9112411073874682,-1.3986968345940114,0.9026980351548037
32768,38.738563537597656,48.17323424,1134,-0.007221925939116643,1.0444020019378513,-1.3702283890917897,1.0371800759987349
40960,51.293225049972534,130.98259038,1191,-0.00735781606355809,0.8914232766721397,-1.343922740034759,0.8840654606085817
49152,63.19999980926514,215.0263943,1216,-0.005740555479240339,0.6406639236491174,-1.3175824836827814,0.634923368169877
57344,75.27804255485535,356.51402988,1233,-0.004995151362743357,0.3470355257508345,-1.2940298711881042,0.3420403743880912
65536,87.08123850822449,326.11673030000003,1270,-0.0025038281373774927,0.2563389296265086,-1.2737368398346007,0.25383510148913113
73728,98.9813289642334,367.0703168,1281,-0.0024167132026222784,0.4622014309396036,-1.2625283476896585,0.45978471773698126
81920,110.74226379394531,463.22172549999993,1294,-0.00322561713120645,0.15917828578603804,-1.2519587256014346,0.1559526686548316
90112,122.95175218582153,586.77537378,1302,-0.0028002467872202817,0.18677052445200387,-1.247693470492959,0.1839702776647836
98304,134.55621767044067,694.0668172600001,1310,-0.0011607037331133082,0.13770492264666245,-1.2521400177851318,0.13654421891354915
106496,146.08332705497742,817.1888527999998,1318,-0.0026451445391753193,0.14262966859823792,-1.2701892268843948,0.1399845240590626
114688,158.1406877040863,742.39421366,1336,-0.00262094369320474,0.15943510849174344,-1.2896047825925052,0.15681416479853869
122880,170.2136046886444,645.39306678,1353,-0.0018093999923473284,0.348816916240321,-1.290289953444153,0.34700751624797366
131072,182.44746136665344,634.77665224,1362,-0.002187744456442457,0.29785893759835746,-1.2836820414289831,0.295671193141915
139264,194.60567808151245,587.46514772,1377,-0.002996104912169859,0.16035594451896032,-1.2945927272550761,0.15735983960679042
147456,206.74923658370972,653.30587568,1387,-0.0031235739936446892,0.2658559380171937,-1.2937886228784918,0.262732364023549
155648,218.8254852294922,707.9399886599999,1400,-0.002457273931140918,0.18615734655977575,-1.2888715195469558,0.18370007262863483
163840,231.15202689170837,734.3504182600002,1408,-0.002506105487198535,0.25774213709519245,-1.2843730369582773,0.2552360316079939
172032,243.24156379699707,789.3143166199999,1416,-0.002789868666683924,0.18264493172318907,-1.2787647606804966,0.17985506305650517
180224,255.32989978790283,873.0131254200002,1425,-0.0019623755102547175,0.18389499986951705,-1.2765403585508466,0.18193262435926233
188416,267.5807948112488,816.7837747399999,1440,-0.001706092482228537,0.19907443849006085,-1.2693544239737093,0.19736834600783232
196608,279.7069742679596,841.1867534599999,1451,-0.001136570543092568,0.32066578414378455,-1.2531742066144944,0.319529213600692
204800,291.71694469451904,774.9485833400001,1462,-0.0014275258448882724,0.25900902005814713,-1.2534223157912492,0.25758149421325893
212992,303.97078347206116,783.2851837000001,1470,-0.0021603010535317297,0.2502415654904325,-1.2523120782338082,0.24808126443690082
221184,316.0348274707794,758.6360017599999,1480,-0.0018919157822803075,0.20041174811631207,-1.242152872122824,0.19851983233403175
229376,328.34572076797485,762.2045200399999,1492,-0.0016148076165351005,0.22492908312997315,-1.2327778106555343,0.22331427551343808
237568,340.3088757991791,808.6509621600001,1504,-0.0023494585821611743,0.2987108307694143,-1.2244029720313847,0.2963613721872531
245760,352.87733936309814,777.2188040400002,1515,-0.0014910645802341323,0.2919931585434824,-1.2272129232995213,0.2905020939632483
253952,365.01139092445374,721.9042400200001,1528,-0.0015436158760302214,0.23418689716563676,-1.2235390935093164,0.23264328128960657
262144,376.9643671512604,781.9541493600002,1536,-0.001603615340811704,0.2817436784709571,-1.2195456149056554,0.2801400631301454
270336,389.27727341651917,768.5014926200002,1547,-0.0022091621170551236,0.18061701088008703,-1.2089486770331859,0.1784078487630319
278528,401.3395879268646,804.0425756000001,1556,-0.0019727482158759255,0.23956274159427265,-1.1992690968327224,0.23758999337839676
286720,413.33067178726196,834.72187158,1565,-0.0021798861798209357,0.19039676790453086,-1.18706745384261,0.1882168817247099
294912,425.4197053909302,900.7460359,1574,-0.002356091127197021,0.18732125507449382,-1.1838378560729326,0.18496516394729678
303104,437.6380503177643,929.7874211200002,1582,-0.0016548194247743776,0.18436224853394378,-1.183400266431272,0.1827074291091694
311296,449.8106849193573,971.1591035600001,1590,-0.001777512432886737,0.1730507125503209,-1.1850515241734683,0.17127320011743413
319488,461.97438073158264,984.1617265399999,1599,-0.0016197927774752475,0.18924354119553755,-1.1765205475501717,0.1876237484180623
327680,473.96335005760193,985.3080523799998,1607,-0.0015359053868969257,0.20507610298300277,-1.1682153981179,0.2035401975961059
335872,486.19898438453674,999.9503834599999,1615,-0.0014337709562712276,0.1815718839479814,-1.1675993599928916,0.18013811299171018
344064,498.53095722198486,999.03425858,1623,-0.0020588938957271934,0.18217622881493298,-1.1610043182969094,0.18011733491920578
352256,510.50896096229553,1000.3368041,1631,-0.0014111102619692364,0.18370227148625418,-1.1658033867366613,0.18229116122428493
360448,522.5440123081207,984.2917819999999,1640,-0.003421762205802599,0.17316284857370193,-1.1630269473418593,0.16974108636789934
368640,534.8774418830872,979.6041944799998,1650,-0.0028106810625816692,0.19487146953397314,-1.164612672198564,0.19206078847139146
376832,547.0464000701904,977.9133471199999,1660,-0.0016400323065915462,0.2192361079665716,-1.1605227586813271,0.21759607565998001
385024,558.8432958126068,958.89032062,1669,-0.0014635763780328995,0.21236021677177633,-1.1454301200807095,0.21089664039374342
393216,570.6322293281555,877.4126148400001,1682,-0.0015406537197152638,0.1790310811411473,-1.1286889957264066,0.17749042742143203
401408,582.6058008670807,811.27042136,1695,-0.0028382164293198043,0.25446845897313325,-1.1304587800987065,0.25163024254381344
409600,595.114396572113,741.79095592,1707,-0.0022633219744532065,0.2624580689473078,-1.1316958853043615,0.26019474697285455
417792,607.2308888435364,772.9186707399999,1715,-0.001996335942115487,0.2263876896489819,-1.1240907781757414,0.22439135370686641
425984,619.5352594852448,805.0748774399998,1724,-0.0027479120113415864,0.187608006951632,-1.1227446123957634,0.18486009494029038
434176,631.455403804779,872.51467128,1733,-0.0019630792978799854,0.2014112876753643,-1.133612689655274,0.19944820837748428
442368,643.2486538887024,906.14972804,1744,-0.0016878366517153367,0.21145203790583764,-1.1382902283221483,0.20976420125412226
450560,655.4563760757446,926.25674804,1755,-0.0015096316390231057,0.24626553448761115,-1.1508001386187972,0.24475590284858803
458752,667.8077442646027,862.63318848,1768,-0.00029041343460426913,0.24143060158166918,-1.1535668091848492,0.2411401881470649
466944,679.7784974575043,604.2377173199999,1796,-0.0003815861680440181,0.19890066930893227,-1.1548989068716764,0.19851908314088823
475136,691.3562836647034,463.48586072,1819,-0.001757075514868231,0.4393251649409649,-1.1441126252524554,0.43756808942609665
483328,703.3274128437042,313.78297394000003,1861,-0.0014573717899375768,0.27555126034130806,-1.1400395506992935,0.2740938885513705
491520,715.7510755062103,359.98856576000003,1902,-0.0016997313042259603,0.5561474672344048,-1.1326052932068706,0.5544477359301788
499712,727.866090297699,306.94314526,1955,-0.0010369147833411006,0.41785952014033684,-1.1270846918225288,0.4168226053569958
507904,739.7362048625946,301.77494536,2011,-0.0003266079538409527,0.3502141494129319,-1.1233628397807478,0.3498875414590909
516096,752.0924186706543,305.40074452,2068,-0.001369049210886289,0.4622768479690421,-1.12115031844005,0.4609077987581558
524288,764.3320605754852,299.42727047999995,2128,-0.0014969486615723656,0.41763395760790445,-1.1115837036632001,0.416137008946332
