total_time,num_episodes,total timesteps,ep_rew_mean,value_loss,entropy_loss,total_loss,policy_gradient_loss
3.0538103580474854,1556,8192,44.689285,,,,
14.576253414154053,2956,16384,53.6098854,2.516496460326016,-1.3864768081344665,2.4930654490423807,-0.02343101128363521
26.25851082801819,4231,24576,58.31892312,2.1970248464494944,-1.3258841537870467,2.173219827241598,-0.023805019207896936
37.58115243911743,5339,32768,65.91716108,1.413538373913616,-1.2257915742695331,1.388799530065889,-0.024738843847726705
49.232752084732056,6303,40960,77.93232775999999,1.0618668809067457,-1.1085758274421096,1.0313909794942677,-0.030475901412478062
60.833932876586914,7108,49152,88.95824848000001,1.0713195899501442,-0.9901169918011874,1.0461014300240303,-0.025218159926113988
72.0997257232666,7828,57344,112.76673126000001,1.1594652790576219,-0.8651170200202614,1.14020778624464,-0.01925749281298177
83.23365783691406,8473,65536,106.3690857,1.1414948630146682,-0.7512751106638461,1.1286871963349214,-0.012807666679746893
94.11388325691223,9040,73728,136.87824066000002,1.0334655416430905,-0.65449551763013,1.0235860412532098,-0.009879500389880742
105.5192711353302,9557,81920,145.64934638,1.030302632553503,-0.556035615503788,1.0209319553584897,-0.009370677195013062
116.35883522033691,10025,90112,149.66959302,0.9118819830007852,-0.472261186176911,0.9036555706530723,-0.008226412347712719
127.42971682548523,10475,98304,170.21279865999998,0.89864266901277,-0.3987362687010318,0.890823438008838,-0.007819231003931976
138.79009914398193,10874,106496,165.96597676000002,0.8268993831472471,-0.3192102203145623,0.8187017895570102,-0.008197593590236921
150.0019326210022,11252,114688,197.78646847999997,0.7849226727848873,-0.2538143333978951,0.7772247966959879,-0.0076978760888993915
160.87717270851135,11595,122880,212.46829343999997,0.743100298801437,-0.20090168938040734,0.7362259635762062,-0.006874335225230899
171.65744304656982,11899,131072,247.41360505999998,0.8130371367558837,-0.1343034626916051,0.8032213247678328,-0.009815811988050784
182.76571702957153,12207,139264,219.86895872000002,0.7768092335900292,-0.08149498477578163,0.7714174300038846,-0.0053918035861445545
193.8163070678711,12490,147456,247.21343174,0.6770749403396621,-0.036276804935187104,0.6710184450410155,-0.00605649529864664
205.1311812400818,12728,155648,294.66085189999995,0.6823514606803656,0.010003345180302858,0.6740767088306641,-0.008274751849701407
216.06656765937805,12940,163840,346.5582876799999,0.7395175131037831,0.06220078961923718,0.734689730952333,-0.0048277821514500895
227.27392554283142,13148,172032,353.6023042,0.7048080565407873,0.12966666258871556,0.7016813347015456,-0.003126721839241532
238.70291781425476,13333,180224,412.20749620000004,0.6908421730389819,0.17832964546978475,0.6862195690765629,-0.004622603962419003
249.52628755569458,13496,188416,440.71007636,0.7282956081908196,0.20984157249331475,0.7248572371510733,-0.003438371039746277
260.40874886512756,13632,196608,526.00626658,0.9157794475322589,0.25276352586224676,0.91324860082197,-0.0025308467102888007
271.52308773994446,13746,204800,623.11202632,0.9064085605321452,0.28533835858106615,0.9048794810490179,-0.0015290794831273838
282.48497438430786,13871,212992,623.2148004,1.0142678246134893,0.31054021129384635,1.0141381776633405,-0.00012964695014880393
293.5147132873535,13963,221184,860.5798948600001,1.0761403386248276,0.3416157658211887,1.0782250745877255,0.0020847359628978946
304.53570532798767,14039,229376,1053.57317074,1.0486054731998593,0.3715960240922868,1.0479117981024206,-0.0006936750974384477
315.226553440094,14095,237568,1399.57407394,0.9367006541229784,0.4023819563910365,0.9402433735389361,0.0035427194159576374
326.48760414123535,14138,245760,1561.256611,1.001099740760401,0.429566031973809,1.002345752917597,0.0012460121571959773
337.1919848918915,14180,253952,1682.7771440000004,1.0968037449521943,0.464919516723603,1.0966241184755439,-0.00017962647665041736
348.13482880592346,14214,262144,2055.48698032,0.9354988665785641,0.4913724108599126,0.9345340897378842,-0.0009647768406799227
358.9500992298126,14230,270336,3002.1889187999996,1.1631541823968292,0.5168597852811218,1.1615119078451057,-0.0016422745517232675
369.6004846096039,14243,278528,3898.7373125599993,0.9001408479176461,0.5579704081639647,0.8989487740695956,-0.001192073848050466
380.269686460495,14254,286720,4967.15090196,0.8753542373306118,0.6013259724248201,0.8794949160303684,0.004140678699756674
391.3971092700958,14266,294912,5878.056271060001,0.8585978322429583,0.6210579931735992,0.8660393211496992,0.0074414889067409284
402.15073442459106,14279,303104,6224.4479183799995,0.8617385329387617,0.6538671966642141,0.8660325208874685,0.0042939879487068015
412.9061231613159,14288,311296,6419.417356920001,0.6594303745543584,0.6730331677012146,0.6692292884789552,0.009798913924596846
423.75785183906555,14300,319488,6762.990413580002,0.6782283901644405,0.6836612588725984,0.6855092168374588,0.007280826673018301
434.2628996372223,14309,327680,6844.7197958,1.0258671937277541,0.6948618201538921,1.0330240658840182,0.007156872156264114
445.26974964141846,14317,335872,7489.07049912,0.8688433675968554,0.69638069588691,0.8768490041375324,0.008005636540676942
455.7713522911072,14325,344064,8086.684361,0.8192573236970929,0.6830698070116341,0.8277419672009719,0.008484643503878958
464.17763328552246,14325,344064,8086.684361,0.8548070665565319,0.6935310116969049,0.86269045302665,0.007883386470118022
