total timesteps,total_time,num_episodes,ep_rew_mean,value_loss,total_loss,entropy_loss,policy_gradient_loss
8192,2.8441476821899414,1475,48.225429459999994,,,,
16384,11.007967472076416,2736,60.479954199999995,3.030919036176056,2.9989777938876823,-1.4140164399519564,-0.031941242288373396
24576,19.421356916427612,3809,72.60229537999999,2.6705084651708604,2.6440121265005017,-1.3756301740184427,-0.026496338670358797
32768,27.710766315460205,4827,70.66897044000001,1.75882598310709,1.7376831476733758,-1.2895089000463487,-0.021142835433713904
40960,35.786649227142334,5847,69.02826886,1.075706434575841,1.0602481883030603,-1.1945347817614675,-0.015458246272780678
49152,44.286399364471436,6827,77.51712344,0.7249177685240283,0.7028818089646461,-1.0975216682069004,-0.022035959559382257
57344,52.48970985412598,7793,76.17145169999999,0.6479574208147824,0.6224014738335119,-1.0027813143562525,-0.025555946981270516
65536,60.92150020599365,8680,80.8385776,0.562958656589035,0.5372979104154172,-0.9165742036886513,-0.025660746173617806
73728,69.5618405342102,9527,90.48341921999997,0.5525808995123953,0.5238615203507523,-0.827930131321773,-0.028719379161642994
81920,78.07919502258301,10304,93.91722020000002,0.5785627497360111,0.5514780327352475,-0.744428549753502,-0.02708471700076337
90112,86.14686703681946,10999,104.22562496,0.6726636394159868,0.6429558696577127,-0.6584242105484008,-0.029707769758274223
98304,94.17186570167542,11639,123.67927018,0.7758871733909473,0.7489581807313271,-0.5715756773948669,-0.026928992659620055
106496,102.43196320533752,12205,141.97277134,0.7627866670722142,0.7371199872271438,-0.5001670443918556,-0.025666679845070373
114688,110.33443570137024,12655,171.90152396000002,0.8932448599254712,0.8710241109597685,-0.42763908542692664,-0.02222074896570278
122880,118.08918929100037,13028,197.13221778,1.1780424198601396,1.1591949612047945,-0.3608718182425946,-0.018847458655344883
131072,125.67227435112,13333,252.24921600000002,1.2960575696080923,1.281762863198377,-0.2791354859247804,-0.014294706409715103
139264,133.76311564445496,13595,303.76311624000004,1.1761500560678542,1.1658812470521294,-0.20278820144012571,-0.01026880901572467
147456,142.34449648857117,13825,308.58542452000006,1.1257991075981408,1.1177827743614261,-0.12472386341542005,-0.0080163332367148
155648,150.752760887146,14038,354.15272057999994,1.0398474698886275,1.0344051954887514,-0.05118582928553224,-0.005442274399876097
163840,158.61014533042908,14217,415.92753102,0.9103259375784546,0.9044915118082202,0.015607662871479988,-0.005834425770234679
172032,166.1978633403778,14377,472.37708726000005,0.8207484205951914,0.8157580925007176,0.06787705551832915,-0.004990328094473841
180224,174.17858839035034,14510,534.6349388,0.976411928771995,0.9742986558089889,0.11550549482926727,-0.0021132729630060367
188416,182.2709083557129,14626,599.445689,0.8506292715435848,0.8445979846397119,0.14989955415949224,-0.006031286903872783
196608,190.50439190864563,14743,594.02957042,1.0814655382419005,1.0801164644450076,0.1948078092187643,-0.001349073796892916
204800,198.6157684326172,14841,802.13960934,1.0383017379324884,1.0327152585782566,0.23208556286990642,-0.005586479354231749
212992,206.49339818954468,14909,1087.0440036999998,1.0059919053222983,0.9995770415742313,0.27186699928715824,-0.006414863748067175
221184,214.27333235740662,14952,1641.5152173400002,1.1317102622706443,1.1280019025175851,0.3134976060129702,-0.0037083597530590748
229376,222.22380304336548,14983,2157.31493642,1.176931838132441,1.17362580020683,0.34863056903705003,-0.0033060379256109385
237568,230.2575056552887,15004,2944.0428161,0.9841450367122888,0.9807985348950101,0.3835599177516997,-0.0033465018172788214
245760,238.29593515396118,15016,3640.5647178000004,1.0202279083430768,1.019121378198991,0.4361895677633584,-0.0011065301440858586
253952,246.9471435546875,15028,4721.72695512,0.8954708452336491,0.898546538754411,0.47512234579771756,0.0030756935207620897
262144,255.69375324249268,15038,5789.7961544,0.8884106715908274,0.8930228563340574,0.5062990015372634,0.004612184743230023
270336,263.40079522132874,15048,6644.30650062,0.8403448553523049,0.8438603994343227,0.5419530460610986,0.0035155440820177713
278528,271.5231626033783,15059,6775.255645,0.7848580184392631,0.791389436908769,0.5643145268782973,0.0065314184695058316
286720,279.6741259098053,15069,7264.2225967,0.7808041011972818,0.7834420904389995,0.5683870152570307,0.002637989241717666
294912,287.90696120262146,15080,7197.82234166,0.9356133628694806,0.9427377602423667,0.5718166720122099,0.00712439737288596
303104,296.0204162597656,15092,6931.591860119999,0.9401823980064364,0.9446426099640586,0.5616138432640583,0.00446021195762218
311296,304.32072353363037,15104,6932.01204066,0.977954612520989,0.9833233026934846,0.5703698164317756,0.005368690172495619
319488,312.51931953430176,15112,7498.783731199999,1.0419366621121298,1.0465533343405418,0.5928203138522804,0.004616672228411991
327680,319.95139360427856,15124,6719.229399080001,0.8748817110608798,0.882115606818321,0.6074759501032532,0.0072338957574412275
335872,327.78330278396606,15133,7237.9200191,0.936524105235003,0.9407874186405483,0.6368251546286047,0.004263313405545438
344064,335.7330160140991,15144,7426.7835169400005,0.9734887102036737,0.9786268633612248,0.6604073155671358,0.005138153157551192
352256,344.0981659889221,15153,7794.56403772,1.1515709383238573,1.1558423025531828,0.6686263708397746,0.004271364229325463
360448,351.9255118370056,15162,7531.42759374,1.0126412851095665,1.0149408937734488,0.6873266307637096,0.002299608663882405
368640,359.7137243747711,15177,7398.72667754,0.9661677915748441,0.971822751629065,0.6853406898677349,0.00565496005422083
376832,368.30164980888367,15222,2097.93256354,1.4581822433858178,1.4650188494581264,0.6875254724174737,0.006836606072308732
385024,376.5615062713623,15258,1940.6705606200003,4.033110424922779,4.037160145709438,0.6758305631577969,0.004049720786659512
