total_time,mean_int_reward,ep_rew_mean,total timesteps,num_episodes,entropy_loss,intrinsic_loss,total_loss,policy_gradient_loss,value_loss
3.3953354358673096,0.016084637,48.48000786000001,8192,1569,,,,,
19.52329182624817,0.1502685,54.57130083999999,16384,3005,-1.3912755142897368,2.265861523640342,3.8200896442049412,-0.026779671619063777,2.7139385540038345
35.3923454284668,0.006535293,55.40885256000001,24576,4261,-1.3353958442807197,7.124635671824217,5.812987348756505,-0.03177297148598931,2.282442484330386
52.344549894332886,0.00014685804,69.01924396,32768,5322,-1.2470088481903077,0.03777377714250178,1.5267532158419148,-0.03145167907533823,1.5393180063460021
69.03626275062561,1.4839147e-06,83.90672578,40960,6245,-1.1683203273452818,0.0011247481862483254,1.2120415497436399,-0.021884386985561638,1.2333635626360775
85.00118207931519,1.6899378e-08,80.99188182,49152,7093,-1.0845516292378306,0.0003587735905796308,1.0150058974769995,-0.019416932670460484,1.0342434433521703
101.15598034858704,1.4336554e-11,91.20846346,57344,7890,-0.9968681324273347,0.00017275482678940078,0.9131571130615267,-0.016135941831537336,0.9292066774796695
118.13338899612427,3.4514195e-12,97.10781998,65536,8637,-0.9150358693674207,0.00011634645061917582,0.767591477217848,-0.01418925508885201,0.7817225590813905
133.92038917541504,1.1728782e-11,105.92907486,73728,9324,-0.8337218825705349,8.44004138997434e-05,0.8135179364815801,-0.016631242216318294,0.8301069784909487
149.89348316192627,1.0901237e-11,111.22455962,81920,9967,-0.7425308132078499,5.308855513632693e-05,0.8134994823858094,-0.014556922773847503,0.8280298608820885
166.18712329864502,9.0356785e-12,118.36863734,90112,10572,-0.6528962499462068,4.512981011117745e-05,0.7491933559531772,-0.015193862335260138,0.7643646533833817
182.94224190711975,6.7351532e-12,128.10912108,98304,11134,-0.5746414145454765,3.251624827598221e-05,0.7231915121242902,-0.015199111237389146,0.7383743652375415
199.6838300228119,3.9113834e-12,132.24593206,106496,11663,-0.5041275421855971,3.0135654047924732e-05,0.7405521877421426,-0.015244177726687656,0.7557812976418063
215.27400183677673,1.7486748e-12,158.60962618,114688,12132,-0.4374846226070076,1.9811780128620172e-05,0.6489974710825317,-0.015333877198324703,0.664321442390792
231.20569682121277,5.8625186e-13,158.28508578,122880,12579,-0.37328874992672356,1.6279085304837793e-05,0.7257273927106578,-0.014174763733957055,0.7398940169019624
248.75475215911865,2.228454e-13,189.99106794,131072,12981,-0.3190010353922844,1.7148284057988407e-05,0.6970911377526383,-0.013496510586839506,0.7105790741974488
265.11974716186523,1.7668224e-13,195.87899828000002,139264,13358,-0.2533064874820411,1.569144436768255e-05,0.7453940438061353,-0.011904824371368306,0.7572910224553198
281.73271775245667,2.0529248e-13,232.48615622000005,147456,13688,-0.19242960270494222,9.555498483049263e-06,0.6643774540002211,-0.008738736469775191,0.6731114127207547
298.12157583236694,2.0051731e-13,274.53144138000005,155648,13983,-0.1210316451266408,1.064216720374489e-05,0.6999807197265235,-0.007117276318391999,0.7070926749613136
313.61947083473206,2.4332546e-13,257.30634812,163840,14287,-0.060947388783097266,8.878562162983884e-06,0.821071675893654,-0.003697411886394944,0.8247646484989672
329.31048130989075,3.1713805e-13,309.24922004,172032,14551,0.0017587091773748399,1.3923194895504309e-05,0.6520659748306489,-0.006356790312884794,0.658415803546086
344.92060899734497,3.6996968e-13,338.84253594,180224,14793,0.0504197159782052,7.200209084556875e-06,0.5940325515063544,-0.0036231529321623353,0.5976521043339744
360.6947932243347,3.9035252e-13,349.20772673999994,188416,15006,0.09825267242267728,1.1414870114290209e-05,0.754132975693864,-0.001592269261974346,0.7557195375207811
376.65030455589294,3.671412e-13,356.6900743,196608,15206,0.15338481953367591,9.877073516273427e-06,0.6263026566021622,-0.0004455722285577338,0.6267432902939618
392.83835196495056,4.053787e-13,433.3745559000001,204800,15384,0.19258334571495653,1.3915320884150261e-05,0.6418134264307913,-0.003620857517259328,0.6454273262876086
408.1080150604248,4.314795e-13,490.56910832,212992,15544,0.23648080118000508,6.12095372094501e-06,0.7337392120522512,-0.001264552723336475,0.7350007042987272
424.25364112854004,3.3878686e-13,542.84601226,221184,15690,0.275967600569129,5.915684516510922e-06,0.7896927136168573,0.002344926804800048,0.787344828969799
438.8364312648773,3.1460956e-13,599.92850264,229376,15815,0.31701618162915113,6.349362528057512e-06,0.9033932454874758,-0.003030559387103677,0.9064206301933154
453.17635560035706,3.279665e-13,585.94077764,237568,15948,0.36118291607126596,1.1350467386916917e-05,0.780120244769888,-0.0030061243821230535,0.7831206939183175
467.43483328819275,5.116959e-13,814.3907184399999,245760,16049,0.4041527506429702,4.095080196520051e-06,0.9047311367465183,0.002748966282569003,0.901980122923851
482.9107689857483,4.9727084e-13,840.1878420200001,253952,16142,0.4387828409206122,1.1906147329332484e-05,0.8623869123033969,-0.0001681304572129807,0.8625490896869451
497.22581148147583,4.2446846e-13,1057.67389118,262144,16208,0.4773404820822179,5.101390920569937e-06,0.7779816055145035,0.004944648202690716,0.7730344066163525
512.0289089679718,4.975304e-13,1131.33189744,270336,16273,0.509950694674626,3.784141232610061e-06,0.9836080727956217,-0.002261279696281083,0.9858674604212865
527.3619344234467,3.7061345e-13,1826.9750968599997,278528,16306,0.5447948168963194,7.131858592457352e-06,1.0776375748902285,-0.0040156281216594085,1.0816496370825917
543.7229435443878,4.1920078e-13,2060.05909246,286720,16346,0.5763608527835459,7.268233296153781e-06,0.9547719356831592,0.002131428892172645,0.9526368726743385
