total timesteps,mean_int_reward,ep_rew_mean,total_time,num_episodes,value_loss,total_loss,entropy_loss,policy_gradient_loss,intrinsic_loss
8192,0.016518308,47.56974888,3.2959227561950684,1595,,,,,
16384,0.10428331,44.05030286,16.51199197769165,3025,3.1183424981310965,4.296029392006301,-1.3897848029620945,-0.02584738804799778,2.4070685638464058
24576,0.0020607365,59.06932148,32.84942984580994,4284,2.394503633771092,4.087287033228881,-1.3277009116485714,-0.031816783295267194,3.4492003655061128
32768,2.9247212e-05,70.79344116,48.368735790252686,5403,1.726859599351883,1.698808871100292,-1.2285208146087825,-0.03190860870709813,0.007715760911014513
40960,0.008980323,78.81204514,61.18448877334595,6332,1.278131264122203,1.256965665272046,-1.1439080734737217,-0.021512465034563843,0.0006937323688134712
49152,1.6583021e-08,99.70886214000001,74.19815421104431,7138,1.2133862921269611,1.1944364839324841,-1.0492016918957234,-0.021459110229400065,0.005018604069846333
57344,1.668651e-08,109.46480616000001,87.24974012374878,7886,1.038437946117483,1.0223758744734028,-0.951300235511735,-0.016260511705115603,0.0003968801220707974
65536,1.9325809e-08,117.34376298,99.68036389350891,8553,0.9261809772113339,0.9098059949035221,-0.858901625033468,-0.016611317225912636,0.0004726698362020443
73728,2.3865534e-08,107.51242715999999,112.79589200019836,9174,0.8731591387186199,0.8629273124881482,-0.7860126414336264,-0.01030506742464295,0.000146482388342406
81920,2.0395095e-08,124.00249056000001,125.31690311431885,9768,0.8800530901411548,0.8680076371681974,-0.7122760842554271,-0.012149811151865962,0.00020871635781674058
90112,2.1207896e-08,151.80137386,138.22079348564148,10310,0.8289638047106564,0.8157530735070713,-0.6292600119952112,-0.013240446605715531,5.9430804260784956e-05
98304,2.0065556e-08,150.76247394,150.7066125869751,10817,0.791844491683878,0.7794795166113542,-0.5672509628348053,-0.012384754423156443,3.955870126510774e-05
106496,1.6079309e-08,180.41242512,163.3950173854828,11261,0.812560945446603,0.801433544038402,-0.5067618275526911,-0.011150122675189531,4.544253397682496e-05
114688,1.46891175e-08,180.3236064,175.85291695594788,11679,0.8755655548768118,0.863683054021633,-0.44077898636460305,-0.011902669255137638,4.033679991763961e-05
122880,1.3155813e-08,209.07128178,189.83653926849365,12044,0.8743348711170256,0.8650390517068709,-0.3757700565038249,-0.009306084173450751,2.052952659212792e-05
131072,1.1417431e-08,226.92154366,202.9676170349121,12379,0.9089379653101787,0.8990113700767793,-0.30479283854365347,-0.009936679719264355,2.016897173007237e-05
139264,1.1545831e-08,233.67545178,216.7258620262146,12677,0.8688102261861786,0.8612190199555669,-0.23375680344179273,-0.007601867847544688,2.132323386589974e-05
147456,1.6970722e-07,306.13254703999996,229.80766701698303,12941,0.7674712194129825,0.7610235734215538,-0.16215352658182383,-0.006456166420616341,1.7040858375239055e-05
155648,1.2538723e-07,292.65807329999996,242.780357837677,13186,0.7863029937492684,0.7815269049976843,-0.10202583223581314,-0.004782723852002939,1.3270200837833812e-05
163840,1.9527903e-08,337.97483683999997,255.20002722740173,13410,0.8345680384896695,0.8280460400401095,-0.05323708076030016,-0.006530779789395448,1.7562679671101476e-05
172032,2.6438631e-09,387.1006241,268.0324423313141,13604,0.8360344923799857,0.8321897559098614,0.0024036742746829987,-0.0038512491038480605,1.30252674473752e-05
180224,1.562361e-10,473.52057258,280.6289482116699,13773,0.903958540596068,0.8992190620812461,0.04167672712355852,-0.004747184959714697,1.5412889785793027e-05
188416,2.9231307e-12,457.13168316,293.598938703537,13933,0.9459460142767057,0.9460194549659345,0.09041161490604281,6.878348127437924e-05,9.314415908789897e-06
196608,7.548024e-13,477.19537352,306.43698620796204,14071,1.047574373264797,1.0416798048667928,0.1453208178281784,-0.0058978713101727285,6.605824336691768e-06
204800,9.2333706e-14,685.40981444,318.8188979625702,14180,1.0009991093538702,0.9966722785723656,0.184949048794806,-0.004330247839259752,6.8341155103901485e-06
212992,8.561436e-14,794.41271198,331.2710585594177,14277,1.0943278506398202,1.092067379650514,0.2342135164886713,-0.002262910845137649,4.879711663097197e-06
221184,8.871635e-14,1100.98923748,344.10397028923035,14351,1.2231246144045145,1.219636880679035,0.2843016321770847,-0.0034919578076167863,8.448164274632574e-06
229376,5.904553e-11,1240.11086074,356.5248601436615,14411,1.1020269086584449,1.1036324372941064,0.3107294882647693,0.0016031677580655775,4.721755191550159e-06
237568,7.064542e-14,1732.4138651600003,369.2540473937988,14452,1.109685483458452,1.1065861978394989,0.35822701510041954,-0.0031023336280406794,6.0960181750502326e-06
245760,4.7972876e-14,2544.15084144,382.3471758365631,14472,1.1195351381786167,1.122015757006193,0.40263935839757325,0.00247840440829228,4.428838568171223e-06
