total timesteps,mean_int_reward,ep_rew_mean,num_episodes,total_time,entropy_loss,policy_gradient_loss,total_loss,value_loss,intrinsic_loss
8192,0.045795165,44.2690348,1756,3.1309621334075928,,,,,
16384,0.47809517,43.20950668,3414,20.424471378326416,-1.4176118338480592,-0.020369866199137526,12.136923095036952,3.3866660663858057,17.54125378970057
24576,0.000112178466,48.325395660000005,4896,37.85275459289551,-1.3856224722228945,-0.021289047947774465,52.44442830637595,2.553016772773117,99.82540116310119
32768,3.2249782e-06,53.533271459999995,6189,54.72622728347778,-1.3199105298146605,-0.029222595456810864,1.80372689582495,1.7842892366927117,0.09732050917809829
40960,1.2138675e-09,65.71078042,7356,72.14798474311829,-1.2185987485572696,-0.029307909329275444,1.2713964218605331,1.2984772617928684,0.004454138793880702
49152,1.5750626e-06,72.26429303999998,8403,88.8789074420929,-1.123506705183536,-0.03254525308444395,1.0412258130491838,1.0732733830809593,0.0009953661053373254
57344,2.7180963e-08,82.91344066000002,9316,105.97785711288452,-1.017907417193055,-0.02902064678715196,1.0475837812085567,1.0762800805270671,0.0006486949372828121
65536,1.1142447e-10,104.32954978,10121,122.6143786907196,-0.9116397590842098,-0.021763804791364482,1.029319735196254,1.0509169558761642,0.00033316822290885284
73728,7.259214e-11,89.0168939,10886,139.71671557426453,-0.8135574346408248,-0.015846460622888546,1.069351140879667,1.0848179379245266,0.0007593271560580206
81920,2.1867818e-08,101.47666452000001,11573,157.55498719215393,-0.717775973584503,-0.019243190310905923,0.9744371554605238,0.9934081321815029,0.0005444271798538125
90112,2.7985964e-11,122.33046022,12193,175.97031450271606,-0.6367842555046082,-0.013389241856942041,0.9357116111116855,0.9490184677299112,0.00016477047743279627
98304,2.0818442e-11,124.14561632,12772,194.1511688232422,-0.5606932436581701,-0.00813997875328342,0.9861529028879715,0.9942190391011536,0.00014768508020281956
106496,1.22498504e-11,128.77167523999998,13317,212.78420495986938,-0.4874418308259919,-0.009184926180967634,0.8461877463550123,0.8553053926210851,0.00013455982978953783
114688,7.322435e-12,136.68365756,13829,231.15561890602112,-0.41306712676305324,-0.007678131612738043,0.8946320568971504,0.9022505252389237,0.00011932654192960967
122880,4.010071e-12,164.75206580000003,14301,249.9933078289032,-0.34845312032848597,-0.005750638215594853,0.8347376518138578,0.8404355452395975,0.00010548957971039386
131072,1.9356207e-10,157.71717776,14749,268.3787341117859,-0.29308767821639775,-0.0053656097922692055,0.7659280765285905,0.7712666001869366,5.417226784629747e-05
139264,9.760988e-13,193.38534636000003,15163,285.78474259376526,-0.2317810358479619,-0.002950525920059577,0.7600610304041933,0.7629732508445158,7.661095947391061e-05
