mean_int_reward,total_time,total timesteps,ep_rew_mean,num_episodes,intrinsic_loss,value_loss,entropy_loss,policy_gradient_loss,total_loss
0.032513604,3.291435718536377,8192,50.50873732000001,1500,,,,,
0.02066803,21.81803059577942,16384,52.782301499999996,2889,11.223811044520698,3.165056300163269,-1.3837488655000925,-0.025396289681676516,8.75156553274194
0.6949985,39.82637023925781,24576,65.25151054000001,4093,5.544649458001368,2.5567830998450516,-1.3253372458741068,-0.02426903292755631,5.3048387959181795
9.700023e-05,58.14956331253052,32768,65.1884703,5200,475.5532975077629,2.130443233344704,-1.2566674994304776,-0.01987489258519723,239.887217094641
1.8451959e-06,76.30127000808716,40960,78.74321308,6145,0.13600588146073278,1.0860561340581625,-1.1674858391284944,-0.02474680486361641,1.1293122699249125
2.6886003e-06,94.03804755210876,49152,88.52464061999999,6977,0.01782863694061234,1.14409498879686,-1.0739240188151598,-0.02042472718068581,1.1325845800864802
7.4757054e-06,111.84080338478088,57344,101.27267624000002,7737,0.004148798197502401,1.0948212173767389,-0.9800430065020919,-0.009452749637990135,1.0874428668375
7.256044e-10,129.3094289302826,65536,107.22312597999999,8440,0.000490610653719159,1.1378503353334963,-0.8992742568720132,-0.008822958562892962,1.129272682097463
4.704698e-10,146.9214689731598,73728,101.86201744,9093,0.0006899804673508924,0.9764778244076296,-0.8094464692287147,-0.011059889332378567,0.9657629253089265
2.773396e-10,164.86942434310913,81920,122.12128684,9702,0.00018543954316356802,0.9132111144484952,-0.7246694642119109,-0.00930610354945773,0.9039977306706193
1.8392655e-10,182.65685868263245,90112,143.78296020000002,10271,0.00019001707634132005,0.9127659100107849,-0.6398486567661166,-0.008515905854372539,0.9043450126945828
1.2304238e-10,200.1139054298401,98304,143.31758984,10813,9.001406665589684e-05,0.8478983219945804,-0.56569995097816,-0.0070641665718282455,0.8408791624560801
7.251058e-11,217.59117794036865,106496,144.13173854000001,11306,0.00012738360959509975,0.7877786243800073,-0.4991770611377433,-0.01002214058033892,0.777820175604466
3.9502963e-11,235.6088616847992,114688,150.32185642,11749,4.712853545214557e-05,0.7823384591611102,-0.42904246437828986,-0.008129428842437092,0.7742325945863993
1.9792584e-11,253.67003512382507,122880,177.79837654000002,12175,0.0004005036437646936,0.7832861897768453,-0.36765824994072316,-0.008703323371429332,0.7747831182272983
1.2050782e-11,270.9288840293884,131072,203.11282303999997,12556,9.452060886445679e-05,0.8009752629557625,-0.2948788003064692,-0.009012971930035472,0.7920095513301593
6.0389315e-12,288.96750473976135,139264,203.46262029999997,12892,5.5845375534246954e-05,0.7366705302614719,-0.2334618665277958,-0.0026044667064509678,0.7340939862427881
2.5534843e-12,306.58391880989075,147456,241.1231469,13212,5.936778525281738e-05,0.7941569315968081,-0.16818510387092828,-0.0007623069507355093,0.793424308538699
8.58226e-13,324.5852794647217,155648,255.10805874000002,13510,6.366191851920888e-05,0.7939719277666881,-0.10190362622961402,-0.004977407710517123,0.7890263510154306
2.6455165e-13,342.36523246765137,163840,264.81008552,13777,3.9642512584947555e-05,0.7090370615012944,-0.03682653773576021,-0.002348837296031038,0.7067080454615559
1.3225295e-13,359.7091872692108,172032,299.92609324,14028,4.317924818746377e-05,0.7395012829685583,0.026917621213942765,-0.0027777066182583395,0.7367451659743938
9.738263e-14,377.301513671875,180224,332.58006534,14257,3.502171656801778e-05,0.6701181784039363,0.0722523125819862,-0.0004147646873645424,0.6697209245748559
9.019634e-14,395.0354959964752,188416,399.79585384,14460,4.1168779104427955e-05,0.6303375140065327,0.10770716117694974,-0.0036428989111797587,0.6267151994849052
1.079363e-13,412.99343061447144,196608,379.98677986,14671,2.456611054828528e-05,0.7068030452821403,0.13442595303058624,0.004449551116885669,0.7112648794543002
1.09046066e-13,430.2313005924225,204800,375.05934892000005,14881,2.7962462791819577e-05,0.6939612823771313,0.1622686699964106,0.0009604123229837423,0.694935675931511
1.6239817e-13,447.96772861480713,212992,334.19967770000005,15114,2.007995386588135e-05,0.6360722477198578,0.18299253676086663,0.00681021531151087,0.6428925030083017
1.2037241e-13,465.399249792099,221184,446.49761818,15291,2.735321769078425e-05,0.5759568469366059,0.206126622390002,-0.0011093404934206384,0.5748611830520306
1.2624732e-13,482.76569652557373,229376,443.91115686000006,15466,1.545907036488714e-05,0.6785558336880058,0.2326090489514172,0.0016200333892226546,0.6801835966124109
1.5363226e-13,499.9641966819763,237568,468.52885255999996,15619,1.9721012551521254e-05,0.7282862896332517,0.26420337734743954,0.008232942551621847,0.7365290926911493
1.4343535e-13,517.3385379314423,245760,615.3342659799999,15751,1.0972637991768508e-05,0.8131686835782602,0.30549932885915043,0.009623353123419963,0.8227975230206761
1.1406766e-13,535.0812323093414,253952,603.54538496,15874,2.15699258428792e-05,0.8763570586917921,0.34028039686381817,0.0008092210296407231,0.8771770646843542
8.999597e-14,552.638533115387,262144,711.4535765799999,15991,1.6367794775895562e-05,0.8772162224864587,0.3687279696576297,0.002828020567029281,0.8800524269508759
7.7173565e-14,570.2023179531097,270336,812.51025244,16087,1.426879381623003e-05,0.877901888685301,0.39201286593452095,0.004038877116313814,0.8819479001985229
5.865451e-14,588.1972229480743,278528,712.9815778,16183,7.529250288484945e-06,0.7975097111193463,0.4154730469919741,0.0026543651575993542,0.8001678409020899
4.2204508e-14,605.6923356056213,286720,909.37848028,16260,3.194161925550443e-05,0.8338906933320687,0.45998731162399054,0.002569150646935448,0.8364758147886316
