total timesteps,mean_int_reward,ep_rew_mean,total_time,num_episodes,value_loss,total_loss,entropy_loss,policy_gradient_loss,intrinsic_loss
270336,2.911922e-13,473.32118277999996,414.28204464912415,19955,0.6964008335024119,0.6921125534073297,0.1553280906751752,-0.004290138839187586,3.7174882109081152e-06
278528,3.5277147e-13,545.3187784,426.6503047943115,20108,0.6439399674884043,0.6400417173579914,0.19284036373719574,-0.003900937549429416,5.374838032778939e-06
286720,4.355711e-12,497.58025392,439.4354612827301,20258,0.6403495915001258,0.6313384806150009,0.2294338091276586,-0.009012615954186903,3.0101381237157552e-06
294912,1.7450371e-13,609.84444536,452.2860674858093,20383,0.6814225640380756,0.677243425095503,0.25858972715213896,-0.004181610840044611,4.943794944101132e-06
303104,1.955129e-13,531.75723566,464.7779366970062,20511,0.626310512656346,0.6231167333200871,0.2783220742829144,-0.003195744139548392,3.929606578811917e-06
311296,3.1062937e-13,828.36292526,477.58237290382385,20609,0.7392346536973491,0.7350946277697831,0.2936894136480987,-0.004141280832959773,2.509810787432176e-06
319488,2.1115865e-13,892.2431064600001,490.5893635749817,20695,0.8186122740153223,0.8139723728445913,0.32304272521287203,-0.004641421743505236,3.041145548476898e-06
327680,1.7218444e-13,985.8961965599999,503.7020709514618,20770,0.9446666217641905,0.9413469933928171,0.35111799985170367,-0.003321183732963696,3.1107231806215553e-06
335872,1.3260291e-13,1297.6697540999999,516.5693759918213,20827,0.8156804076395929,0.8095202675048799,0.3742254387587309,-0.006163755028740963,7.229788055895803e-06
344064,1.7094618e-13,1543.5398991799998,529.2900347709656,20876,1.0406558708986267,1.038909917067679,0.4089410056360066,-0.0017468923436396683,1.8770253839006656e-06
352256,8.500233e-14,2269.3884387800003,542.1966700553894,20902,1.088073437055573,1.0881950009399255,0.44592743371613325,0.00011978724290343806,3.5532828982498543e-06
360448,5.1108088e-14,2878.6031677799997,555.0684449672699,20923,1.1261336471885444,1.1270464947021765,0.47146201990544795,0.0009116188911157865,2.457245033066213e-06
368640,8.183928e-14,3557.71336204,567.5291893482208,20942,1.0329464394366368,1.0312368340245481,0.500789271807298,-0.0017110451728122578,2.8795214468524398e-06
376832,3.4429802e-14,4405.59897716,580.0431718826294,20955,0.9659621806116775,0.9651701599969632,0.5272673483006656,-0.0007926824063388728,1.3235832492380917e-06
385024,5.0446982e-14,4636.547544839999,592.2862968444824,20972,1.1968032132601365,1.2015715079748306,0.5412624604068696,0.004766317533820748,3.954361746677515e-06
393216,6.039097e-14,4654.539501599999,604.9738357067108,20990,1.050596039230004,1.0518410402965617,0.5661468604579568,0.001243377777579839,3.246577956067531e-06
401408,6.1749346e-14,4254.3016206,617.7150177955627,21009,1.2053579097380862,1.2076379446205245,0.5861743717454374,0.002279414486710442,1.2407914561474165e-06
409600,4.1601122e-14,4723.260171739999,630.833970785141,21021,1.3382131028454751,1.3383929360428934,0.6138332071714103,0.0001786692461945547,2.3279024476380304e-06
417792,2.7185367e-14,5021.1685737200005,644.7014605998993,21032,1.2018097027437762,1.2045442885828386,0.6403477584943176,0.002733609794256553,1.952089611678698e-06
425984,8.091106e-14,3450.0612526400005,657.0913543701172,21070,1.0201634043944068,1.0249362359855896,0.6629629107192159,0.0047715776913803964,2.5077996047506713e-06
434176,5.3364146e-14,1941.9637543400002,670.1275107860565,21109,1.6933215610682963,1.6926740994198457,0.6794655776582659,-0.0006489540059547976,2.9847150081641073e-06
442368,4.2038665e-14,2659.28513538,683.5708956718445,21129,1.4354708583792672,1.4333967535370502,0.690354032907635,-0.002076024400677818,3.839116921483532e-06
450560,3.2393325e-14,3231.816269380001,696.3175098896027,21145,1.476284384331666,1.4759235271210893,0.7060906262136996,-0.0003616283160048072,1.5422108563700742e-06
458752,5.1608274e-14,4327.83289698,708.873833656311,21156,1.282345058780629,1.2821967119495867,0.7227953551337123,-0.00015046082031414335,4.227978542903354e-06
466944,5.838302e-14,5115.611445000001,721.1474540233612,21172,1.2146540476009249,1.2191252517556777,0.7563442730344831,0.004470978055815052,4.5219787531414203e-07
475136,3.741948e-14,5731.427064159999,734.052435874939,21184,1.4068401912227273,1.408303820448864,0.7894476584158838,0.001461238888575013,4.780675123844391e-06
483328,2.3161215e-14,6020.619135179999,746.5586528778076,21196,1.4213257369585335,1.4229470215096103,0.8289650830440223,0.0016207976629479537,9.737762575484643e-07
491520,2.068121e-14,6424.268342619999,759.2847809791565,21204,1.1507923857832794,1.1565829385033841,0.8569600719027222,0.005788840890394938,3.4236594198100432e-06
499712,2.8249757e-14,6970.464345580001,771.6243953704834,21213,1.0237384818901774,1.0296936933407816,0.8909660932607949,0.005955015976736156,3.909477366226266e-07
507904,3.56449e-14,7257.219421680001,783.8402531147003,21225,1.1914957068336662,1.19362789485587,0.9252267179079354,0.002131779159951015,8.177245057590376e-07
516096,2.0240869e-14,7805.209561299999,796.3077938556671,21234,1.3082838457776234,1.3133228003996298,0.9453139630146324,0.00503829403391456,1.3211761838022307e-06
524288,1.9556307e-14,7749.0301600799985,809.0631875991821,21245,1.0743539553775918,1.0850294458993859,0.9400225351564586,0.010675037492769155,9.060580496461634e-07
532480,1.4700057e-14,7899.8323707,821.8083086013794,21253,1.3136685060337185,1.318201930610514,0.9428604690358042,0.004531536523854752,3.7761058814894667e-06
540672,1.152171e-14,7577.98177006,834.3125371932983,21264,1.0840838755771984,1.092897104572119,0.94802212594077,0.008810851519222649,4.754951395907759e-06
548864,7.791011e-15,7315.588307819999,846.6137185096741,21274,1.3545776128594298,1.3632775202302327,0.9251492050476372,0.008698803124589647,2.2084924264864637e-06
557056,5.6919606e-15,7395.56163246,858.8885583877563,21284,1.1538914348289837,1.1611539792888095,0.9235282886773348,0.007262289888459598,5.091427323272724e-07
565248,3.5552556e-13,6945.70095786,872.4280099868774,21298,1.4213333803403656,1.4273613539038845,0.9412129737436772,0.006027059515173924,1.828096689798775e-06
