mean_int_reward,total_time,total timesteps,num_episodes,ep_rew_mean,entropy_loss,total_loss,policy_gradient_loss,value_loss,intrinsic_loss
0.0054689683,3.116037368774414,8192,1320,55.484436240000015,,,,,
0.08342147,20.692967891693115,16384,2481,66.00901404,-1.398857172485441,3.510787996592822,-0.01823771405778078,3.200339545495808,0.6573723303095903
0.0030257215,37.938640117645264,24576,3515,71.48399596,-1.3549786490388214,20.527673576888002,-0.01162344904213396,2.749687588959932,35.579218873940405
7.476133e-09,54.98961305618286,32768,4457,75.16352322,-1.2852736163884402,1.79302707402072,-0.014467376384199978,1.7784459094982594,0.05809708181332098
6.368135e-05,72.61733198165894,40960,5329,82.27912322,-1.191253920365125,0.9530828737540439,-0.014314212362490539,0.9652815604349598,0.004231051363149163
1.7588634e-06,90.53189301490784,49152,6162,81.89168438,-1.0992070810869337,0.8972709730122187,-0.01123378250209626,0.9053840304724872,0.006241450083655309
2.2352909e-07,107.22387742996216,57344,6990,91.95856067999999,-1.016664278227836,0.8115402639954065,-0.01335004806319855,0.8247906628763303,0.00019929836454934957
1.681417e-07,122.65704870223999,65536,7819,92.83898528000002,-0.9529932900331914,0.6399759371802173,-0.013959783238742713,0.6538569985656068,0.00015744370670631725
1.1542782e-06,138.9728982448578,73728,8612,98.20330951999999,-0.8902646951843053,0.5547028714941973,-0.016363183139578935,0.5710240134620108,8.408234353112221e-05
3.0000297e-08,157.42983603477478,81920,9376,94.7521452,-0.8295822466723621,0.5498860186738597,-0.015316973119290705,0.5650339862331748,0.00033801111995117593
5.0982876e-09,174.4019751548767,90112,10078,106.20343352,-0.767521125683561,0.5372336573193033,-0.012305198518909438,0.5494995815795847,7.854851725639378e-05
9.644159e-12,191.38055634498596,98304,10751,104.85235669999999,-0.719179899385199,0.5484662544623139,-0.011832375127598986,0.5602145550306886,0.00016814911844846846
9.328992e-12,208.4676957130432,106496,11365,119.77209332000001,-0.6589491036254913,0.5925992616497988,-0.013719709219128334,0.6061944068875164,0.00024912796282166027
7.668096e-12,225.99417686462402,114688,11921,133.0103984,-0.5984052170068026,0.6688052194819518,-0.011245625930318488,0.6800057603279128,9.017016871482042e-05
1.1181851e-11,243.27674078941345,122880,12455,133.42734217999998,-0.5336591803468764,0.6987783160119981,-0.010208007873358915,0.7089262587949634,0.00012013018078746996
5.893131e-12,260.8153438568115,131072,12969,159.93670764,-0.4738123950082809,0.6890110591954419,-0.011159200454395949,0.7001283292891458,8.386072138435451e-05
3.467658e-12,278.36949372291565,139264,13425,152.58213268,-0.4254629052011296,0.6807287454595943,-0.011418724859411464,0.6921200675191358,5.4805599739893295e-05
2.3735178e-12,295.5420310497284,147456,13850,188.44869788,-0.3835585282649845,0.8030006314510565,-0.008743453038395766,0.8116822784300893,0.00012361211872580213
1.3955052e-12,312.50243616104126,155648,14234,185.54138158,-0.32608932377770544,0.7655911636278991,-0.008117997485303792,0.7736713700229302,7.558218054555254e-05
8.6695527e-13,329.90143489837646,163840,14586,210.59195302,-0.2656664882786572,0.9019919143838271,-0.006014442025792637,0.9079801195533946,5.247371245005183e-05
4.001085e-13,346.6574466228485,172032,14894,256.70072598,-0.21070986576378345,0.871901165228353,-0.005295394488630154,0.8771616595098749,6.980041421655869e-05
1.9453842e-13,364.02438259124756,180224,15180,258.75908094000005,-0.1520463213324547,0.8961323599649031,0.00017816936272259422,0.8959337898297235,4.080154491390431e-05
1.09611925e-13,381.16229915618896,188416,15459,261.97989336,-0.1087710140272975,0.9532298499548191,0.0004850074114692883,0.9527213794877752,4.692611114904821e-05
6.463621e-14,397.7583360671997,196608,15700,331.1928881,-0.06435465132817626,0.7233144528429275,-0.0012406828191643762,0.7245287309400738,5.280944403640575e-05
6.775277e-14,414.87598156929016,204800,15943,295.7661361,-0.010906675085425376,0.6932598845453176,-0.007683103279394349,0.7009304800303653,2.501558869347775e-05
5.469276e-14,431.4219014644623,212992,16174,315.44159432,0.0533682556822896,0.6512006100490739,-0.0014952591021600836,0.6526812936412171,2.9151020033690855e-05
6.792511e-14,448.31373357772827,221184,16405,332.60889125999995,0.0944844196550548,0.5615160018005878,-0.003658592862389812,0.565162162517663,2.486429062908968e-05
6.950813e-14,465.5910949707031,229376,16627,342.96370334,0.12628226140514015,0.4301682068045638,0.004687538005207452,0.4254700181190856,2.1301360541592375e-05
6.711817e-14,482.63882875442505,237568,16834,364.39496556000006,0.16004948383197187,0.4853719872292047,0.0006569115803261302,0.4847021556342952,2.5840029166790402e-05
6.817786e-14,499.4311842918396,245760,17025,384.00588402,0.18727802773937582,0.37477773357043104,0.0026645668944865752,0.37210565197165124,1.5029408586464399e-05
6.37653e-14,516.0877878665924,253952,17220,360.07809684,0.2169149094261229,0.5146543814658315,0.004364160174622213,0.5102770476834848,2.6347215448918604e-05
6.586581e-14,532.4954380989075,262144,17401,436.1682459599999,0.25660856794565917,0.39988765783842817,0.005050367505692588,0.39483142443932595,1.1731786819346723e-05
6.065387e-14,549.0141124725342,270336,17575,442.26450178,0.2904916264116764,0.40366603038100896,-0.002505963375062189,0.40616240274393933,1.918202426365312e-05
8.671095e-14,565.2670769691467,278528,17725,449.08379858,0.31924571469426155,0.49215689920521904,0.0006904595328096946,0.49145911004161463,1.4659261589322625e-05
6.61392e-14,581.5717303752899,286720,17878,491.96425666000005,0.3518435211852193,0.5326869903043325,0.0017315524109369508,0.5309516445035115,7.586779768287144e-06
6.05876e-14,597.9515724182129,294912,18040,452.88821966,0.3814485497772694,0.4218534434223863,0.0017000461389491117,0.42014724074397236,1.2313078929548915e-05
